Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M18,Undergraduate,ART       1A,TASCHIAN H J,A,3
M18,Undergraduate,ART       1A,TASCHIAN H J,A-,3
M18,Undergraduate,ART       1A,TASCHIAN H J,B,2
M18,Undergraduate,ART       1A,TASCHIAN H J,B-,2
M18,Undergraduate,ART       1A,TASCHIAN H J,C+,1
M18,Undergraduate,ART       1A,TASCHIAN H J,C,2
M18,Undergraduate,ART       1A,TASCHIAN H J,F,4
M18,Undergraduate,ART      10,ELLIS C M,A,12
M18,Undergraduate,ART      10,ELLIS C M,A-,7
M18,Undergraduate,ART      10,ELLIS C M,B+,2
M18,Undergraduate,ART      10,ELLIS C M,B,5
M18,Undergraduate,ART      10,ELLIS C M,B-,2
M18,Undergraduate,ART      10,ELLIS C M,C,2
M18,Undergraduate,ART      10,ELLIS C M,F,1
M18,Undergraduate,ART      18,BELTZ E A,A,3
M18,Undergraduate,ART      18,BELTZ E A,A-,1
M18,Undergraduate,ART      18,BELTZ E A,B+,6
M18,Undergraduate,ART      18,BELTZ E A,B,2
M18,Undergraduate,ART      18,BELTZ E A,B-,2
M18,Undergraduate,ART      18,BELTZ E A,C+,1
M18,Undergraduate,ART      18,BELTZ E A,C-,1
M18,Undergraduate,ART      18,HAYDEN N,A,7
M18,Undergraduate,ART      18,HAYDEN N,A-,7
M18,Undergraduate,ART      18,HAYDEN N,B+,1
M18,Undergraduate,ART      18,HAYDEN N,B,3
M18,Undergraduate,ART      18,HAYDEN N,C+,1
M18,Undergraduate,ART     100,ELLIS C M,A,8
M18,Undergraduate,ART     100,ELLIS C M,A-,5
M18,Undergraduate,ART     100,ELLIS C M,B+,3
M18,Undergraduate,ART     100,ELLIS C M,B,3
M18,Undergraduate,ART     117,HAYDEN N,A,5
M18,Undergraduate,ART     117,HAYDEN N,A-,4
M18,Undergraduate,ART     117,HAYDEN N,B+,2
M18,Undergraduate,ART     117,HAYDEN N,B-,1
M18,Undergraduate,ART     117,HAYDEN N,C+,1
M18,Undergraduate,ART     117,HAYDEN N,C-,3
M18,Undergraduate,ART     117,HAYDEN N,D+,1
M18,Undergraduate,ART     117,HAYDEN N,F,2
M18,Undergraduate,ART     125,VANDERPOOL J,A,15
M18,Undergraduate,ART     125,VANDERPOOL J,A-,3
M18,Undergraduate,ART     125,VANDERPOOL J,B+,2
M18,Undergraduate,ART     125,VANDERPOOL J,B,1
M18,Undergraduate,ART     125,VANDERPOOL J,F,1
M18,Undergraduate,ART     130,TASCHIAN H J,A,6
M18,Undergraduate,ART     130,TASCHIAN H J,A-,5
M18,Undergraduate,ART     130,TASCHIAN H J,B+,2
M18,Undergraduate,ART     130,TASCHIAN H J,B,2
