Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M18,Undergraduate,EACS      4B,GABRIELSON C,A+,1
M18,Undergraduate,EACS      4B,GABRIELSON C,A,8
M18,Undergraduate,EACS      4B,GABRIELSON C,A-,8
M18,Undergraduate,EACS      4B,GABRIELSON C,B+,14
M18,Undergraduate,EACS      4B,GABRIELSON C,B,14
M18,Undergraduate,EACS      4B,GABRIELSON C,B-,15
M18,Undergraduate,EACS      4B,GABRIELSON C,C+,3
M18,Undergraduate,EACS      4B,GABRIELSON C,C,2
M18,Undergraduate,EACS      4B,GABRIELSON C,C-,3
M18,Undergraduate,EACS      4B,GABRIELSON C,D+,4
M18,Undergraduate,EACS      4B,GABRIELSON C,F,13
M18,Undergraduate,EACS      4B,LI Y,A+,1
M18,Undergraduate,EACS      4B,LI Y,A,8
M18,Undergraduate,EACS      4B,LI Y,A-,8
M18,Undergraduate,EACS      4B,LI Y,B+,14
M18,Undergraduate,EACS      4B,LI Y,B,14
M18,Undergraduate,EACS      4B,LI Y,B-,15
M18,Undergraduate,EACS      4B,LI Y,C+,3
M18,Undergraduate,EACS      4B,LI Y,C,2
M18,Undergraduate,EACS      4B,LI Y,C-,3
M18,Undergraduate,EACS      4B,LI Y,D+,4
M18,Undergraduate,EACS      4B,LI Y,F,13
