Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M19,Undergraduate,ART       1A,TASCHIAN H J,A,1
M19,Undergraduate,ART       1A,TASCHIAN H J,A-,5
M19,Undergraduate,ART       1A,TASCHIAN H J,B+,5
M19,Undergraduate,ART       1A,TASCHIAN H J,B,2
M19,Undergraduate,ART       1A,TASCHIAN H J,B-,1
M19,Undergraduate,ART       1A,TASCHIAN H J,C+,1
M19,Undergraduate,ART       1A,TASCHIAN H J,C,2
M19,Undergraduate,ART       1A,TASCHIAN H J,C-,2
M19,Undergraduate,ART      10,GLOVER Y H,A+,2
M19,Undergraduate,ART      10,GLOVER Y H,A,10
M19,Undergraduate,ART      10,GLOVER Y H,A-,4
M19,Undergraduate,ART      10,GLOVER Y H,B+,1
M19,Undergraduate,ART      10,GLOVER Y H,B,1
M19,Undergraduate,ART      10,MIRACLE J W,A,18
M19,Undergraduate,ART      10,MIRACLE J W,A-,6
M19,Undergraduate,ART      10,MIRACLE J W,B+,3
M19,Undergraduate,ART      10,MIRACLE J W,B,2
M19,Undergraduate,ART      18,BELTZ E A,A+,3
M19,Undergraduate,ART      18,BELTZ E A,A,2
M19,Undergraduate,ART      18,BELTZ E A,A-,1
M19,Undergraduate,ART      18,BELTZ E A,B+,1
M19,Undergraduate,ART      18,BELTZ E A,B,1
M19,Undergraduate,ART      18,BELTZ E A,B-,2
M19,Undergraduate,ART      18,BELTZ E A,C+,2
M19,Undergraduate,ART      18,BELTZ E A,C,1
M19,Undergraduate,ART      18,BELTZ E A,C-,1
M19,Undergraduate,ART      18,HAYDEN N,A+,1
M19,Undergraduate,ART      18,HAYDEN N,A,6
M19,Undergraduate,ART      18,HAYDEN N,A-,3
M19,Undergraduate,ART      18,HAYDEN N,B,5
M19,Undergraduate,ART      18,HAYDEN N,C,1
M19,Undergraduate,ART     100,GLOVER Y H,A+,1
M19,Undergraduate,ART     100,GLOVER Y H,A,11
M19,Undergraduate,ART     100,GLOVER Y H,A-,8
M19,Undergraduate,ART     100,GLOVER Y H,B,1
M19,Undergraduate,ART     117,HAYDEN N,A+,2
M19,Undergraduate,ART     117,HAYDEN N,A,7
M19,Undergraduate,ART     117,HAYDEN N,A-,7
M19,Undergraduate,ART     117,HAYDEN N,B+,1
M19,Undergraduate,ART     117,HAYDEN N,B-,2
M19,Undergraduate,ART     125,VANDERPOOL J,A,11
M19,Undergraduate,ART     125,VANDERPOOL J,A-,3
M19,Undergraduate,ART     125,VANDERPOOL J,B+,4
M19,Undergraduate,ART     125,VANDERPOOL J,B,1
M19,Undergraduate,ART     125,VANDERPOOL J,B-,1
M19,Undergraduate,ART     125,VANDERPOOL J,F,1
M19,Undergraduate,ART     130,TASCHIAN H J,A+,2
M19,Undergraduate,ART     130,TASCHIAN H J,A,2
M19,Undergraduate,ART     130,TASCHIAN H J,A-,4
M19,Undergraduate,ART     130,TASCHIAN H J,B+,2
M19,Undergraduate,ART     130,TASCHIAN H J,B,2
M19,Undergraduate,ART     130,TASCHIAN H J,C+,1
M19,Undergraduate,ART     130,TASCHIAN H J,C,2
M19,Undergraduate,ART     130,TASCHIAN H J,D+,1
M19,Undergraduate,ART     130,TASCHIAN H J,F,2
M19,Undergraduate,ARTHI     6A,KAGAN-MOORE H,A+,2
M19,Undergraduate,ARTHI     6A,KAGAN-MOORE H,A,4
M19,Undergraduate,ARTHI     6A,KAGAN-MOORE H,A-,13
M19,Undergraduate,ARTHI     6A,KAGAN-MOORE H,B+,3
M19,Undergraduate,ARTHI     6A,KAGAN-MOORE H,B,10
M19,Undergraduate,ARTHI     6A,KAGAN-MOORE H,B-,2
M19,Undergraduate,ARTHI     6A,KAGAN-MOORE H,C,5
M19,Undergraduate,ARTHI     6A,KAGAN-MOORE H,F,2
M19,Undergraduate,ARTHI     6B,MANSFIELD M E,A,6
M19,Undergraduate,ARTHI     6B,MANSFIELD M E,A-,9
M19,Undergraduate,ARTHI     6B,MANSFIELD M E,B+,8
M19,Undergraduate,ARTHI     6B,MANSFIELD M E,B,8
M19,Undergraduate,ARTHI     6B,MANSFIELD M E,B-,6
M19,Undergraduate,ARTHI     6B,MANSFIELD M E,C+,4
M19,Undergraduate,ARTHI     6B,MANSFIELD M E,D,1
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,A,10
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,A-,4
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,B+,6
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,B,5
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,B-,6
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,C+,3
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,C,3
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,C-,1
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,D,1
M19,Undergraduate,ARTHI     6C,JAMESON-ELLSM,F,1
M19,Undergraduate,ARTHI     6C,LIMB M K,A,4
M19,Undergraduate,ARTHI     6C,LIMB M K,A-,5
M19,Undergraduate,ARTHI     6C,LIMB M K,B+,9
M19,Undergraduate,ARTHI     6C,LIMB M K,B,1
M19,Undergraduate,ARTHI     6C,LIMB M K,B-,2
M19,Undergraduate,ARTHI     6C,LIMB M K,C+,2
M19,Undergraduate,ARTHI     6C,LIMB M K,C,1
M19,Undergraduate,ARTHI     6C,LIMB M K,C-,1
M19,Undergraduate,ARTHI     6C,LIMB M K,F,1
M19,Undergraduate,ARTHI     6DS,VON MIRBACH H,A+,1
M19,Undergraduate,ARTHI     6DS,VON MIRBACH H,A,7
M19,Undergraduate,ARTHI     6DS,VON MIRBACH H,A-,13
M19,Undergraduate,ARTHI     6DS,VON MIRBACH H,B+,9
