Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M19,Undergraduate,EARTHW   20,ALESSIO P A,A,8
M19,Undergraduate,EARTHW   20,ALESSIO P A,A-,12
M19,Undergraduate,EARTHW   20,ALESSIO P A,B+,7
M19,Undergraduate,EARTHW   20,ALESSIO P A,B,14
M19,Undergraduate,EARTHW   20,ALESSIO P A,B-,10
M19,Undergraduate,EARTHW   20,ALESSIO P A,C+,3
M19,Undergraduate,EARTHW   20,ALESSIO P A,C,5
M19,Undergraduate,EARTHW   20,ALESSIO P A,C-,1
M19,Undergraduate,EARTHW   20,ALESSIO P A,D,1
M19,Undergraduate,EARTHW   20,ALESSIO P A,D-,2
M19,Undergraduate,EARTHW   20,ALESSIO P A,F,4
