Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M19,Undergraduate,MATH      3A,BAGHERI A R,A+,1
M19,Undergraduate,MATH      3A,BAGHERI A R,A,4
M19,Undergraduate,MATH      3A,BAGHERI A R,A-,5
M19,Undergraduate,MATH      3A,BAGHERI A R,B+,1
M19,Undergraduate,MATH      3A,BAGHERI A R,B,3
M19,Undergraduate,MATH      3A,BAGHERI A R,B-,2
M19,Undergraduate,MATH      3A,BAGHERI A R,C+,1
M19,Undergraduate,MATH      3A,BAGHERI A R,C,4
M19,Undergraduate,MATH      3A,BAGHERI A R,D,3
M19,Undergraduate,MATH      3A,BAGHERI A R,F,2
M19,Undergraduate,MATH      3A,SARAJIAN G P,A,3
M19,Undergraduate,MATH      3A,SARAJIAN G P,A-,3
M19,Undergraduate,MATH      3A,SARAJIAN G P,B+,3
M19,Undergraduate,MATH      3A,SARAJIAN G P,B,2
M19,Undergraduate,MATH      3A,SARAJIAN G P,B-,1
M19,Undergraduate,MATH      3A,SARAJIAN G P,C+,1
M19,Undergraduate,MATH      3A,SARAJIAN G P,C,1
M19,Undergraduate,MATH      3A,SARAJIAN G P,C-,1
M19,Undergraduate,MATH      3A,SARAJIAN G P,D,1
M19,Undergraduate,MATH      3B,KALAULI A K,A+,5
M19,Undergraduate,MATH      3B,KALAULI A K,A,12
M19,Undergraduate,MATH      3B,KALAULI A K,A-,15
M19,Undergraduate,MATH      3B,KALAULI A K,B+,7
M19,Undergraduate,MATH      3B,KALAULI A K,B,6
M19,Undergraduate,MATH      3B,KALAULI A K,B-,5
M19,Undergraduate,MATH      3B,KALAULI A K,C+,7
M19,Undergraduate,MATH      3B,KALAULI A K,C,4
M19,Undergraduate,MATH      3B,KALAULI A K,D+,1
M19,Undergraduate,MATH      3B,KALAULI A K,F,2
M19,Undergraduate,MATH      3B,LAINEZ REYES,A+,7
M19,Undergraduate,MATH      3B,LAINEZ REYES,A-,2
M19,Undergraduate,MATH      3B,LAINEZ REYES,B+,1
M19,Undergraduate,MATH      3B,LAINEZ REYES,B,1
M19,Undergraduate,MATH      3B,LAINEZ REYES,C,2
M19,Undergraduate,MATH      3B,LAINEZ REYES,D-,2
M19,Undergraduate,MATH      3B,LAINEZ REYES,F,4
M19,Undergraduate,MATH      4A,PABLO S R,A+,9
M19,Undergraduate,MATH      4A,PABLO S R,A,18
M19,Undergraduate,MATH      4A,PABLO S R,A-,7
M19,Undergraduate,MATH      4A,PABLO S R,B+,9
M19,Undergraduate,MATH      4A,PABLO S R,B,9
M19,Undergraduate,MATH      4A,PABLO S R,B-,4
M19,Undergraduate,MATH      4A,PABLO S R,C+,4
M19,Undergraduate,MATH      4A,PABLO S R,C,11
M19,Undergraduate,MATH      4A,PABLO S R,C-,1
M19,Undergraduate,MATH      4A,PABLO S R,D+,5
M19,Undergraduate,MATH      4A,PABLO S R,D,1
M19,Undergraduate,MATH      4A,PABLO S R,F,3
M19,Undergraduate,MATH      4A,TRISAL A V,A+,7
M19,Undergraduate,MATH      4A,TRISAL A V,A,19
M19,Undergraduate,MATH      4A,TRISAL A V,A-,6
M19,Undergraduate,MATH      4A,TRISAL A V,B+,1
M19,Undergraduate,MATH      4A,TRISAL A V,B,28
M19,Undergraduate,MATH      4A,TRISAL A V,B-,3
M19,Undergraduate,MATH      4A,TRISAL A V,C,20
M19,Undergraduate,MATH      4A,TRISAL A V,C-,8
M19,Undergraduate,MATH      4A,TRISAL A V,F,5
M19,Undergraduate,MATH      4B,NGUYEN D,A+,16
M19,Undergraduate,MATH      4B,NGUYEN D,A,36
M19,Undergraduate,MATH      4B,NGUYEN D,B,38
M19,Undergraduate,MATH      4B,NGUYEN D,C,13
M19,Undergraduate,MATH      4B,NGUYEN D,D,2
M19,Undergraduate,MATH      4B,NGUYEN D,F,3
M19,Undergraduate,MATH      4B,ROBINETT E L,A+,7
M19,Undergraduate,MATH      4B,ROBINETT E L,A,22
M19,Undergraduate,MATH      4B,ROBINETT E L,B+,5
M19,Undergraduate,MATH      4B,ROBINETT E L,B,17
M19,Undergraduate,MATH      4B,ROBINETT E L,C+,3
M19,Undergraduate,MATH      4B,ROBINETT E L,C,8
M19,Undergraduate,MATH      4B,ROBINETT E L,D,3
M19,Undergraduate,MATH      4B,ROBINETT E L,F,6
M19,Undergraduate,MATH      6A,EBRAHIM E,A+,23
M19,Undergraduate,MATH      6A,EBRAHIM E,A,19
M19,Undergraduate,MATH      6A,EBRAHIM E,A-,5
M19,Undergraduate,MATH      6A,EBRAHIM E,B+,7
M19,Undergraduate,MATH      6A,EBRAHIM E,B,10
M19,Undergraduate,MATH      6A,EBRAHIM E,B-,4
M19,Undergraduate,MATH      6A,EBRAHIM E,C+,2
M19,Undergraduate,MATH      6A,EBRAHIM E,C,9
M19,Undergraduate,MATH      6A,EBRAHIM E,C-,4
M19,Undergraduate,MATH      6A,EBRAHIM E,D+,1
M19,Undergraduate,MATH      6A,EBRAHIM E,D,2
M19,Undergraduate,MATH      6A,EBRAHIM E,D-,1
M19,Undergraduate,MATH      6A,EBRAHIM E,F,6
M19,Undergraduate,MATH      6A,EPELBAUM D P,A+,3
M19,Undergraduate,MATH      6A,EPELBAUM D P,A,6
M19,Undergraduate,MATH      6A,EPELBAUM D P,B+,4
M19,Undergraduate,MATH      6A,EPELBAUM D P,B,7
M19,Undergraduate,MATH      6A,EPELBAUM D P,C,3
M19,Undergraduate,MATH      6A,EPELBAUM D P,F,4
M19,Undergraduate,MATH      6A,LU D,A+,5
M19,Undergraduate,MATH      6A,LU D,A,16
M19,Undergraduate,MATH      6A,LU D,A-,16
M19,Undergraduate,MATH      6A,LU D,B+,8
M19,Undergraduate,MATH      6A,LU D,B,14
M19,Undergraduate,MATH      6A,LU D,B-,8
M19,Undergraduate,MATH      6A,LU D,C+,10
M19,Undergraduate,MATH      6A,LU D,C,4
M19,Undergraduate,MATH      6A,LU D,D+,1
M19,Undergraduate,MATH      6A,LU D,D,2
M19,Undergraduate,MATH      6A,LU D,D-,3
M19,Undergraduate,MATH      6A,LU D,F,3
M19,Undergraduate,MATH      6B,FROST G A,A+,10
M19,Undergraduate,MATH      6B,FROST G A,A,11
M19,Undergraduate,MATH      6B,FROST G A,A-,2
M19,Undergraduate,MATH      6B,FROST G A,B,3
M19,Undergraduate,MATH      6B,FROST G A,C+,1
M19,Undergraduate,MATH      6B,FROST G A,C,2
M19,Undergraduate,MATH      6B,FROST G A,D,1
M19,Undergraduate,MATH      6B,FROST G A,F,1
M19,Undergraduate,MATH      6B,MARTINS RODRI,A+,5
M19,Undergraduate,MATH      6B,MARTINS RODRI,A,9
M19,Undergraduate,MATH      6B,MARTINS RODRI,A-,8
M19,Undergraduate,MATH      6B,MARTINS RODRI,B+,4
M19,Undergraduate,MATH      6B,MARTINS RODRI,B,20
M19,Undergraduate,MATH      6B,MARTINS RODRI,B-,9
M19,Undergraduate,MATH      6B,MARTINS RODRI,C+,2
M19,Undergraduate,MATH      6B,MARTINS RODRI,C,3
M19,Undergraduate,MATH      6B,MARTINS RODRI,C-,1
M19,Undergraduate,MATH      6B,MARTINS RODRI,D,1
