Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M19,Undergraduate,PSY       1,IHM E D,A+,13
M19,Undergraduate,PSY       1,IHM E D,A,10
M19,Undergraduate,PSY       1,IHM E D,A-,6
M19,Undergraduate,PSY       1,IHM E D,B+,6
M19,Undergraduate,PSY       1,IHM E D,B,12
M19,Undergraduate,PSY       1,IHM E D,B-,5
M19,Undergraduate,PSY       1,IHM E D,C+,3
M19,Undergraduate,PSY       1,IHM E D,C,10
M19,Undergraduate,PSY       1,IHM E D,C-,1
M19,Undergraduate,PSY       1,IHM E D,D+,1
M19,Undergraduate,PSY       1,IHM E D,D,5
M19,Undergraduate,PSY       1,IHM E D,D-,1
M19,Undergraduate,PSY       1,IHM E D,F,4
M19,Undergraduate,PSY      10A,MERMELSTEIN S,A+,1
M19,Undergraduate,PSY      10A,MERMELSTEIN S,A,29
M19,Undergraduate,PSY      10A,MERMELSTEIN S,A-,20
M19,Undergraduate,PSY      10A,MERMELSTEIN S,B+,20
M19,Undergraduate,PSY      10A,MERMELSTEIN S,B,13
M19,Undergraduate,PSY      10A,MERMELSTEIN S,B-,13
M19,Undergraduate,PSY      10A,MERMELSTEIN S,C+,1
M19,Undergraduate,PSY      10A,MERMELSTEIN S,C,7
M19,Undergraduate,PSY      10A,MERMELSTEIN S,C-,4
M19,Undergraduate,PSY      10A,MERMELSTEIN S,D,2
M19,Undergraduate,PSY      10A,MERMELSTEIN S,F,5
M19,Undergraduate,PSY      10B,MUNASINGHE A,A,49
M19,Undergraduate,PSY      10B,MUNASINGHE A,A-,14
M19,Undergraduate,PSY      10B,MUNASINGHE A,B+,18
M19,Undergraduate,PSY      10B,MUNASINGHE A,B,18
M19,Undergraduate,PSY      10B,MUNASINGHE A,B-,9
M19,Undergraduate,PSY      10B,MUNASINGHE A,C+,5
M19,Undergraduate,PSY      10B,MUNASINGHE A,C,4
M19,Undergraduate,PSY      10B,MUNASINGHE A,D-,2
M19,Undergraduate,PSY     102,HAI J,A,33
M19,Undergraduate,PSY     102,HAI J,B,16
M19,Undergraduate,PSY     102,HAI J,C,4
M19,Undergraduate,PSY     102,HAI J,D,1
M19,Undergraduate,PSY     102,SMALL P A,A,18
