Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,A+,10
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,A,35
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,A-,28
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,B+,7
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,B,8
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,B-,5
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,C+,3
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,C,4
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,C-,2
M20,Undergraduate,CH ST     1A,ARMBRUSTER R,F,4
M20,Undergraduate,CH ST     1B,VILLANUEVA-NI,A,64
M20,Undergraduate,CH ST     1B,VILLANUEVA-NI,A-,2
M20,Undergraduate,CH ST     1B,VILLANUEVA-NI,B,1
M20,Undergraduate,CH ST     1B,VILLANUEVA-NI,B-,1
M20,Undergraduate,CH ST     1B,VILLANUEVA-NI,C+,1
M20,Undergraduate,CH ST     1C,CASILLAS D I,A+,3
M20,Undergraduate,CH ST     1C,CASILLAS D I,A,15
M20,Undergraduate,CH ST     1C,CASILLAS D I,A-,10
M20,Undergraduate,CH ST     1C,CASILLAS D I,B+,10
M20,Undergraduate,CH ST     1C,CASILLAS D I,B,8
M20,Undergraduate,CH ST     1C,CASILLAS D I,B-,3
M20,Undergraduate,CH ST     1C,CASILLAS D I,C+,1
M20,Undergraduate,CH ST     1C,CASILLAS D I,C,3
M20,Undergraduate,CH ST   133,ZARATE A D,A+,2
M20,Undergraduate,CH ST   133,ZARATE A D,A,10
M20,Undergraduate,CH ST   133,ZARATE A D,A-,1
M20,Undergraduate,CH ST   133,ZARATE A D,B+,5
M20,Undergraduate,CH ST   133,ZARATE A D,B,10
M20,Undergraduate,CH ST   133,ZARATE A D,B-,1
M20,Undergraduate,CH ST   133,ZARATE A D,C+,1
M20,Undergraduate,CH ST   138,GARCIA GONZAL,A+,1
M20,Undergraduate,CH ST   138,GARCIA GONZAL,A,20
M20,Undergraduate,CH ST   138,GARCIA GONZAL,A-,5
M20,Undergraduate,CH ST   138,GARCIA GONZAL,B+,4
M20,Undergraduate,CH ST   138,GARCIA GONZAL,B,2
M20,Undergraduate,CH ST   138,GARCIA GONZAL,B-,1
M20,Undergraduate,CH ST   138,GARCIA GONZAL,C+,1
M20,Undergraduate,CH ST   140,CHAVEZ M V,A,1
M20,Undergraduate,CH ST   140,CHAVEZ M V,A-,5
M20,Undergraduate,CH ST   140,CHAVEZ M V,B+,14
M20,Undergraduate,CH ST   140,CHAVEZ M V,B,9
M20,Undergraduate,CH ST   140,CHAVEZ M V,B-,1
M20,Undergraduate,CH ST   140,CHAVEZ M V,C,2
M20,Undergraduate,CH ST   140,CHAVEZ M V,D+,1
M20,Undergraduate,CH ST   168B,MORENO CAMPOS,A+,5
M20,Undergraduate,CH ST   168B,MORENO CAMPOS,A,24
M20,Undergraduate,CH ST   168B,MORENO CAMPOS,A-,1
M20,Undergraduate,CH ST   168B,MORENO CAMPOS,C,1
M20,Undergraduate,CH ST   168B,MORENO CAMPOS,F,2
M20,Undergraduate,CH ST   184A,GARCIA M,A+,14
M20,Undergraduate,CH ST   184A,GARCIA M,A,5
M20,Undergraduate,CH ST   184A,GARCIA M,A-,1
M20,Undergraduate,CH ST   184A,GARCIA M,B+,5
M20,Undergraduate,CH ST   184A,GARCIA M,B,4
M20,Undergraduate,CH ST   184A,GARCIA M,B-,2
M20,Undergraduate,CH ST   184A,GARCIA M,C+,2
