Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M20,Undergraduate,CHIN     80,MAZANEC T J,A+,7
M20,Undergraduate,CHIN     80,MAZANEC T J,A,43
M20,Undergraduate,CHIN     80,MAZANEC T J,A-,12
M20,Undergraduate,CHIN     80,MAZANEC T J,B+,5
M20,Undergraduate,CHIN     80,MAZANEC T J,B,7
M20,Undergraduate,CHIN     80,MAZANEC T J,C,2
M20,Undergraduate,CHIN     80,MAZANEC T J,F,3
M20,Undergraduate,CHIN    103,CHEN S C,A+,4
M20,Undergraduate,CHIN    103,CHEN S C,A,9
M20,Undergraduate,CHIN    103,CHEN S C,A-,3
M20,Undergraduate,CHIN    103,CHEN S C,B+,4
M20,Undergraduate,CHIN    103,CHEN S C,F,1
