Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M20,Undergraduate,EEMB      2,EVEN T J,A+,2
M20,Undergraduate,EEMB      2,EVEN T J,A,37
M20,Undergraduate,EEMB      2,EVEN T J,A-,9
M20,Undergraduate,EEMB      2,EVEN T J,B+,4
M20,Undergraduate,EEMB      2,EVEN T J,B,75
M20,Undergraduate,EEMB      2,EVEN T J,B-,10
M20,Undergraduate,EEMB      2,EVEN T J,C+,6
M20,Undergraduate,EEMB      2,EVEN T J,C,80
M20,Undergraduate,EEMB      2,EVEN T J,D+,6
M20,Undergraduate,EEMB      2,EVEN T J,D,33
M20,Undergraduate,EEMB      2,EVEN T J,D-,7
M20,Undergraduate,EEMB      2,EVEN T J,F,19
M20,Undergraduate,EEMB      7,THOMASSON K M,A+,44
M20,Undergraduate,EEMB      7,THOMASSON K M,A,28
M20,Undergraduate,EEMB      7,THOMASSON K M,A-,12
M20,Undergraduate,EEMB      7,THOMASSON K M,B+,12
M20,Undergraduate,EEMB      7,THOMASSON K M,B,15
M20,Undergraduate,EEMB      7,THOMASSON K M,B-,5
M20,Undergraduate,EEMB      7,THOMASSON K M,C,2
M20,Undergraduate,EEMB      7,THOMASSON K M,D,3
M20,Undergraduate,EEMB      7,THOMASSON K M,F,2
M20,Undergraduate,EEMB    102,THOMASSON K M,A+,4
M20,Undergraduate,EEMB    102,THOMASSON K M,A,18
M20,Undergraduate,EEMB    102,THOMASSON K M,A-,19
M20,Undergraduate,EEMB    102,THOMASSON K M,B+,9
M20,Undergraduate,EEMB    102,THOMASSON K M,B,6
M20,Undergraduate,EEMB    102,THOMASSON K M,B-,5
M20,Undergraduate,EEMB    102,THOMASSON K M,C+,1
M20,Undergraduate,EEMB    102,THOMASSON K M,F,1
M20,Undergraduate,EEMB    118,LAMBERT A M,A+,8
M20,Undergraduate,EEMB    118,LAMBERT A M,A,7
M20,Undergraduate,EEMB    118,LAMBERT A M,A-,2
M20,Undergraduate,EEMB    118,LAMBERT A M,B+,1
M20,Undergraduate,EEMB    118,LAMBERT A M,B,4
M20,Undergraduate,EEMB    118,LAMBERT A M,B-,1
M20,Undergraduate,EEMB    118,LAMBERT A M,C,1
M20,Undergraduate,EEMB    118,SELTMANN K,A+,8
M20,Undergraduate,EEMB    118,SELTMANN K,A,7
M20,Undergraduate,EEMB    118,SELTMANN K,A-,2
M20,Undergraduate,EEMB    118,SELTMANN K,B+,1
M20,Undergraduate,EEMB    118,SELTMANN K,B,4
M20,Undergraduate,EEMB    118,SELTMANN K,B-,1
M20,Undergraduate,EEMB    118,SELTMANN K,C,1
M20,Undergraduate,EEMB    120,FORBES E S,A+,15
M20,Undergraduate,EEMB    120,FORBES E S,A,46
M20,Undergraduate,EEMB    120,FORBES E S,A-,1
M20,Undergraduate,EEMB    120,FORBES E S,B+,1
M20,Undergraduate,EEMB    120,FORBES E S,B,2
M20,Undergraduate,EEMB    120,FORBES E S,C+,1
M20,Undergraduate,EEMB    127,PARK I W,A+,5
M20,Undergraduate,EEMB    127,PARK I W,A,24
M20,Undergraduate,EEMB    127,PARK I W,A-,22
M20,Undergraduate,EEMB    127,PARK I W,B+,9
M20,Undergraduate,EEMB    127,PARK I W,B,3
M20,Undergraduate,EEMB    127,PARK I W,B-,1
M20,Undergraduate,EEMB    127,PARK I W,C+,1
M20,Undergraduate,EEMB    127,PARK I W,D+,1
M20,Undergraduate,EEMB    158,IGLESIAS-RODR,A,13
M20,Undergraduate,EEMB    158,IGLESIAS-RODR,A-,7
M20,Undergraduate,EEMB    158,IGLESIAS-RODR,B+,3
M20,Undergraduate,EEMB    158,IGLESIAS-RODR,B,7
M20,Undergraduate,EEMB    158,IGLESIAS-RODR,B-,2
M20,Undergraduate,EEMB    158,IGLESIAS-RODR,C+,3
M20,Undergraduate,EEMB    158,IGLESIAS-RODR,C,1
M20,Undergraduate,EEMB    158,IGLESIAS-RODR,F,1
M20,Undergraduate,EEMB    159,EVEN T J,A+,1
M20,Undergraduate,EEMB    159,EVEN T J,A,12
M20,Undergraduate,EEMB    159,EVEN T J,A-,2
M20,Undergraduate,EEMB    159,EVEN T J,B+,3
M20,Undergraduate,EEMB    159,EVEN T J,B,23
M20,Undergraduate,EEMB    159,EVEN T J,B-,1
M20,Undergraduate,EEMB    159,EVEN T J,C+,1
M20,Undergraduate,EEMB    159,EVEN T J,C,8
M20,Undergraduate,EEMB    159,EVEN T J,D+,1
M20,Undergraduate,EEMB    159,EVEN T J,D,3
M20,Undergraduate,EEMB W   22,EVEN T J,A+,1
M20,Undergraduate,EEMB W   22,EVEN T J,A,11
M20,Undergraduate,EEMB W   22,EVEN T J,B+,2
M20,Undergraduate,EEMB W   22,EVEN T J,B,4
M20,Undergraduate,EEMB W   22,EVEN T J,B-,1
M20,Undergraduate,EEMB W   22,EVEN T J,C,7
M20,Undergraduate,EEMB W   22,EVEN T J,D,1
M20,Undergraduate,EEMB W   22,EVEN T J,F,1
M20,Undergraduate,EEMB W  146,BRIGGS C J,A+,7
M20,Undergraduate,EEMB W  146,BRIGGS C J,A,24
M20,Undergraduate,EEMB W  146,BRIGGS C J,A-,2
M20,Undergraduate,EEMB W  146,BRIGGS C J,B+,5
M20,Undergraduate,EEMB W  146,BRIGGS C J,B,7
M20,Undergraduate,EEMB W  146,BRIGGS C J,C+,4
M20,Undergraduate,EEMB W  146,BRIGGS C J,C,1
M20,Undergraduate,EEMB W  146,BRIGGS C J,D,1
M20,Undergraduate,EEMB W  146,BRIGGS C J,F,1
