Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M20,Undergraduate,FEMSTW   20,STAHL A,A+,32
M20,Undergraduate,FEMSTW   20,STAHL A,A,59
M20,Undergraduate,FEMSTW   20,STAHL A,A-,6
M20,Undergraduate,FEMSTW   20,STAHL A,B+,8
M20,Undergraduate,FEMSTW   20,STAHL A,B,3
M20,Undergraduate,FEMSTW   20,STAHL A,B-,4
M20,Undergraduate,FEMSTW   20,STAHL A,C,1
M20,Undergraduate,FEMSTW   20,STAHL A,C-,2
M20,Undergraduate,FEMSTW   20,STAHL A,D,2
M20,Undergraduate,FEMSTW   20,STAHL A,F,6
M20,Undergraduate,FEMSTW   20,WALD A P,A+,70
M20,Undergraduate,FEMSTW   20,WALD A P,A,43
M20,Undergraduate,FEMSTW   20,WALD A P,A-,16
M20,Undergraduate,FEMSTW   20,WALD A P,B+,5
M20,Undergraduate,FEMSTW   20,WALD A P,B,9
M20,Undergraduate,FEMSTW   20,WALD A P,B-,3
M20,Undergraduate,FEMSTW   20,WALD A P,C+,2
M20,Undergraduate,FEMSTW   20,WALD A P,C,1
M20,Undergraduate,FEMSTW   20,WALD A P,C-,1
M20,Undergraduate,FEMSTW   20,WALD A P,D+,1
M20,Undergraduate,FEMSTW   20,WALD A P,F,6
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,A+,50
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,A,53
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,A-,25
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,B+,9
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,B,13
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,B-,5
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,C+,4
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,C,3
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,C-,1
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,D,1
M20,Undergraduate,FEMSTW  150,VICTORIAN J M,F,6
M20,Undergraduate,FEMSTW  150,WEBBER M E,A+,11
M20,Undergraduate,FEMSTW  150,WEBBER M E,A,68
M20,Undergraduate,FEMSTW  150,WEBBER M E,A-,24
M20,Undergraduate,FEMSTW  150,WEBBER M E,B+,9
M20,Undergraduate,FEMSTW  150,WEBBER M E,B,12
M20,Undergraduate,FEMSTW  150,WEBBER M E,B-,3
M20,Undergraduate,FEMSTW  150,WEBBER M E,C+,3
M20,Undergraduate,FEMSTW  150,WEBBER M E,C,1
M20,Undergraduate,FEMSTW  150,WEBBER M E,C-,1
M20,Undergraduate,FEMSTW  150,WEBBER M E,D,1
M20,Undergraduate,FEMSTW  150,WEBBER M E,F,12
