Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M20,Undergraduate,GEOG W    8,GAUTIER C H,A+,6
M20,Undergraduate,GEOG W    8,GAUTIER C H,A,7
M20,Undergraduate,GEOG W    8,GAUTIER C H,A-,5
M20,Undergraduate,GEOG W    8,GAUTIER C H,B+,9
M20,Undergraduate,GEOG W    8,GAUTIER C H,B-,2
M20,Undergraduate,GEOG W    8,GAUTIER C H,C,1
M20,Undergraduate,GEOG W    8,GAUTIER C H,F,3
M20,Undergraduate,GEOG W   12,KIRKBY J M,A,58
M20,Undergraduate,GEOG W   12,KIRKBY J M,A-,8
M20,Undergraduate,GEOG W   12,KIRKBY J M,B+,4
M20,Undergraduate,GEOG W   12,KIRKBY J M,B,4
M20,Undergraduate,GEOG W   12,KIRKBY J M,B-,1
M20,Undergraduate,GEOG W   12,KIRKBY J M,C-,1
M20,Undergraduate,GEOG W   12,KIRKBY J M,D,1
M20,Undergraduate,GEOG W   12,KIRKBY J M,F,2
M20,Undergraduate,GEOG W   12,NOI E,A,66
M20,Undergraduate,GEOG W   12,NOI E,A-,5
M20,Undergraduate,GEOG W   12,NOI E,B+,1
M20,Undergraduate,GEOG W   12,NOI E,B,3
M20,Undergraduate,GEOG W   12,NOI E,B-,1
M20,Undergraduate,GEOG W   12,NOI E,C+,1
M20,Undergraduate,GEOG W   12,NOI E,C,2
