Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M20,Undergraduate,LING      3C,ELLIOTT G,A+,1
M20,Undergraduate,LING      3C,ELLIOTT G,A,6
M20,Undergraduate,LING      3C,ELLIOTT G,A-,1
M20,Undergraduate,LING      3C,ELLIOTT G,B+,1
M20,Undergraduate,LING      3C,ELLIOTT G,B,1
M20,Undergraduate,LING      3C,ELLIOTT G,B-,1
M20,Undergraduate,LING      3C,ELLIOTT G,C+,1
M20,Undergraduate,LING      3C,ELLIOTT G,C,1
M20,Undergraduate,LING      3C,ELLIOTT G,F,1
M20,Undergraduate,LING      3C,MULLEN J O,A,10
M20,Undergraduate,LING      3C,MULLEN J O,A-,4
M20,Undergraduate,LING      3C,MULLEN J O,B+,3
M20,Undergraduate,LING      3C,MULLEN J O,B,1
M20,Undergraduate,LING      8,BOWMAN I K,A+,6
M20,Undergraduate,LING      8,BOWMAN I K,A,1
M20,Undergraduate,LING      8,BOWMAN I K,F,1
M20,Undergraduate,LING     12,LASHMET A J,A,7
M20,Undergraduate,LING     12,LASHMET A J,A-,3
M20,Undergraduate,LING     12,LASHMET A J,B+,2
M20,Undergraduate,LING     12,LASHMET A J,B,3
M20,Undergraduate,LING     12,LASHMET A J,F,1
M20,Undergraduate,LING     12,RIGHTMIRE S R,A,12
M20,Undergraduate,LING     12,RIGHTMIRE S R,A-,2
M20,Undergraduate,LING     12,RIGHTMIRE S R,B+,2
M20,Undergraduate,LING     12,RIGHTMIRE S R,B,1
M20,Undergraduate,LING     12,SMALL A L,A,5
M20,Undergraduate,LING     12,SMALL A L,A-,7
M20,Undergraduate,LING     12,SMALL A L,B,2
M20,Undergraduate,LING     12,SMALL A L,B-,1
M20,Undergraduate,LING     12,SMALL A L,C+,1
M20,Undergraduate,LING     15,KENNEDY R A,A+,7
M20,Undergraduate,LING     15,KENNEDY R A,A,13
M20,Undergraduate,LING     15,KENNEDY R A,A-,9
M20,Undergraduate,LING     15,KENNEDY R A,B+,4
M20,Undergraduate,LING     15,KENNEDY R A,B,4
M20,Undergraduate,LING     15,KENNEDY R A,B-,2
M20,Undergraduate,LING     15,KENNEDY R A,C+,2
M20,Undergraduate,LING     15,KENNEDY R A,C,1
M20,Undergraduate,LING     15,KENNEDY R A,D,1
M20,Undergraduate,LING     15,KENNEDY R A,D-,1
M20,Undergraduate,LING     15,KENNEDY R A,F,2
M20,Undergraduate,LING     20,OLGUIN MARTIN,A+,5
M20,Undergraduate,LING     20,OLGUIN MARTIN,A,6
M20,Undergraduate,LING     20,OLGUIN MARTIN,A-,3
M20,Undergraduate,LING     20,OLGUIN MARTIN,B+,4
M20,Undergraduate,LING     20,OLGUIN MARTIN,B,3
M20,Undergraduate,LING     20,OLGUIN MARTIN,B-,1
M20,Undergraduate,LING     20,OLGUIN MARTIN,C+,1
M20,Undergraduate,LING     20,OLGUIN MARTIN,D,2
M20,Undergraduate,LING     20,OLGUIN MARTIN,F,3
M20,Undergraduate,LING    101,MILES-HERCULE,A+,6
M20,Undergraduate,LING    106,CROUCH C Q,A,11
M20,Undergraduate,LING    106,CROUCH C Q,A-,9
M20,Undergraduate,LING    106,CROUCH C Q,B+,4
M20,Undergraduate,LING    106,CROUCH C Q,B,7
M20,Undergraduate,LING    106,CROUCH C Q,B-,1
M20,Undergraduate,LING    106,CROUCH C Q,C,3
M20,Undergraduate,LING    106,CROUCH C Q,D+,1
M20,Undergraduate,LING    106,CROUCH C Q,F,2
M20,Undergraduate,LING    132,WILLIS C M,A+,13
M20,Undergraduate,LING    132,WILLIS C M,A,40
M20,Undergraduate,LING    132,WILLIS C M,A-,1
M20,Undergraduate,LING    132,WILLIS C M,B+,6
M20,Undergraduate,LING    132,WILLIS C M,B,2
M20,Undergraduate,LING    132,WILLIS C M,B-,1
M20,Undergraduate,LING    132,WILLIS C M,C+,1
M20,Undergraduate,LING    132,WILLIS C M,C,1
M20,Undergraduate,LING    132,WILLIS C M,C-,2
M20,Undergraduate,LING    132,WILLIS C M,D+,1
M20,Undergraduate,LING    132,WILLIS C M,F,2
M20,Undergraduate,LING    135,WHITESIDES K,A+,11
M20,Undergraduate,LING    135,WHITESIDES K,A,3
M20,Undergraduate,LING    135,WHITESIDES K,B+,2
M20,Undergraduate,LING    135,WHITESIDES K,B,1
M20,Undergraduate,LING    135,WHITESIDES K,B-,1
M20,Undergraduate,LING    135,WHITESIDES K,C,1
M20,Undergraduate,LING    135,WHITESIDES K,C-,1
M20,Undergraduate,LING    135,WHITESIDES K,D+,1
M20,Undergraduate,LING    135,WHITESIDES K,D,1
M20,Undergraduate,LING    135,WHITESIDES K,F,3
