Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M20,Undergraduate,WRIT W  107WC,BROWN KARA,A,42
M20,Undergraduate,WRIT W  107WC,BROWN KARA,A-,3
M20,Undergraduate,WRIT W  107WC,WEBBER M A,A,3
M20,Undergraduate,WRIT W  107WC,WEBBER M A,A-,8
M20,Undergraduate,WRIT W  107WC,WEBBER M A,B+,2
M20,Undergraduate,WRIT W  107WC,WEBBER M A,B,2
M20,Undergraduate,WRIT W  109ST,FRANK D M,A+,1
M20,Undergraduate,WRIT W  109ST,FRANK D M,A,16
M20,Undergraduate,WRIT W  109ST,FRANK D M,A-,2
M20,Undergraduate,WRIT W  109ST,FRANK D M,B+,1
