Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M21,Undergraduate,GER       1,WHITE K D,A+,6
M21,Undergraduate,GER       1,WHITE K D,A,7
M21,Undergraduate,GER       1,WHITE K D,B,1
M21,Undergraduate,GER       1,WHITE K D,C,2
M21,Undergraduate,GER       2,WHITE K D,A+,4
M21,Undergraduate,GER       2,WHITE K D,A,9
M21,Undergraduate,GER       2,WHITE K D,A-,1
M21,Undergraduate,GER       2,WHITE K D,B+,2
M21,Undergraduate,GER       2,WHITE K D,C,1
M21,Undergraduate,GER       2,WHITE K D,F,1
M21,Undergraduate,GER       3,PAJAK A K,A+,7
M21,Undergraduate,GER       3,PAJAK A K,A,4
M21,Undergraduate,GER       3,PAJAK A K,B+,1
M21,Undergraduate,GER      55A,SUN X,A+,5
M21,Undergraduate,GER      55A,SUN X,A,5
M21,Undergraduate,GER      55A,SUN X,A-,3
M21,Undergraduate,GER      55A,SUN X,B+,2
M21,Undergraduate,GER      55A,SUN X,B,1
M21,Undergraduate,GER      55A,SUN X,F,2
M21,Undergraduate,GER     109AA,STROBEL M,A+,2
M21,Undergraduate,GER     109AA,STROBEL M,A,7
