Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M21,Undergraduate,INT  W   20,ALAVI S M,P,45
M21,Undergraduate,INT  W   20,ALAVI S M,NP,2
M21,Undergraduate,INT  W   20,MUWWAKKIL J J,P,38
M21,Undergraduate,INT  W   20,MUWWAKKIL J J,NP,3
M21,Undergraduate,INT  W   22,ZHENG X,F,1
M21,Undergraduate,INT  W   22,ZHENG X,P,13
M21,Undergraduate,INT  W  120,DOMINGUEZ-WHI,P,123
M21,Undergraduate,INT  W  120,DOMINGUEZ-WHI,NP,1
M21,Undergraduate,INT  W  188C,MULLIN D I,P,27
M21,Undergraduate,INT  W  188C,MULLIN D I,NP,1
M21,Undergraduate,INT  W  188E,HARTMAN J L,P,38
M21,Undergraduate,INT  W  188E,HARTMAN J L,NP,4
