Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
M21,Undergraduate,PSTAT     5A,BORSA C,A+,7
M21,Undergraduate,PSTAT     5A,BORSA C,A,4
M21,Undergraduate,PSTAT     5A,BORSA C,A-,10
M21,Undergraduate,PSTAT     5A,BORSA C,B+,9
M21,Undergraduate,PSTAT     5A,BORSA C,B,12
M21,Undergraduate,PSTAT     5A,BORSA C,B-,10
M21,Undergraduate,PSTAT     5A,BORSA C,C+,4
M21,Undergraduate,PSTAT     5A,BORSA C,C,3
M21,Undergraduate,PSTAT     5A,BORSA C,C-,4
M21,Undergraduate,PSTAT     5A,BORSA C,D,1
M21,Undergraduate,PSTAT     5A,BORSA C,F,2
M21,Undergraduate,PSTAT     5A,SWENSON J S,A+,2
M21,Undergraduate,PSTAT     5A,SWENSON J S,A,9
M21,Undergraduate,PSTAT     5A,SWENSON J S,A-,10
M21,Undergraduate,PSTAT     5A,SWENSON J S,B+,9
M21,Undergraduate,PSTAT     5A,SWENSON J S,B,14
M21,Undergraduate,PSTAT     5A,SWENSON J S,B-,7
M21,Undergraduate,PSTAT     5A,SWENSON J S,C+,7
M21,Undergraduate,PSTAT     5A,SWENSON J S,C,6
M21,Undergraduate,PSTAT     5A,SWENSON J S,C-,1
M21,Undergraduate,PSTAT     5A,SWENSON J S,D+,2
M21,Undergraduate,PSTAT     5A,SWENSON J S,D-,1
M21,Undergraduate,PSTAT     5LS,DUAN S,A+,2
M21,Undergraduate,PSTAT     5LS,DUAN S,A,6
M21,Undergraduate,PSTAT     5LS,DUAN S,A-,4
M21,Undergraduate,PSTAT     5LS,DUAN S,B+,2
M21,Undergraduate,PSTAT     5LS,DUAN S,B,9
M21,Undergraduate,PSTAT     5LS,DUAN S,B-,6
M21,Undergraduate,PSTAT     5LS,DUAN S,C+,5
M21,Undergraduate,PSTAT     5LS,DUAN S,C,7
M21,Undergraduate,PSTAT     5LS,DUAN S,C-,1
M21,Undergraduate,PSTAT     5LS,DUAN S,D,5
M21,Undergraduate,PSTAT     5LS,DUAN S,F,4
M21,Undergraduate,PSTAT    10,HOLMES D E,A,11
M21,Undergraduate,PSTAT    10,HOLMES D E,A-,5
M21,Undergraduate,PSTAT    10,HOLMES D E,B+,2
M21,Undergraduate,PSTAT    10,HOLMES D E,B,14
M21,Undergraduate,PSTAT    10,HOLMES D E,B-,2
M21,Undergraduate,PSTAT    10,HOLMES D E,C+,1
M21,Undergraduate,PSTAT    10,HOLMES D E,C,4
M21,Undergraduate,PSTAT    10,HOLMES D E,C-,3
M21,Undergraduate,PSTAT    10,HOLMES D E,F,4
M21,Undergraduate,PSTAT   109,PADILLA D Y,A+,3
M21,Undergraduate,PSTAT   109,PADILLA D Y,A,12
M21,Undergraduate,PSTAT   109,PADILLA D Y,A-,7
M21,Undergraduate,PSTAT   109,PADILLA D Y,B+,10
M21,Undergraduate,PSTAT   109,PADILLA D Y,B,11
M21,Undergraduate,PSTAT   109,PADILLA D Y,B-,5
M21,Undergraduate,PSTAT   109,PADILLA D Y,C+,5
M21,Undergraduate,PSTAT   109,PADILLA D Y,C,9
M21,Undergraduate,PSTAT   109,PADILLA D Y,C-,2
M21,Undergraduate,PSTAT   109,PADILLA D Y,D+,1
M21,Undergraduate,PSTAT   109,PADILLA D Y,D,1
M21,Undergraduate,PSTAT   109,PADILLA D Y,F,1
M21,Undergraduate,PSTAT   109,WAINWRIGHT B,A,16
M21,Undergraduate,PSTAT   109,WAINWRIGHT B,B+,5
M21,Undergraduate,PSTAT   109,WAINWRIGHT B,B,22
M21,Undergraduate,PSTAT   109,WAINWRIGHT B,C+,4
M21,Undergraduate,PSTAT   109,WAINWRIGHT B,C,10
M21,Undergraduate,PSTAT   109,WAINWRIGHT B,F,4
M21,Undergraduate,PSTAT   120B,HE J,A+,4
M21,Undergraduate,PSTAT   120B,HE J,A,5
M21,Undergraduate,PSTAT   120B,HE J,A-,4
M21,Undergraduate,PSTAT   120B,HE J,B+,6
M21,Undergraduate,PSTAT   120B,HE J,B,11
M21,Undergraduate,PSTAT   120B,HE J,B-,8
M21,Undergraduate,PSTAT   120B,HE J,C+,4
M21,Undergraduate,PSTAT   120B,HE J,C,3
M21,Undergraduate,PSTAT   120B,HE J,C-,2
M21,Undergraduate,PSTAT   120B,HE J,D+,1
M21,Undergraduate,PSTAT   120B,HE J,F,1
M21,Undergraduate,PSTAT   120B,MISRA N,A+,1
M21,Undergraduate,PSTAT   120B,MISRA N,A,2
M21,Undergraduate,PSTAT   120B,MISRA N,A-,1
M21,Undergraduate,PSTAT   120B,MISRA N,B+,2
M21,Undergraduate,PSTAT   120B,MISRA N,B,4
M21,Undergraduate,PSTAT   120B,MISRA N,B-,2
M21,Undergraduate,PSTAT   120B,MISRA N,C,1
M21,Undergraduate,PSTAT   120B,MISRA N,C-,2
M21,Undergraduate,PSTAT   120B,MISRA N,D+,2
M21,Undergraduate,PSTAT   120B,MISRA N,D,1
M21,Undergraduate,PSTAT   120B,MISRA N,F,3
M21,Undergraduate,PSTAT   120B,RUIZ T D,A,16
M21,Undergraduate,PSTAT   120B,RUIZ T D,A-,10
M21,Undergraduate,PSTAT   120B,RUIZ T D,B+,12
M21,Undergraduate,PSTAT   120B,RUIZ T D,B,9
M21,Undergraduate,PSTAT   120B,RUIZ T D,B-,2
