Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S10,Undergraduate,AS AM     5,PANDYA S P,A+,11
S10,Undergraduate,AS AM     5,PANDYA S P,A,44
S10,Undergraduate,AS AM     5,PANDYA S P,A-,47
S10,Undergraduate,AS AM     5,PANDYA S P,B+,29
S10,Undergraduate,AS AM     5,PANDYA S P,B,48
S10,Undergraduate,AS AM     5,PANDYA S P,B-,30
S10,Undergraduate,AS AM     5,PANDYA S P,C+,15
S10,Undergraduate,AS AM     5,PANDYA S P,C,25
S10,Undergraduate,AS AM     5,PANDYA S P,C-,6
S10,Undergraduate,AS AM     5,PANDYA S P,D,6
S10,Undergraduate,AS AM     5,PANDYA S P,F,11
S10,Undergraduate,AS AM    71,BUSTO R V,A+,1
S10,Undergraduate,AS AM    71,BUSTO R V,A,16
S10,Undergraduate,AS AM    71,BUSTO R V,A-,10
S10,Undergraduate,AS AM    71,BUSTO R V,B+,16
S10,Undergraduate,AS AM    71,BUSTO R V,B,14
S10,Undergraduate,AS AM    71,BUSTO R V,B-,9
S10,Undergraduate,AS AM    71,BUSTO R V,C+,9
S10,Undergraduate,AS AM    71,BUSTO R V,C,7
S10,Undergraduate,AS AM    71,BUSTO R V,C-,1
S10,Undergraduate,AS AM    71,BUSTO R V,D,1
S10,Undergraduate,AS AM    71,BUSTO R V,D-,1
S10,Undergraduate,AS AM    71,BUSTO R V,F,3
S10,Undergraduate,AS AM   100HH,ZULUETA B C,A,2
S10,Undergraduate,AS AM   100HH,ZULUETA B C,A-,5
S10,Undergraduate,AS AM   100HH,ZULUETA B C,B+,8
S10,Undergraduate,AS AM   100HH,ZULUETA B C,B,6
S10,Undergraduate,AS AM   100HH,ZULUETA B C,B-,6
S10,Undergraduate,AS AM   100HH,ZULUETA B C,C+,5
S10,Undergraduate,AS AM   100HH,ZULUETA B C,C,2
S10,Undergraduate,AS AM   100HH,ZULUETA B C,C-,2
S10,Undergraduate,AS AM   100HH,ZULUETA B C,F,1
S10,Undergraduate,AS AM   107,FUJINO D C,A,2
S10,Undergraduate,AS AM   107,FUJINO D C,A-,6
S10,Undergraduate,AS AM   107,FUJINO D C,B+,5
S10,Undergraduate,AS AM   107,FUJINO D C,B,15
S10,Undergraduate,AS AM   107,FUJINO D C,B-,6
S10,Undergraduate,AS AM   107,FUJINO D C,C+,6
S10,Undergraduate,AS AM   107,FUJINO D C,C,1
S10,Undergraduate,AS AM   107,FUJINO D C,D-,1
S10,Undergraduate,AS AM   120,CHENG E W,A,9
S10,Undergraduate,AS AM   120,CHENG E W,A-,6
S10,Undergraduate,AS AM   120,CHENG E W,B+,5
S10,Undergraduate,AS AM   120,CHENG E W,B,2
S10,Undergraduate,AS AM   120,CHENG E W,B-,5
S10,Undergraduate,AS AM   120,CHENG E W,C+,2
S10,Undergraduate,AS AM   120,CHENG E W,C,10
S10,Undergraduate,AS AM   120,CHENG E W,C-,2
S10,Undergraduate,AS AM   120,CHENG E W,D,1
S10,Undergraduate,AS AM   120,CHENG E W,F,3
S10,Undergraduate,AS AM   122,NINH E K,A,5
S10,Undergraduate,AS AM   122,NINH E K,A-,8
S10,Undergraduate,AS AM   122,NINH E K,B+,8
S10,Undergraduate,AS AM   122,NINH E K,B,8
S10,Undergraduate,AS AM   122,NINH E K,B-,11
S10,Undergraduate,AS AM   122,NINH E K,C+,3
S10,Undergraduate,AS AM   122,NINH E K,C,1
S10,Undergraduate,AS AM   122,NINH E K,D+,1
S10,Undergraduate,AS AM   126,MARTINEZ C A,A,6
S10,Undergraduate,AS AM   126,MARTINEZ C A,A-,8
S10,Undergraduate,AS AM   126,MARTINEZ C A,B+,7
S10,Undergraduate,AS AM   126,MARTINEZ C A,B,3
S10,Undergraduate,AS AM   126,MARTINEZ C A,C,1
S10,Undergraduate,AS AM   129,CHENG E W,A,8
S10,Undergraduate,AS AM   129,CHENG E W,A-,4
S10,Undergraduate,AS AM   129,CHENG E W,B+,7
S10,Undergraduate,AS AM   129,CHENG E W,B,6
S10,Undergraduate,AS AM   129,CHENG E W,B-,2
S10,Undergraduate,AS AM   129,CHENG E W,C+,1
S10,Undergraduate,AS AM   129,CHENG E W,C,3
S10,Undergraduate,AS AM   129,CHENG E W,D,2
S10,Undergraduate,AS AM   142,HARSHA A,A,26
S10,Undergraduate,AS AM   156,PARK J S W,A,5
S10,Undergraduate,AS AM   156,PARK J S W,A-,3
S10,Undergraduate,AS AM   156,PARK J S W,B+,6
S10,Undergraduate,AS AM   156,PARK J S W,B,2
S10,Undergraduate,AS AM   156,PARK J S W,B-,2
S10,Undergraduate,AS AM   156,PARK J S W,C+,1
S10,Undergraduate,AS AM   156,PARK J S W,C,3
S10,Undergraduate,AS AM   156,PARK J S W,C-,2
S10,Undergraduate,AS AM   156,PARK J S W,F,1
S10,Undergraduate,AS AM   158,PANDYA S P,A,7
S10,Undergraduate,AS AM   158,PANDYA S P,A-,26
S10,Undergraduate,AS AM   158,PANDYA S P,B+,10
S10,Undergraduate,AS AM   158,PANDYA S P,B,1
S10,Undergraduate,AS AM   158,PANDYA S P,B-,1
S10,Undergraduate,AS AM   171HH,ZULUETA B C,A,6
S10,Undergraduate,AS AM   171HH,ZULUETA B C,A-,2
S10,Undergraduate,AS AM   171HH,ZULUETA B C,B+,5
S10,Undergraduate,AS AM   171HH,ZULUETA B C,B,7
S10,Undergraduate,AS AM   171HH,ZULUETA B C,B-,9
S10,Undergraduate,AS AM   171HH,ZULUETA B C,C+,1
S10,Undergraduate,AS AM   171HH,ZULUETA B C,F,1
