Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S10,Graduate,ED   S  395S,KOK O N,S,41
S10,Graduate,ED   SC 392,SLOAN T F,S,12
S10,Graduate,ED   SC 393S,CONVERSE C W,S,12
S10,Graduate,ED   SL 392,SLOAN T F,S,5
S10,Graduate,ED   SL 393S,BAULER C V,S,5
S10,Graduate,ED   SM 392,SLOAN T F,S,6
S10,Graduate,ED   SM 393S,ROSS E G,S,6
S10,Graduate,ED   SS 390S,KOK O N,A,8
S10,Graduate,ED   SS 392,SLOAN T F,S,8
S10,Graduate,ED   SS 393S,KOK O N,S,8
S10,Graduate,ED   ST 392,SLOAN T F,S,10
S10,Graduate,ED   ST 393S,SLOAN T F,S,10
