Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S10,Undergraduate,SHS      50,INGHAM J,A,3
S10,Undergraduate,SHS      50,INGHAM J,A-,4
S10,Undergraduate,SHS      50,INGHAM J,B+,1
S10,Undergraduate,SHS      50,INGHAM J,B,1
S10,Undergraduate,SHS      50,INGHAM J,B-,1
S10,Undergraduate,SHS      50,INGHAM J,C+,1
S10,Undergraduate,SHS      50,INGHAM J,C,1
S10,Undergraduate,SHS      50,INGHAM J,D+,2
S10,Undergraduate,SHS     131,DANHAUER J L,A,11
S10,Undergraduate,SHS     131,DANHAUER J L,A-,4
S10,Undergraduate,SHS     131,DANHAUER J L,B,4
S10,Undergraduate,SHS     131,DANHAUER J L,B-,1
S10,Undergraduate,SHS     131,DANHAUER J L,C,1
S10,Undergraduate,SHS     167,INGHAM R J,A+,1
S10,Undergraduate,SHS     167,INGHAM R J,A,7
S10,Undergraduate,SHS     167,INGHAM R J,A-,8
S10,Undergraduate,SHS     167,INGHAM R J,B+,1
S10,Undergraduate,SHS     167,INGHAM R J,B,3
