Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S11,Undergraduate,BL ST     1,MADISON O F,A+,1
S11,Undergraduate,BL ST     1,MADISON O F,A,8
S11,Undergraduate,BL ST     1,MADISON O F,A-,17
S11,Undergraduate,BL ST     1,MADISON O F,B+,23
S11,Undergraduate,BL ST     1,MADISON O F,B,29
S11,Undergraduate,BL ST     1,MADISON O F,B-,15
S11,Undergraduate,BL ST     1,MADISON O F,C+,4
S11,Undergraduate,BL ST     1,MADISON O F,C,2
S11,Undergraduate,BL ST     1,MADISON O F,C-,5
S11,Undergraduate,BL ST     1,MADISON O F,D+,1
S11,Undergraduate,BL ST     1,MADISON O F,F,6
S11,Undergraduate,BL ST     6,LIPSITZ G R,A,22
S11,Undergraduate,BL ST     6,LIPSITZ G R,A-,32
S11,Undergraduate,BL ST     6,LIPSITZ G R,B+,44
S11,Undergraduate,BL ST     6,LIPSITZ G R,B,46
S11,Undergraduate,BL ST     6,LIPSITZ G R,B-,10
S11,Undergraduate,BL ST     6,LIPSITZ G R,C+,1
S11,Undergraduate,BL ST     6,LIPSITZ G R,C,1
S11,Undergraduate,BL ST     6,LIPSITZ G R,C-,1
S11,Undergraduate,BL ST     6,LIPSITZ G R,F,3
S11,Undergraduate,BL ST    49B,CHIKOWERO M,A,3
S11,Undergraduate,BL ST    49B,CHIKOWERO M,A-,6
S11,Undergraduate,BL ST    49B,CHIKOWERO M,B+,1
S11,Undergraduate,BL ST    49B,CHIKOWERO M,B,2
S11,Undergraduate,BL ST    49B,CHIKOWERO M,C,2
S11,Undergraduate,BL ST    49B,CHIKOWERO M,F,1
S11,Undergraduate,BL ST   100,MCAULEY C,A,12
S11,Undergraduate,BL ST   100,MCAULEY C,A-,10
S11,Undergraduate,BL ST   100,MCAULEY C,B+,13
S11,Undergraduate,BL ST   100,MCAULEY C,B,15
S11,Undergraduate,BL ST   100,MCAULEY C,B-,7
S11,Undergraduate,BL ST   100,MCAULEY C,C+,1
S11,Undergraduate,BL ST   100,MCAULEY C,C,5
S11,Undergraduate,BL ST   100,MCAULEY C,C-,1
S11,Undergraduate,BL ST   100,MCAULEY C,F,2
S11,Undergraduate,BL ST   122,JOHNSON H T,A,6
S11,Undergraduate,BL ST   122,JOHNSON H T,A-,8
S11,Undergraduate,BL ST   122,JOHNSON H T,B+,6
S11,Undergraduate,BL ST   122,JOHNSON H T,B,8
S11,Undergraduate,BL ST   122,JOHNSON H T,B-,2
S11,Undergraduate,BL ST   122,JOHNSON H T,C+,3
S11,Undergraduate,BL ST   122,JOHNSON H T,C,8
S11,Undergraduate,BL ST   122,JOHNSON H T,D,1
S11,Undergraduate,BL ST   122,JOHNSON H T,F,1
