Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S11,Undergraduate,EARTH     2,MURRAY B P,A,1
S11,Undergraduate,EARTH     2,MURRAY B P,A-,3
S11,Undergraduate,EARTH     2,MURRAY B P,B+,6
S11,Undergraduate,EARTH     2,MURRAY B P,B,7
S11,Undergraduate,EARTH     2,MURRAY B P,B-,9
S11,Undergraduate,EARTH     2,MURRAY B P,C+,9
S11,Undergraduate,EARTH     2,MURRAY B P,C,2
S11,Undergraduate,EARTH     2,MURRAY B P,C-,3
S11,Undergraduate,EARTH     2,MURRAY B P,D+,3
S11,Undergraduate,EARTH    20,GURROLA L D,A,3
S11,Undergraduate,EARTH    20,GURROLA L D,A-,10
S11,Undergraduate,EARTH    20,GURROLA L D,B+,1
S11,Undergraduate,EARTH    20,GURROLA L D,B,4
S11,Undergraduate,EARTH    20,GURROLA L D,B-,3
S11,Undergraduate,EARTH    20,GURROLA L D,C+,1
S11,Undergraduate,EARTH    20,GURROLA L D,C,4
S11,Undergraduate,EARTH   104B,HACKER B R,A,1
S11,Undergraduate,EARTH   104B,HACKER B R,A-,4
S11,Undergraduate,EARTH   104B,HACKER B R,B+,2
S11,Undergraduate,EARTH   104B,HACKER B R,B,2
S11,Undergraduate,EARTH   104B,HACKER B R,B-,2
S11,Undergraduate,EARTH   104B,HACKER B R,C+,1
S11,Undergraduate,EARTH   148,WYSS A R,A+,1
S11,Undergraduate,EARTH   148,WYSS A R,A,3
S11,Undergraduate,EARTH   148,WYSS A R,A-,1
S11,Undergraduate,EARTH   148,WYSS A R,B+,2
S11,Undergraduate,EARTH   148,WYSS A R,B,3
S11,Undergraduate,EARTH   148,WYSS A R,B-,2
S11,Undergraduate,EARTH   148,WYSS A R,C+,5
S11,Undergraduate,EARTH   148,WYSS A R,C,6
S11,Undergraduate,EARTH   148,WYSS A R,C-,1
S11,Undergraduate,EARTH   148,WYSS A R,D,3
S11,Graduate,EARTH   201C,BROWNLEE S J,A+,3
S11,Graduate,EARTH   201C,BROWNLEE S J,A,9
S11,Graduate,EARTH   201C,BROWNLEE S J,A-,3
S11,Graduate,EARTH   201C,BROWNLEE S J,B+,2
S11,Graduate,EARTH   270,ARCHULETA R J,A+,3
S11,Graduate,EARTH   270,ARCHULETA R J,A-,1
S11,Graduate,EARTH   270,ARCHULETA R J,S,2
S11,Graduate,EARTH   270,JI C,A+,5
S11,Graduate,EARTH   270,JI C,A,2
S11,Graduate,EARTH   270,JI C,A-,1
S11,Graduate,EARTH   270,JI C,S,1
S11,Graduate,EARTH   276,WELDEAB S,A,3
S11,Graduate,EARTH   276,WELDEAB S,A-,1
S11,Graduate,EARTH   276,WELDEAB S,B+,3
