Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S11,Undergraduate,ITAL      3,BORROMEO C,A+,1
S11,Undergraduate,ITAL      3,BORROMEO C,A,4
S11,Undergraduate,ITAL      3,BORROMEO C,A-,5
S11,Undergraduate,ITAL      3,BORROMEO C,B+,4
S11,Undergraduate,ITAL      3,BORROMEO C,B,3
S11,Undergraduate,ITAL      3,BORROMEO C,B-,4
S11,Undergraduate,ITAL      3,BORROMEO C,D+,1
S11,Undergraduate,ITAL      3,DE SIMONE T,A,5
S11,Undergraduate,ITAL      3,DE SIMONE T,A-,2
S11,Undergraduate,ITAL      3,DE SIMONE T,B+,6
S11,Undergraduate,ITAL      3,DE SIMONE T,B,1
S11,Undergraduate,ITAL      3,DE SIMONE T,B-,4
S11,Undergraduate,ITAL      3,DE SIMONE T,C,3
S11,Undergraduate,ITAL      3,DE SIMONE T,F,1
S11,Undergraduate,ITAL      3,PADULA V,A+,1
S11,Undergraduate,ITAL      3,PADULA V,A,9
S11,Undergraduate,ITAL      3,PADULA V,A-,5
S11,Undergraduate,ITAL      3,PADULA V,B+,4
S11,Undergraduate,ITAL      3,PADULA V,C+,1
S11,Undergraduate,ITAL      3,PADULA V,D,1
S11,Undergraduate,ITAL     20X,GODEY A R,A+,1
S11,Undergraduate,ITAL     20X,GODEY A R,A,14
S11,Undergraduate,ITAL     20X,GODEY A R,A-,27
S11,Undergraduate,ITAL     20X,GODEY A R,B+,15
S11,Undergraduate,ITAL     20X,GODEY A R,B,13
S11,Undergraduate,ITAL     20X,GODEY A R,B-,7
S11,Undergraduate,ITAL     20X,GODEY A R,C+,5
S11,Undergraduate,ITAL     20X,GODEY A R,C,3
S11,Undergraduate,ITAL     20X,GODEY A R,F,1
S11,Undergraduate,ITAL     30Z,GODEY A R,A,2
S11,Undergraduate,ITAL     30Z,GODEY A R,A-,11
S11,Undergraduate,ITAL     30Z,GODEY A R,B+,9
S11,Undergraduate,ITAL     30Z,GODEY A R,B,3
S11,Undergraduate,ITAL     30Z,GODEY A R,B-,1
S11,Undergraduate,ITAL     30Z,GODEY A R,C+,1
S11,Undergraduate,ITAL     30Z,GODEY A R,C,1
S11,Undergraduate,ITAL     30Z,GODEY A R,C-,2
S11,Undergraduate,ITAL    119,SNYDER J R,A,9
S11,Undergraduate,ITAL    119,SNYDER J R,A-,14
S11,Undergraduate,ITAL    119,SNYDER J R,B+,3
S11,Undergraduate,ITAL    138DX,FOGU C,A+,4
S11,Undergraduate,ITAL    138DX,FOGU C,A,3
S11,Undergraduate,ITAL    138DX,FOGU C,A-,2
S11,Undergraduate,ITAL    138DX,FOGU C,B+,4
S11,Undergraduate,ITAL    138DX,FOGU C,B,4
S11,Undergraduate,ITAL    138DX,FOGU C,B-,4
S11,Undergraduate,ITAL    138DX,FOGU C,C+,2
S11,Undergraduate,ITAL    138DX,FOGU C,C,2
S11,Undergraduate,ITAL    138DX,FOGU C,D,1
S11,Undergraduate,ITAL    160,FOGU C,A+,2
S11,Undergraduate,ITAL    160,FOGU C,A,1
S11,Undergraduate,ITAL    160,FOGU C,A-,3
S11,Undergraduate,ITAL    160,FOGU C,B+,1
