Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S11,Undergraduate,WRIT      1,AVERY L K,A,2
S11,Undergraduate,WRIT      1,AVERY L K,A-,1
S11,Undergraduate,WRIT      1,AVERY L K,B+,4
S11,Undergraduate,WRIT      1,AVERY L K,B,3
S11,Undergraduate,WRIT      1,AVERY L K,B-,1
S11,Undergraduate,WRIT      1,AVERY L K,C-,1
S11,Undergraduate,WRIT      1,BOGGS S R,A,4
S11,Undergraduate,WRIT      1,BOGGS S R,A-,19
S11,Undergraduate,WRIT      1,BOGGS S R,B+,7
S11,Undergraduate,WRIT      1,BOGGS S R,B,6
S11,Undergraduate,WRIT      1,BOGGS S R,C+,1
S11,Undergraduate,WRIT      1,BOGGS S R,F,1
S11,Undergraduate,WRIT      1,JOHNSON J K,A+,3
S11,Undergraduate,WRIT      1,JOHNSON J K,A,7
S11,Undergraduate,WRIT      1,JOHNSON J K,A-,16
S11,Undergraduate,WRIT      1,JOHNSON J K,B+,5
S11,Undergraduate,WRIT      1,JOHNSON J K,B,6
S11,Undergraduate,WRIT      1,JOHNSON J K,B-,2
S11,Undergraduate,WRIT      1,JOHNSON J K,C,1
S11,Undergraduate,WRIT      1,PATTERSON K A,A-,1
S11,Undergraduate,WRIT      1,PATTERSON K A,B+,6
S11,Undergraduate,WRIT      1,PATTERSON K A,B,3
S11,Undergraduate,WRIT      1,PATTERSON K A,B-,3
S11,Undergraduate,WRIT      1,PATTERSON K A,C+,3
S11,Undergraduate,WRIT      1,PATTERSON K A,F,1
S11,Undergraduate,WRIT      2,BAILLARGEON K,A,9
S11,Undergraduate,WRIT      2,BAILLARGEON K,A-,6
S11,Undergraduate,WRIT      2,BAILLARGEON K,B+,2
S11,Undergraduate,WRIT      2,BAILLARGEON K,B,3
S11,Undergraduate,WRIT      2,BAILLARGEON K,B-,1
S11,Undergraduate,WRIT      2,BAILLARGEON K,F,2
S11,Undergraduate,WRIT      2,BRADLEY N D,A,36
S11,Undergraduate,WRIT      2,BRADLEY N D,A-,21
S11,Undergraduate,WRIT      2,BRADLEY N D,B+,22
S11,Undergraduate,WRIT      2,BRADLEY N D,B,23
S11,Undergraduate,WRIT      2,BRADLEY N D,B-,7
S11,Undergraduate,WRIT      2,BRADLEY N D,C+,1
S11,Undergraduate,WRIT      2,BRADLEY N D,C,3
S11,Undergraduate,WRIT      2,BRADLEY N D,C-,1
S11,Undergraduate,WRIT      2,BRADLEY N D,D+,1
S11,Undergraduate,WRIT      2,BRADLEY N D,D,1
S11,Undergraduate,WRIT      2,BRADLEY N D,F,8
S11,Undergraduate,WRIT      2,BROWNING R,A+,6
S11,Undergraduate,WRIT      2,BROWNING R,A,21
S11,Undergraduate,WRIT      2,BROWNING R,A-,12
S11,Undergraduate,WRIT      2,BROWNING R,B+,19
S11,Undergraduate,WRIT      2,BROWNING R,B,19
S11,Undergraduate,WRIT      2,BROWNING R,B-,12
S11,Undergraduate,WRIT      2,BROWNING R,C+,5
S11,Undergraduate,WRIT      2,BROWNING R,C,1
S11,Undergraduate,WRIT      2,BROWNING R,C-,3
S11,Undergraduate,WRIT      2,BROWNING R,F,1
S11,Undergraduate,WRIT      2,CONVERSE C W,A+,1
S11,Undergraduate,WRIT      2,CONVERSE C W,A,7
S11,Undergraduate,WRIT      2,CONVERSE C W,A-,7
S11,Undergraduate,WRIT      2,CONVERSE C W,B+,7
S11,Undergraduate,WRIT      2,DAVIS M E,A,8
S11,Undergraduate,WRIT      2,DAVIS M E,A-,14
S11,Undergraduate,WRIT      2,DAVIS M E,B+,12
S11,Undergraduate,WRIT      2,DAVIS M E,B,10
S11,Undergraduate,WRIT      2,DAVIS M E,B-,2
S11,Undergraduate,WRIT      2,DAVIS M E,D+,1
S11,Undergraduate,WRIT      2,EK A A,A,16
S11,Undergraduate,WRIT      2,EK A A,A-,9
S11,Undergraduate,WRIT      2,EK A A,B+,9
S11,Undergraduate,WRIT      2,EK A A,B,5
S11,Undergraduate,WRIT      2,EK A A,B-,2
S11,Undergraduate,WRIT      2,EK A A,C+,6
S11,Undergraduate,WRIT      2,EK A A,C-,1
S11,Undergraduate,WRIT      2,EK A A,F,2
S11,Undergraduate,WRIT      2,HAMMER L M,A-,10
S11,Undergraduate,WRIT      2,HAMMER L M,B+,6
S11,Undergraduate,WRIT      2,HAMMER L M,B,3
S11,Undergraduate,WRIT      2,HAMMER L M,B-,3
S11,Undergraduate,WRIT      2,HAMMER L M,C+,1
S11,Undergraduate,WRIT      2,HANSON J L,A,5
S11,Undergraduate,WRIT      2,HANSON J L,A-,9
S11,Undergraduate,WRIT      2,HANSON J L,B+,6
S11,Undergraduate,WRIT      2,HANSON J L,B,13
S11,Undergraduate,WRIT      2,HANSON J L,B-,7
S11,Undergraduate,WRIT      2,HANSON J L,C+,2
S11,Undergraduate,WRIT      2,HANSON J L,C,3
S11,Undergraduate,WRIT      2,HANSON J L,D-,1
S11,Undergraduate,WRIT      2,HANSON J L,F,1
S11,Undergraduate,WRIT      2,HUK P M,A,19
S11,Undergraduate,WRIT      2,HUK P M,A-,17
S11,Undergraduate,WRIT      2,HUK P M,B+,7
S11,Undergraduate,WRIT      2,HUK P M,B,3
S11,Undergraduate,WRIT      2,HUK P M,B-,1
S11,Undergraduate,WRIT      2,HUK P M,C+,1
S11,Undergraduate,WRIT      2,HUK P M,F,1
S11,Undergraduate,WRIT      2,MIELE I,A+,2
S11,Undergraduate,WRIT      2,MIELE I,A,15
S11,Undergraduate,WRIT      2,MIELE I,A-,21
S11,Undergraduate,WRIT      2,MIELE I,B+,24
S11,Undergraduate,WRIT      2,MIELE I,B,12
S11,Undergraduate,WRIT      2,MIELE I,B-,10
S11,Undergraduate,WRIT      2,MIELE I,C+,5
S11,Undergraduate,WRIT      2,MIELE I,C,1
S11,Undergraduate,WRIT      2,MIELE I,F,3
S11,Undergraduate,WRIT      2,PANKO J L,A,2
S11,Undergraduate,WRIT      2,PANKO J L,A-,4
S11,Undergraduate,WRIT      2,PANKO J L,B+,7
S11,Undergraduate,WRIT      2,PANKO J L,B,5
S11,Undergraduate,WRIT      2,PANKO J L,B-,3
S11,Undergraduate,WRIT      2,PANKO J L,C,2
S11,Undergraduate,WRIT      2,PANKO J L,D,1
S11,Undergraduate,WRIT      2,SALINAS S M,A+,1
S11,Undergraduate,WRIT      2,SALINAS S M,A,8
S11,Undergraduate,WRIT      2,SALINAS S M,A-,6
S11,Undergraduate,WRIT      2,SALINAS S M,B+,2
S11,Undergraduate,WRIT      2,SALINAS S M,B,3
S11,Undergraduate,WRIT      2,SALINAS S M,B-,3
S11,Undergraduate,WRIT      2,SALINAS S M,F,2
S11,Undergraduate,WRIT      2,TINGLE W N,A,25
S11,Undergraduate,WRIT      2,TINGLE W N,A-,38
S11,Undergraduate,WRIT      2,TINGLE W N,B+,29
S11,Undergraduate,WRIT      2,TINGLE W N,B,25
S11,Undergraduate,WRIT      2,TINGLE W N,B-,4
S11,Undergraduate,WRIT      2,TINGLE W N,C+,10
S11,Undergraduate,WRIT      2,TINGLE W N,C,2
S11,Undergraduate,WRIT      2,TINGLE W N,C-,4
S11,Undergraduate,WRIT      2,TINGLE W N,D+,1
S11,Undergraduate,WRIT      2,TINGLE W N,F,5
S11,Undergraduate,WRIT     50,BERNSTEIN M M,A,4
S11,Undergraduate,WRIT     50,BERNSTEIN M M,A-,4
S11,Undergraduate,WRIT     50,BERNSTEIN M M,B+,11
S11,Undergraduate,WRIT     50,BERNSTEIN M M,B,10
S11,Undergraduate,WRIT     50,BERNSTEIN M M,B-,8
S11,Undergraduate,WRIT     50,BERNSTEIN M M,C+,3
S11,Undergraduate,WRIT     50,BERNSTEIN M M,C,1
S11,Undergraduate,WRIT     50,CATALINI J P,A+,1
S11,Undergraduate,WRIT     50,CATALINI J P,A,12
S11,Undergraduate,WRIT     50,CATALINI J P,A-,18
S11,Undergraduate,WRIT     50,CATALINI J P,B+,16
S11,Undergraduate,WRIT     50,CATALINI J P,B,1
S11,Undergraduate,WRIT     50,CATALINI J P,C,1
S11,Undergraduate,WRIT     50,COKLIN L,A,6
S11,Undergraduate,WRIT     50,COKLIN L,A-,8
S11,Undergraduate,WRIT     50,COKLIN L,B+,2
S11,Undergraduate,WRIT     50,COKLIN L,B,2
S11,Undergraduate,WRIT     50,COKLIN L,B-,4
S11,Undergraduate,WRIT     50,COKLIN L,C+,2
S11,Undergraduate,WRIT     50,MACKER E A,A+,3
S11,Undergraduate,WRIT     50,MACKER E A,A,4
S11,Undergraduate,WRIT     50,MACKER E A,A-,7
S11,Undergraduate,WRIT     50,MACKER E A,B+,4
S11,Undergraduate,WRIT     50,MACKER E A,B,4
S11,Undergraduate,WRIT     50,MACKER E A,B-,2
S11,Undergraduate,WRIT     50,MACKER E A,C+,1
S11,Undergraduate,WRIT     50,MACKER E A,C,1
S11,Undergraduate,WRIT     50,MCHUGH P,A,4
S11,Undergraduate,WRIT     50,MCHUGH P,A-,11
S11,Undergraduate,WRIT     50,MCHUGH P,B+,4
S11,Undergraduate,WRIT     50,MCHUGH P,B,2
S11,Undergraduate,WRIT     50,MCHUGH P,B-,2
S11,Undergraduate,WRIT     50,MCHUGH P,C+,1
S11,Undergraduate,WRIT     50,TINGLE W N,A,9
S11,Undergraduate,WRIT     50,TINGLE W N,A-,8
S11,Undergraduate,WRIT     50,TINGLE W N,B+,5
S11,Undergraduate,WRIT     50,TINGLE W N,B,1
S11,Undergraduate,WRIT     50,VALLIS D L,A+,2
S11,Undergraduate,WRIT     50,VALLIS D L,A,16
S11,Undergraduate,WRIT     50,VALLIS D L,A-,4
S11,Undergraduate,WRIT     50,VALLIS D L,B+,3
