Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,ASTRO     1,HOWELL D A,A+,6
S12,Undergraduate,ASTRO     1,HOWELL D A,A,55
S12,Undergraduate,ASTRO     1,HOWELL D A,B,34
S12,Undergraduate,ASTRO     1,HOWELL D A,C,18
S12,Undergraduate,ASTRO     1,HOWELL D A,D,5
S12,Undergraduate,ASTRO     1,HOWELL D A,F,6
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,A+,5
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,A,4
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,A-,11
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,B+,6
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,B,10
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,B-,14
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,C+,3
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,C,5
S12,Undergraduate,ASTRO     2,ANTONUCCI R R,F,5
