Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,CHEM      1A,ANDERSON S E,A+,3
S12,Undergraduate,CHEM      1A,ANDERSON S E,A,35
S12,Undergraduate,CHEM      1A,ANDERSON S E,A-,17
S12,Undergraduate,CHEM      1A,ANDERSON S E,B+,16
S12,Undergraduate,CHEM      1A,ANDERSON S E,B,65
S12,Undergraduate,CHEM      1A,ANDERSON S E,B-,18
S12,Undergraduate,CHEM      1A,ANDERSON S E,C+,24
S12,Undergraduate,CHEM      1A,ANDERSON S E,C,60
S12,Undergraduate,CHEM      1A,ANDERSON S E,C-,13
S12,Undergraduate,CHEM      1A,ANDERSON S E,D+,7
S12,Undergraduate,CHEM      1A,ANDERSON S E,D,16
S12,Undergraduate,CHEM      1A,ANDERSON S E,D-,9
S12,Undergraduate,CHEM      1A,ANDERSON S E,F,15
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,A,25
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,A-,17
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,B+,18
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,B,33
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,B-,17
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,C+,9
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,C,16
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,C-,3
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,D,2
S12,Undergraduate,CHEM      1AL,VAN KOPPEN P,F,3
S12,Undergraduate,CHEM      1B,RUSSAK J A,A+,2
S12,Undergraduate,CHEM      1B,RUSSAK J A,A,17
S12,Undergraduate,CHEM      1B,RUSSAK J A,A-,21
S12,Undergraduate,CHEM      1B,RUSSAK J A,B+,36
S12,Undergraduate,CHEM      1B,RUSSAK J A,B,36
S12,Undergraduate,CHEM      1B,RUSSAK J A,B-,25
S12,Undergraduate,CHEM      1B,RUSSAK J A,C+,27
S12,Undergraduate,CHEM      1B,RUSSAK J A,C,35
S12,Undergraduate,CHEM      1B,RUSSAK J A,C-,15
S12,Undergraduate,CHEM      1B,RUSSAK J A,D+,15
S12,Undergraduate,CHEM      1B,RUSSAK J A,D,15
S12,Undergraduate,CHEM      1B,RUSSAK J A,D-,6
S12,Undergraduate,CHEM      1B,RUSSAK J A,F,21
S12,Undergraduate,CHEM      1BL,VAN KOPPEN P,A,29
S12,Undergraduate,CHEM      1BL,VAN KOPPEN P,A-,20
S12,Undergraduate,CHEM      1BL,VAN KOPPEN P,B+,36
S12,Undergraduate,CHEM      1BL,VAN KOPPEN P,B,35
S12,Undergraduate,CHEM      1BL,VAN KOPPEN P,B-,27
