Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,CLASS    38,SCHROEDER C M,A+,2
S12,Undergraduate,CLASS    38,SCHROEDER C M,A,8
S12,Undergraduate,CLASS    38,SCHROEDER C M,A-,13
S12,Undergraduate,CLASS    38,SCHROEDER C M,B+,15
S12,Undergraduate,CLASS    38,SCHROEDER C M,B,17
S12,Undergraduate,CLASS    38,SCHROEDER C M,B-,6
S12,Undergraduate,CLASS    38,SCHROEDER C M,C+,9
S12,Undergraduate,CLASS    38,SCHROEDER C M,C,3
S12,Undergraduate,CLASS    38,SCHROEDER C M,C-,2
S12,Undergraduate,CLASS    38,SCHROEDER C M,D,2
S12,Undergraduate,CLASS    40,PATTEN G,A+,19
S12,Undergraduate,CLASS    40,PATTEN G,A,60
S12,Undergraduate,CLASS    40,PATTEN G,A-,53
S12,Undergraduate,CLASS    40,PATTEN G,B+,34
S12,Undergraduate,CLASS    40,PATTEN G,B,58
S12,Undergraduate,CLASS    40,PATTEN G,B-,24
S12,Undergraduate,CLASS    40,PATTEN G,C+,14
S12,Undergraduate,CLASS    40,PATTEN G,C,29
S12,Undergraduate,CLASS    40,PATTEN G,C-,6
S12,Undergraduate,CLASS    40,PATTEN G,D+,4
S12,Undergraduate,CLASS    40,PATTEN G,D,13
S12,Undergraduate,CLASS    40,PATTEN G,D-,4
S12,Undergraduate,CLASS    40,PATTEN G,F,30
S12,Undergraduate,CLASS    80A,GALLUCCI R,A,13
S12,Undergraduate,CLASS    80A,GALLUCCI R,A-,7
S12,Undergraduate,CLASS    80A,GALLUCCI R,B+,9
S12,Undergraduate,CLASS    80A,GALLUCCI R,B,15
S12,Undergraduate,CLASS    80A,GALLUCCI R,B-,8
S12,Undergraduate,CLASS    80A,GALLUCCI R,C+,10
S12,Undergraduate,CLASS    80A,GALLUCCI R,C,25
S12,Undergraduate,CLASS    80A,GALLUCCI R,D+,1
S12,Undergraduate,CLASS    80A,GALLUCCI R,D,1
S12,Undergraduate,CLASS    80A,GALLUCCI R,F,1
S12,Undergraduate,CLASS   107,BEHYMER L A,A+,3
S12,Undergraduate,CLASS   107,BEHYMER L A,A,5
S12,Undergraduate,CLASS   107,BEHYMER L A,A-,3
S12,Undergraduate,CLASS   107,BEHYMER L A,B+,1
S12,Undergraduate,CLASS   107,BEHYMER L A,B,1
S12,Undergraduate,CLASS   107,BEHYMER L A,B-,1
S12,Undergraduate,CLASS   107,BEHYMER L A,C+,1
S12,Undergraduate,CLASS   107,BEHYMER L A,C-,1
S12,Undergraduate,CLASS   107,BEHYMER L A,F,1
S12,Undergraduate,CLASS   108,HAHN F V,A,2
S12,Undergraduate,CLASS   108,HAHN F V,A-,3
S12,Undergraduate,CLASS   108,HAHN F V,B+,5
S12,Undergraduate,CLASS   108,HAHN F V,B,4
S12,Undergraduate,CLASS   108,HAHN F V,B-,5
S12,Undergraduate,CLASS   108,HAHN F V,C+,5
S12,Undergraduate,CLASS   108,HAHN F V,C,13
S12,Undergraduate,CLASS   108,HAHN F V,D+,1
S12,Undergraduate,CLASS   108,HAHN F V,D,2
S12,Undergraduate,CLASS   108,HAHN F V,D-,2
S12,Undergraduate,CLASS   108,HAHN F V,F,10
S12,Undergraduate,CLASS   165,ERICKSON B L,A+,1
S12,Undergraduate,CLASS   165,ERICKSON B L,A,5
S12,Undergraduate,CLASS   165,ERICKSON B L,A-,5
S12,Undergraduate,CLASS   165,ERICKSON B L,B+,3
S12,Undergraduate,CLASS   165,ERICKSON B L,B-,1
S12,Undergraduate,CLASS   165,ERICKSON B L,F,1
