Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,ECON      2,RUPERT P,A+,1
S12,Undergraduate,ECON      2,RUPERT P,A,29
S12,Undergraduate,ECON      2,RUPERT P,A-,28
S12,Undergraduate,ECON      2,RUPERT P,B+,50
S12,Undergraduate,ECON      2,RUPERT P,B,41
S12,Undergraduate,ECON      2,RUPERT P,B-,50
S12,Undergraduate,ECON      2,RUPERT P,C+,53
S12,Undergraduate,ECON      2,RUPERT P,C,140
S12,Undergraduate,ECON      2,RUPERT P,C-,92
S12,Undergraduate,ECON      2,RUPERT P,D,12
S12,Undergraduate,ECON      2,RUPERT P,F,7
S12,Undergraduate,ECON      3B,HARMON C J,A,11
S12,Undergraduate,ECON      3B,HARMON C J,A-,15
S12,Undergraduate,ECON      3B,HARMON C J,B+,19
S12,Undergraduate,ECON      3B,HARMON C J,B,26
S12,Undergraduate,ECON      3B,HARMON C J,B-,19
S12,Undergraduate,ECON      3B,HARMON C J,C+,23
S12,Undergraduate,ECON      3B,HARMON C J,C,19
S12,Undergraduate,ECON      3B,HARMON C J,C-,16
S12,Undergraduate,ECON      3B,HARMON C J,F,28
S12,Undergraduate,ECON      3BH,HARMON C J,P,13
S12,Undergraduate,ECON     96,ROYER H N,A,8
S12,Undergraduate,ECON     96,ROYER H N,A-,3
S12,Undergraduate,ECON     96,ROYER H N,B,1
S12,Undergraduate,ECON    100B,GROSSMAN Z J,A+,10
S12,Undergraduate,ECON    100B,GROSSMAN Z J,A,19
S12,Undergraduate,ECON    100B,GROSSMAN Z J,A-,9
S12,Undergraduate,ECON    100B,GROSSMAN Z J,B+,29
S12,Undergraduate,ECON    100B,GROSSMAN Z J,B,33
S12,Undergraduate,ECON    100B,GROSSMAN Z J,B-,17
S12,Undergraduate,ECON    100B,GROSSMAN Z J,C+,14
S12,Undergraduate,ECON    100B,GROSSMAN Z J,C,20
S12,Undergraduate,ECON    100B,GROSSMAN Z J,C-,18
S12,Undergraduate,ECON    100B,GROSSMAN Z J,D+,1
S12,Undergraduate,ECON    100B,GROSSMAN Z J,D,5
S12,Undergraduate,ECON    100B,GROSSMAN Z J,F,9
S12,Undergraduate,ECON    101,LAWVER D A,A+,13
S12,Undergraduate,ECON    101,LAWVER D A,A,73
S12,Undergraduate,ECON    101,LAWVER D A,B+,80
S12,Undergraduate,ECON    101,LAWVER D A,B,89
S12,Undergraduate,ECON    101,LAWVER D A,C+,49
S12,Undergraduate,ECON    101,LAWVER D A,C,30
S12,Undergraduate,ECON    101,LAWVER D A,D+,11
S12,Undergraduate,ECON    101,LAWVER D A,D,8
S12,Undergraduate,ECON    101,LAWVER D A,F,12
S12,Undergraduate,ECON    104B,QIN C Z,A+,1
S12,Undergraduate,ECON    104B,QIN C Z,A,5
S12,Undergraduate,ECON    104B,QIN C Z,A-,4
S12,Undergraduate,ECON    104B,QIN C Z,B+,2
S12,Undergraduate,ECON    104B,QIN C Z,B,5
S12,Undergraduate,ECON    104B,QIN C Z,B-,3
S12,Undergraduate,ECON    104B,QIN C Z,C+,2
S12,Undergraduate,ECON    104B,QIN C Z,C,4
S12,Undergraduate,ECON    104B,QIN C Z,C-,1
S12,Undergraduate,ECON    106,BENELLI C A,A+,1
S12,Undergraduate,ECON    106,BENELLI C A,A,9
S12,Undergraduate,ECON    106,BENELLI C A,A-,3
S12,Undergraduate,ECON    106,BENELLI C A,B+,6
S12,Undergraduate,ECON    106,BENELLI C A,B,13
S12,Undergraduate,ECON    106,BENELLI C A,B-,6
S12,Undergraduate,ECON    106,BENELLI C A,C+,11
S12,Undergraduate,ECON    106,BENELLI C A,C,4
S12,Undergraduate,ECON    106,BENELLI C A,D,4
S12,Undergraduate,ECON    114,BIRCHENALL J,A+,8
S12,Undergraduate,ECON    114,BIRCHENALL J,A,12
S12,Undergraduate,ECON    114,BIRCHENALL J,A-,7
S12,Undergraduate,ECON    114,BIRCHENALL J,B+,8
S12,Undergraduate,ECON    114,BIRCHENALL J,B,7
S12,Undergraduate,ECON    114,BIRCHENALL J,B-,2
S12,Undergraduate,ECON    114,BIRCHENALL J,C+,1
S12,Undergraduate,ECON    114,BIRCHENALL J,C,1
S12,Undergraduate,ECON    114,BIRCHENALL J,C-,1
S12,Undergraduate,ECON    114,BIRCHENALL J,F,2
S12,Undergraduate,ECON    115,OLIVA VALLEJO,A+,1
S12,Undergraduate,ECON    115,OLIVA VALLEJO,A,1
S12,Undergraduate,ECON    115,OLIVA VALLEJO,A-,3
S12,Undergraduate,ECON    115,OLIVA VALLEJO,B+,3
S12,Undergraduate,ECON    115,OLIVA VALLEJO,B,3
S12,Undergraduate,ECON    115,OLIVA VALLEJO,B-,3
S12,Undergraduate,ECON    115,OLIVA VALLEJO,C+,3
S12,Undergraduate,ECON    115,OLIVA VALLEJO,C,3
S12,Undergraduate,ECON    115,OLIVA VALLEJO,C-,2
S12,Undergraduate,ECON    115,OLIVA VALLEJO,F,2
S12,Undergraduate,ECON    118,KULPER D E,A,11
S12,Undergraduate,ECON    118,KULPER D E,A-,11
S12,Undergraduate,ECON    118,KULPER D E,B+,12
S12,Undergraduate,ECON    118,KULPER D E,B,21
S12,Undergraduate,ECON    118,KULPER D E,B-,12
S12,Undergraduate,ECON    118,KULPER D E,C+,12
S12,Undergraduate,ECON    118,KULPER D E,C,14
S12,Undergraduate,ECON    118,KULPER D E,C-,3
S12,Undergraduate,ECON    118,KULPER D E,D+,1
S12,Undergraduate,ECON    118,SANDER H C,A,3
S12,Undergraduate,ECON    118,SANDER H C,A-,3
S12,Undergraduate,ECON    118,SANDER H C,B+,1
S12,Undergraduate,ECON    118,SANDER H C,B,4
S12,Undergraduate,ECON    118,SANDER H C,B-,1
S12,Undergraduate,ECON    118,SANDER H C,C+,2
S12,Undergraduate,ECON    118,SANDER H C,C,1
S12,Undergraduate,ECON    118H,KULPER D E,P,13
S12,Undergraduate,ECON    118H,SANDER H C,P,13
S12,Undergraduate,ECON    122,DEACON R T,A+,1
S12,Undergraduate,ECON    122,DEACON R T,A,12
S12,Undergraduate,ECON    122,DEACON R T,A-,8
S12,Undergraduate,ECON    122,DEACON R T,B+,10
S12,Undergraduate,ECON    122,DEACON R T,B,36
S12,Undergraduate,ECON    122,DEACON R T,B-,7
S12,Undergraduate,ECON    122,DEACON R T,C+,8
S12,Undergraduate,ECON    122,DEACON R T,C,15
S12,Undergraduate,ECON    122,DEACON R T,C-,7
S12,Undergraduate,ECON    122,DEACON R T,D,3
S12,Undergraduate,ECON    130,STUART C,A,3
S12,Undergraduate,ECON    130,STUART C,A-,6
S12,Undergraduate,ECON    130,STUART C,B+,3
S12,Undergraduate,ECON    130,STUART C,B,4
S12,Undergraduate,ECON    130,STUART C,B-,9
S12,Undergraduate,ECON    130,STUART C,C+,4
S12,Undergraduate,ECON    130,STUART C,C,10
S12,Undergraduate,ECON    130,STUART C,C-,1
S12,Undergraduate,ECON    130,STUART C,D+,4
S12,Undergraduate,ECON    130,STUART C,D,1
S12,Undergraduate,ECON    130,STUART C,F,1
S12,Undergraduate,ECON    132A,ANDERSON R W,A,3
S12,Undergraduate,ECON    132A,ANDERSON R W,A-,3
S12,Undergraduate,ECON    132A,ANDERSON R W,B+,10
S12,Undergraduate,ECON    132A,ANDERSON R W,B,7
S12,Undergraduate,ECON    132A,ANDERSON R W,B-,14
S12,Undergraduate,ECON    132A,ANDERSON R W,C+,15
S12,Undergraduate,ECON    132A,ANDERSON R W,C,17
S12,Undergraduate,ECON    132A,ANDERSON R W,C-,3
S12,Undergraduate,ECON    132AH,ANDERSON R W,P,11
S12,Undergraduate,ECON    134A,HARTMAN J L,A+,3
S12,Undergraduate,ECON    134A,HARTMAN J L,A,22
S12,Undergraduate,ECON    134A,HARTMAN J L,A-,15
S12,Undergraduate,ECON    134A,HARTMAN J L,B+,27
S12,Undergraduate,ECON    134A,HARTMAN J L,B,29
S12,Undergraduate,ECON    134A,HARTMAN J L,B-,28
S12,Undergraduate,ECON    134A,HARTMAN J L,C+,32
S12,Undergraduate,ECON    134A,HARTMAN J L,C,30
S12,Undergraduate,ECON    134A,HARTMAN J L,C-,6
S12,Undergraduate,ECON    134A,HARTMAN J L,D+,7
S12,Undergraduate,ECON    134A,HARTMAN J L,D,5
S12,Undergraduate,ECON    134A,HARTMAN J L,D-,2
S12,Undergraduate,ECON    134A,HARTMAN J L,F,4
S12,Undergraduate,ECON    136A,ANDERSON R W,A,9
S12,Undergraduate,ECON    136A,ANDERSON R W,A-,12
S12,Undergraduate,ECON    136A,ANDERSON R W,B+,19
S12,Undergraduate,ECON    136A,ANDERSON R W,B,19
S12,Undergraduate,ECON    136A,ANDERSON R W,B-,4
S12,Undergraduate,ECON    136A,ANDERSON R W,C+,5
S12,Undergraduate,ECON    136A,ANDERSON R W,C,2
S12,Undergraduate,ECON    136A,ANDERSON R W,C-,1
S12,Undergraduate,ECON    136A,ANDERSON R W,F,1
S12,Undergraduate,ECON    136A,HARMON C J,A,8
S12,Undergraduate,ECON    136A,HARMON C J,A-,4
S12,Undergraduate,ECON    136A,HARMON C J,B+,15
S12,Undergraduate,ECON    136A,HARMON C J,B,11
S12,Undergraduate,ECON    136A,HARMON C J,B-,5
S12,Undergraduate,ECON    136A,HARMON C J,C+,9
S12,Undergraduate,ECON    136A,HARMON C J,C,2
