Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,ENV S     3,GRAVES G R,A,44
S12,Undergraduate,ENV S     3,GRAVES G R,A-,84
S12,Undergraduate,ENV S     3,GRAVES G R,B+,127
S12,Undergraduate,ENV S     3,GRAVES G R,B,175
S12,Undergraduate,ENV S     3,GRAVES G R,B-,62
S12,Undergraduate,ENV S     3,GRAVES G R,C+,28
S12,Undergraduate,ENV S     3,GRAVES G R,C,29
S12,Undergraduate,ENV S     3,GRAVES G R,C-,3
S12,Undergraduate,ENV S     3,GRAVES G R,D+,1
S12,Undergraduate,ENV S     3,GRAVES G R,D,3
S12,Undergraduate,ENV S     3,GRAVES G R,F,6
S12,Undergraduate,ENV S     3H,GRAVES G R,P,23
S12,Undergraduate,ENV S    25,BERRY L M,A+,1
S12,Undergraduate,ENV S    25,BERRY L M,A,20
S12,Undergraduate,ENV S    25,BERRY L M,A-,8
S12,Undergraduate,ENV S    25,BERRY L M,B+,8
S12,Undergraduate,ENV S    25,BERRY L M,B,13
S12,Undergraduate,ENV S    25,BERRY L M,B-,8
S12,Undergraduate,ENV S    25,BERRY L M,C+,1
S12,Undergraduate,ENV S    25,BERRY L M,C,8
S12,Undergraduate,ENV S    25,BERRY L M,C-,1
S12,Undergraduate,ENV S    25,BERRY L M,D,4
S12,Undergraduate,ENV S    25,BERRY L M,D-,1
S12,Undergraduate,ENV S    25,BERRY L M,F,5
S12,Undergraduate,ENV S   105,MANALIS M S,A+,2
S12,Undergraduate,ENV S   105,MANALIS M S,A,8
S12,Undergraduate,ENV S   105,MANALIS M S,A-,20
S12,Undergraduate,ENV S   105,MANALIS M S,B+,18
S12,Undergraduate,ENV S   105,MANALIS M S,B,24
S12,Undergraduate,ENV S   105,MANALIS M S,B-,23
S12,Undergraduate,ENV S   105,MANALIS M S,C+,15
S12,Undergraduate,ENV S   105,MANALIS M S,C,24
S12,Undergraduate,ENV S   105,MANALIS M S,C-,6
S12,Undergraduate,ENV S   105,MANALIS M S,D,3
S12,Undergraduate,ENV S   105,MANALIS M S,F,2
S12,Undergraduate,ENV S   108O,ALAGONA P S,A+,3
S12,Undergraduate,ENV S   108O,ALAGONA P S,A,10
S12,Undergraduate,ENV S   108O,ALAGONA P S,A-,7
S12,Undergraduate,ENV S   108O,ALAGONA P S,B,1
S12,Undergraduate,ENV S   108O,ALAGONA P S,C+,1
S12,Undergraduate,ENV S   111,STILL C J,A,9
S12,Undergraduate,ENV S   111,STILL C J,A-,17
S12,Undergraduate,ENV S   111,STILL C J,B+,9
S12,Undergraduate,ENV S   111,STILL C J,B,54
