Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,MATH      3A,ALBRECHT B D,A+,1
S12,Undergraduate,MATH      3A,ALBRECHT B D,A,12
S12,Undergraduate,MATH      3A,ALBRECHT B D,A-,11
S12,Undergraduate,MATH      3A,ALBRECHT B D,B+,3
S12,Undergraduate,MATH      3A,ALBRECHT B D,B,11
S12,Undergraduate,MATH      3A,ALBRECHT B D,B-,7
S12,Undergraduate,MATH      3A,ALBRECHT B D,C+,12
S12,Undergraduate,MATH      3A,ALBRECHT B D,C,12
S12,Undergraduate,MATH      3A,ALBRECHT B D,C-,5
S12,Undergraduate,MATH      3A,ALBRECHT B D,D+,5
S12,Undergraduate,MATH      3A,ALBRECHT B D,D,4
S12,Undergraduate,MATH      3A,ALBRECHT B D,D-,2
S12,Undergraduate,MATH      3A,ALBRECHT B D,F,16
S12,Undergraduate,MATH      3B,OGRAIN C M,A+,2
S12,Undergraduate,MATH      3B,OGRAIN C M,A,41
S12,Undergraduate,MATH      3B,OGRAIN C M,A-,17
S12,Undergraduate,MATH      3B,OGRAIN C M,B+,21
S12,Undergraduate,MATH      3B,OGRAIN C M,B,76
S12,Undergraduate,MATH      3B,OGRAIN C M,B-,40
S12,Undergraduate,MATH      3B,OGRAIN C M,C+,36
S12,Undergraduate,MATH      3B,OGRAIN C M,C,58
S12,Undergraduate,MATH      3B,OGRAIN C M,C-,17
S12,Undergraduate,MATH      3B,OGRAIN C M,D,21
S12,Undergraduate,MATH      3B,OGRAIN C M,F,19
S12,Undergraduate,MATH      3C,LEVAILLANT C,A+,45
S12,Undergraduate,MATH      3C,LEVAILLANT C,A,79
S12,Undergraduate,MATH      3C,LEVAILLANT C,B+,9
S12,Undergraduate,MATH      3C,LEVAILLANT C,B,7
S12,Undergraduate,MATH      3C,LEVAILLANT C,B-,1
S12,Undergraduate,MATH      3C,LEVAILLANT C,F,1
S12,Undergraduate,MATH      3C,SIDERIS T C,A,42
S12,Undergraduate,MATH      3C,SIDERIS T C,A-,2
S12,Undergraduate,MATH      3C,SIDERIS T C,B+,10
S12,Undergraduate,MATH      3C,SIDERIS T C,B,67
S12,Undergraduate,MATH      3C,SIDERIS T C,B-,5
S12,Undergraduate,MATH      3C,SIDERIS T C,C+,1
S12,Undergraduate,MATH      3C,SIDERIS T C,C,106
S12,Undergraduate,MATH      3C,SIDERIS T C,C-,44
S12,Undergraduate,MATH      3C,SIDERIS T C,D,11
S12,Undergraduate,MATH      3C,SIDERIS T C,D-,3
