Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,MATRL   100C,ODETTE G R,A+,1
S12,Undergraduate,MATRL   100C,ODETTE G R,A,3
S12,Undergraduate,MATRL   100C,ODETTE G R,B+,8
S12,Undergraduate,MATRL   100C,ODETTE G R,B,5
S12,Undergraduate,MATRL   100C,ODETTE G R,B-,2
S12,Undergraduate,MATRL   100C,ODETTE G R,C+,2
S12,Undergraduate,MATRL   100C,ODETTE G R,C,2
S12,Undergraduate,MATRL   100C,ODETTE G R,D,1
S12,Undergraduate,MATRL   100C,ODETTE G R,F,1
S12,Graduate,MATRL   200C,LEVI C G,A+,1
S12,Graduate,MATRL   200C,LEVI C G,A,9
S12,Graduate,MATRL   200C,LEVI C G,A-,6
S12,Graduate,MATRL   200C,LEVI C G,B+,8
S12,Graduate,MATRL   200C,LEVI C G,B,2
S12,Graduate,MATRL   209B,SPECK J S,A+,1
S12,Graduate,MATRL   209B,SPECK J S,A,11
S12,Graduate,MATRL   209B,SPECK J S,A-,7
S12,Graduate,MATRL   209C,STEMMER S,A+,5
S12,Graduate,MATRL   209C,STEMMER S,A,5
S12,Graduate,MATRL   209C,STEMMER S,A-,1
S12,Graduate,MATRL   217,PALMSTROM C J,A,6
S12,Graduate,MATRL   217,PALMSTROM C J,B+,1
S12,Graduate,MATRL   234,MCMEEKING R M,A+,3
S12,Graduate,MATRL   234,MCMEEKING R M,A,2
S12,Graduate,MATRL   234,MCMEEKING R M,A-,1
S12,Graduate,MATRL   271C,KRAMER E J,A-,3
S12,Graduate,MATRL   271C,KRAMER E J,B+,4
S12,Graduate,MATRL   271C,KRAMER E J,B,1
S12,Graduate,MATRL   276B,SAFINYA C R,A,5
S12,Graduate,MATRL   280C,CHABINYC M L,A,6
S12,Graduate,MATRL   286G,SESHADRI R,A,14
S12,Graduate,MATRL   290,CHABINYC M L,S,5
S12,Graduate,MATRL   290,DENBAARS S P,S,11
S12,Graduate,MATRL   290,HAWKER C J,S,7
S12,Graduate,MATRL   290,LEVI C G,S,8
S12,Graduate,MATRL   290,PALMSTROM C J,S,7
S12,Graduate,MATRL   290,POLLOCK T M,S,7
S12,Graduate,MATRL   290,SESHADRI R,S,5
S12,Graduate,MATRL   290,SPECK J S,S,9
S12,Graduate,MATRL   290,STEMMER S,S,7
S12,Graduate,MATRL   290,ZOK F,S,6
S12,Graduate,MATRL   596,DENBAARS S P,A+,2
S12,Graduate,MATRL   596,DENBAARS S P,A,5
S12,Graduate,MATRL   598,PALMSTROM C J,S,8
S12,Graduate,MATRL   598,POLLOCK T M,S,6
S12,Graduate,MATRL   598,STEMMER S,S,7
S12,Graduate,MATRL   599,CHABINYC M L,S,5
S12,Graduate,MATRL   599,DENBAARS S P,S,5
S12,Graduate,MATRL   599,HAWKER C J,S,6
S12,Graduate,MATRL   599,LEVI C G,S,5
S12,Graduate,MATRL   599,NAKAMURA S,S,5
S12,Graduate,MATRL   599,SPECK J S,S,7
S12,Graduate,MATRL   599,ZOK F,S,6
