Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,ART  CS 112,MELROY P D,P,15
S12,Undergraduate,ARTHI   107B,MEADOW M A,A+,2
S12,Undergraduate,ARTHI   107B,MEADOW M A,A,12
S12,Undergraduate,ARTHI   107B,MEADOW M A,A-,11
S12,Undergraduate,ARTHI   107B,MEADOW M A,B+,5
S12,Undergraduate,ARTHI   107B,MEADOW M A,B,8
S12,Undergraduate,ARTHI   107B,MEADOW M A,B-,3
S12,Undergraduate,ARTHI   107B,MEADOW M A,C+,1
S12,Undergraduate,ARTHI   107B,MEADOW M A,C,2
S12,Undergraduate,ARTHI   107B,MEADOW M A,F,1
S12,Graduate,ARTHI   599,MEADOW M A,S,5
S12,Undergraduate,COMM    134,METZGER M J,A,6
S12,Undergraduate,COMM    134,METZGER M J,A-,16
S12,Undergraduate,COMM    134,METZGER M J,B+,10
S12,Undergraduate,COMM    134,METZGER M J,B,11
S12,Undergraduate,COMM    134,METZGER M J,B-,13
S12,Undergraduate,COMM    134,METZGER M J,C+,8
S12,Undergraduate,COMM    134,METZGER M J,C,7
S12,Undergraduate,COMM    134,METZGER M J,C-,5
S12,Undergraduate,COMM    134,METZGER M J,D+,2
S12,Undergraduate,COMM    134,METZGER M J,D,1
S12,Undergraduate,COMM    174,METZGER M J,A,4
S12,Undergraduate,COMM    174,METZGER M J,A-,1
S12,Undergraduate,COMM    174,METZGER M J,B+,2
S12,Undergraduate,COMM    174,METZGER M J,B,3
S12,Undergraduate,COMM    174,METZGER M J,B-,3
S12,Undergraduate,COMM    174,METZGER M J,C+,2
S12,Undergraduate,ECE     160,MELLIAR-SMITH,A+,5
S12,Undergraduate,ECE     160,MELLIAR-SMITH,A,15
S12,Undergraduate,ECE     160,MELLIAR-SMITH,A-,8
S12,Undergraduate,ECE     160,MELLIAR-SMITH,B+,6
S12,Undergraduate,ECE     160,MELLIAR-SMITH,B,8
S12,Undergraduate,ECE     160,MELLIAR-SMITH,B-,7
S12,Undergraduate,ECE     160,MELLIAR-SMITH,C+,4
S12,Undergraduate,ECE     160,MELLIAR-SMITH,C-,2
S12,Graduate,EEMB    595GC,MELACK J M,A,5
S12,Graduate,ESM     595SB,MELACK J M,S,10
S12,Undergraduate,FLMST   122RA,MENICUCCI G P,A,8
S12,Undergraduate,FLMST   122RA,MENICUCCI G P,A-,4
S12,Undergraduate,FLMST   122RA,MENICUCCI G P,B+,6
S12,Undergraduate,FLMST   122RA,MENICUCCI G P,B,7
S12,Undergraduate,FLMST   122RA,MENICUCCI G P,B-,2
S12,Undergraduate,FLMST   122RA,MENICUCCI G P,C,4
S12,Undergraduate,FLMST   122RA,MENICUCCI G P,D+,1
S12,Undergraduate,FLMST   122RA,MENICUCCI G P,F,1
S12,Undergraduate,GER       3,MENGELE I,A+,4
S12,Undergraduate,GER       3,MENGELE I,A,7
S12,Undergraduate,GER       3,MENGELE I,A-,4
S12,Undergraduate,GER       3,MENGELE I,B+,1
S12,Undergraduate,GER       3,MENGELE I,B,2
S12,Undergraduate,GER       3,MENGELE I,B-,2
S12,Undergraduate,GER     101C,MENGELE I,A+,1
S12,Undergraduate,GER     101C,MENGELE I,A,16
S12,Undergraduate,GER     101C,MENGELE I,A-,1
S12,Undergraduate,GER     101C,MENGELE I,B+,1
S12,Undergraduate,GER     101C,MENGELE I,B,2
S12,Undergraduate,GER     101C,MENGELE I,C,1
