Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,MUS A    34,BAMBACH P A,A+,2
S12,Undergraduate,MUS A    34,BAMBACH P A,A,16
S12,Undergraduate,MUS A    36,GERVAIS M M,A+,10
S12,Undergraduate,MUS A    36,GERVAIS M M,A,3
S12,Undergraduate,MUS A    36,GERVAIS M M,A-,1
S12,Undergraduate,MUS A    37,GERVAIS M M,A+,7
S12,Undergraduate,MUS A    37,GERVAIS M M,A,2
S12,Undergraduate,MUS A    37,GERVAIS M M,A-,4
S12,Undergraduate,MUS A    42,ROUNTREE C O,A,24
S12,Undergraduate,MUS A    43,FELBER J,A,8
S12,Undergraduate,MUS A    47S,NATHAN J S,A+,11
S12,Undergraduate,MUS A    47S,NATHAN J S,A,2
S12,Undergraduate,MUS A    70J,HOWELL D W,A,7
S12,Undergraduate,MUS A    70M,MARCUS S L,A,5
S12,Undergraduate,MUS A    70S,WRIGHT M J,A,2
S12,Undergraduate,MUS A    70S,WRIGHT M J,A-,1
S12,Undergraduate,MUS A    70S,WRIGHT M J,B,1
S12,Undergraduate,MUS A    70S,WRIGHT M J,C-,1
S12,Undergraduate,MUS A    70S,WRIGHT M J,F,1
S12,Undergraduate,MUS A    70V,BELL V R,A+,45
S12,Undergraduate,MUS A   134,BAMBACH P A,A+,3
S12,Undergraduate,MUS A   134,BAMBACH P A,A,16
S12,Undergraduate,MUS A   136,GERVAIS M M,A+,4
S12,Undergraduate,MUS A   136,GERVAIS M M,A,2
S12,Undergraduate,MUS A   136,GERVAIS M M,A-,1
S12,Undergraduate,MUS A   136,GERVAIS M M,B,1
S12,Undergraduate,MUS A   137,GERVAIS M M,A+,4
S12,Undergraduate,MUS A   137,GERVAIS M M,A,5
S12,Undergraduate,MUS A   137,GERVAIS M M,A-,2
S12,Undergraduate,MUS A   142,ROUNTREE C O,A,15
S12,Undergraduate,MUS A   143,FELBER J,A,6
S12,Undergraduate,MUS A   145BR,GROSS S L,A+,2
S12,Undergraduate,MUS A   145BR,GROSS S L,A,1
S12,Undergraduate,MUS A   145BR,GROSS S L,B,2
S12,Undergraduate,MUS A   147S,NATHAN J S,A+,11
S12,Undergraduate,MUS A   147S,NATHAN J S,A,1
S12,Undergraduate,MUS A   170I,MARCUS S L,A,4
S12,Undergraduate,MUS A   170I,MARCUS S L,B+,1
S12,Undergraduate,MUS A   170S,WRIGHT M J,A+,1
S12,Undergraduate,MUS A   170S,WRIGHT M J,A,5
S12,Undergraduate,MUS A   170V,BELL V R,A+,35
S12,Graduate,MUS A   236,GERVAIS M M,A+,5
S12,Graduate,MUS A   236,GERVAIS M M,A,2
S12,Graduate,MUS A   238,SAHUC P N,A,6
S12,Graduate,MUS A   238,SAHUC P N,A-,1
S12,Graduate,MUS A   240,HALADYNA J J,A+,3
S12,Graduate,MUS A   240,HALADYNA J J,A,2
S12,Graduate,MUS A   242,ROUNTREE C O,A,8
