Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S12,Undergraduate,PHYS      1,FREEDMAN R A,A+,1
S12,Undergraduate,PHYS      1,FREEDMAN R A,A,9
S12,Undergraduate,PHYS      1,FREEDMAN R A,A-,8
S12,Undergraduate,PHYS      1,FREEDMAN R A,B+,9
S12,Undergraduate,PHYS      1,FREEDMAN R A,B,10
S12,Undergraduate,PHYS      1,FREEDMAN R A,B-,8
S12,Undergraduate,PHYS      1,FREEDMAN R A,C+,11
S12,Undergraduate,PHYS      1,FREEDMAN R A,C,8
S12,Undergraduate,PHYS      1,FREEDMAN R A,C-,5
S12,Undergraduate,PHYS      1,FREEDMAN R A,D+,8
S12,Undergraduate,PHYS      1,FREEDMAN R A,D,5
S12,Undergraduate,PHYS      1,FREEDMAN R A,F,9
S12,Undergraduate,PHYS      2,GWINN C,A+,12
S12,Undergraduate,PHYS      2,GWINN C,A,43
S12,Undergraduate,PHYS      2,GWINN C,A-,71
S12,Undergraduate,PHYS      2,GWINN C,B+,75
S12,Undergraduate,PHYS      2,GWINN C,B,72
S12,Undergraduate,PHYS      2,GWINN C,B-,53
S12,Undergraduate,PHYS      2,GWINN C,C+,37
S12,Undergraduate,PHYS      2,GWINN C,C,30
S12,Undergraduate,PHYS      2,GWINN C,C-,13
S12,Undergraduate,PHYS      2,GWINN C,D+,7
S12,Undergraduate,PHYS      2,GWINN C,D,5
S12,Undergraduate,PHYS      2,GWINN C,F,3
S12,Undergraduate,PHYS      2,O'NEILL H M,A+,12
S12,Undergraduate,PHYS      2,O'NEILL H M,A,43
S12,Undergraduate,PHYS      2,O'NEILL H M,A-,71
S12,Undergraduate,PHYS      2,O'NEILL H M,B+,75
S12,Undergraduate,PHYS      2,O'NEILL H M,B,72
S12,Undergraduate,PHYS      2,O'NEILL H M,B-,53
S12,Undergraduate,PHYS      2,O'NEILL H M,C+,37
S12,Undergraduate,PHYS      2,O'NEILL H M,C,30
S12,Undergraduate,PHYS      2,O'NEILL H M,C-,13
S12,Undergraduate,PHYS      2,O'NEILL H M,D+,7
S12,Undergraduate,PHYS      2,O'NEILL H M,D,5
S12,Undergraduate,PHYS      2,O'NEILL H M,F,3
S12,Undergraduate,PHYS      4,RICHMAN J D,A+,1
S12,Undergraduate,PHYS      4,RICHMAN J D,A,4
S12,Undergraduate,PHYS      4,RICHMAN J D,A-,4
S12,Undergraduate,PHYS      4,RICHMAN J D,B+,11
S12,Undergraduate,PHYS      4,RICHMAN J D,B,11
S12,Undergraduate,PHYS      4,RICHMAN J D,B-,12
S12,Undergraduate,PHYS      4,RICHMAN J D,C+,6
S12,Undergraduate,PHYS      4,RICHMAN J D,C,7
S12,Undergraduate,PHYS      4,RICHMAN J D,C-,3
S12,Undergraduate,PHYS      4,RICHMAN J D,F,2
S12,Undergraduate,PHYS      4L,RICHMAN J D,A+,8
S12,Undergraduate,PHYS      4L,RICHMAN J D,A,19
S12,Undergraduate,PHYS      4L,RICHMAN J D,A-,30
S12,Undergraduate,PHYS      4L,RICHMAN J D,B+,4
S12,Undergraduate,PHYS      5,LIPMAN E A,A,11
S12,Undergraduate,PHYS      5,LIPMAN E A,A-,7
S12,Undergraduate,PHYS      5,LIPMAN E A,B+,11
S12,Undergraduate,PHYS      5,LIPMAN E A,B,10
S12,Undergraduate,PHYS      5,LIPMAN E A,B-,7
S12,Undergraduate,PHYS      5,LIPMAN E A,C+,8
S12,Undergraduate,PHYS      5,LIPMAN E A,C,5
S12,Undergraduate,PHYS      5,LIPMAN E A,C-,4
S12,Undergraduate,PHYS      5,LIPMAN E A,D+,5
S12,Undergraduate,PHYS      5,LIPMAN E A,D,4
S12,Undergraduate,PHYS      5,LIPMAN E A,F,2
S12,Undergraduate,PHYS      5L,LIPMAN E A,A+,8
S12,Undergraduate,PHYS      5L,LIPMAN E A,A,22
S12,Undergraduate,PHYS      5L,LIPMAN E A,A-,21
S12,Undergraduate,PHYS      5L,LIPMAN E A,B+,9
S12,Undergraduate,PHYS      5L,LIPMAN E A,B,7
S12,Undergraduate,PHYS      5L,LIPMAN E A,B-,3
S12,Undergraduate,PHYS      6B,CHUNG P J,A+,4
S12,Undergraduate,PHYS      6B,CHUNG P J,A,26
S12,Undergraduate,PHYS      6B,CHUNG P J,A-,9
S12,Undergraduate,PHYS      6B,CHUNG P J,B+,24
S12,Undergraduate,PHYS      6B,CHUNG P J,B,32
S12,Undergraduate,PHYS      6B,CHUNG P J,B-,21
S12,Undergraduate,PHYS      6B,CHUNG P J,C+,33
S12,Undergraduate,PHYS      6B,CHUNG P J,C,35
S12,Undergraduate,PHYS      6B,CHUNG P J,C-,11
S12,Undergraduate,PHYS      6B,CHUNG P J,D+,3
S12,Undergraduate,PHYS      6B,CHUNG P J,D,6
S12,Undergraduate,PHYS      6B,CHUNG P J,D-,3
S12,Undergraduate,PHYS      6B,CHUNG P J,F,2
S12,Undergraduate,PHYS      6B,GELLER R M,A+,5
S12,Undergraduate,PHYS      6B,GELLER R M,A,23
S12,Undergraduate,PHYS      6B,GELLER R M,A-,11
S12,Undergraduate,PHYS      6B,GELLER R M,B+,30
S12,Undergraduate,PHYS      6B,GELLER R M,B,38
S12,Undergraduate,PHYS      6B,GELLER R M,B-,31
S12,Undergraduate,PHYS      6B,GELLER R M,C+,47
S12,Undergraduate,PHYS      6B,GELLER R M,C,45
S12,Undergraduate,PHYS      6B,GELLER R M,C-,16
S12,Undergraduate,PHYS      6B,GELLER R M,D+,3
S12,Undergraduate,PHYS      6B,GELLER R M,D,5
S12,Undergraduate,PHYS      6B,GELLER R M,D-,3
S12,Undergraduate,PHYS      6B,GELLER R M,F,13
S12,Undergraduate,PHYS      6BL,CHUNG P J,A+,47
S12,Undergraduate,PHYS      6BL,CHUNG P J,A,66
S12,Undergraduate,PHYS      6BL,CHUNG P J,A-,87
S12,Undergraduate,PHYS      6BL,CHUNG P J,B+,55
S12,Undergraduate,PHYS      6BL,CHUNG P J,B,72
S12,Undergraduate,PHYS      6BL,CHUNG P J,B-,24
S12,Undergraduate,PHYS      6BL,CHUNG P J,C+,1
S12,Undergraduate,PHYS      6BL,CHUNG P J,C,1
S12,Undergraduate,PHYS      6BL,CHUNG P J,F,3
S12,Undergraduate,PHYS      6BL,GELLER R M,A+,47
S12,Undergraduate,PHYS      6BL,GELLER R M,A,66
S12,Undergraduate,PHYS      6BL,GELLER R M,A-,87
S12,Undergraduate,PHYS      6BL,GELLER R M,B+,55
S12,Undergraduate,PHYS      6BL,GELLER R M,B,72
S12,Undergraduate,PHYS      6BL,GELLER R M,B-,24
S12,Undergraduate,PHYS      6BL,GELLER R M,C+,1
S12,Undergraduate,PHYS      6BL,GELLER R M,C,1
S12,Undergraduate,PHYS      6BL,GELLER R M,F,3
S12,Undergraduate,PHYS      6C,CANNELL D S,A+,1
S12,Undergraduate,PHYS      6C,CANNELL D S,A,9
S12,Undergraduate,PHYS      6C,CANNELL D S,A-,14
S12,Undergraduate,PHYS      6C,CANNELL D S,B+,15
S12,Undergraduate,PHYS      6C,CANNELL D S,B,13
S12,Undergraduate,PHYS      6C,CANNELL D S,B-,25
S12,Undergraduate,PHYS      6C,CANNELL D S,C+,29
S12,Undergraduate,PHYS      6C,CANNELL D S,C,42
S12,Undergraduate,PHYS      6C,CANNELL D S,C-,8
S12,Undergraduate,PHYS      6C,CANNELL D S,D,2
S12,Undergraduate,PHYS      6C,CANNELL D S,F,4
S12,Undergraduate,PHYS      6C,GURUSWAMY S,A,18
S12,Undergraduate,PHYS      6C,GURUSWAMY S,A-,19
S12,Undergraduate,PHYS      6C,GURUSWAMY S,B+,19
S12,Undergraduate,PHYS      6C,GURUSWAMY S,B,34
S12,Undergraduate,PHYS      6C,GURUSWAMY S,B-,33
S12,Undergraduate,PHYS      6C,GURUSWAMY S,C+,28
S12,Undergraduate,PHYS      6C,GURUSWAMY S,C,18
S12,Undergraduate,PHYS      6C,GURUSWAMY S,C-,12
S12,Undergraduate,PHYS      6C,GURUSWAMY S,D+,6
S12,Undergraduate,PHYS      6C,GURUSWAMY S,D,7
S12,Undergraduate,PHYS      6C,GURUSWAMY S,F,2
S12,Undergraduate,PHYS      6CL,CANNELL D S,A+,2
