Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S13,Undergraduate,FLMST    46,BRUSUTTI A,A,12
S13,Undergraduate,FLMST    46,BRUSUTTI A,A-,23
S13,Undergraduate,FLMST    46,BRUSUTTI A,B+,21
S13,Undergraduate,FLMST    46,BRUSUTTI A,B,27
S13,Undergraduate,FLMST    46,BRUSUTTI A,B-,23
S13,Undergraduate,FLMST    46,BRUSUTTI A,C+,15
S13,Undergraduate,FLMST    46,BRUSUTTI A,C,12
S13,Undergraduate,FLMST    46,BRUSUTTI A,C-,7
S13,Undergraduate,FLMST    46,BRUSUTTI A,D+,1
S13,Undergraduate,FLMST    46,BRUSUTTI A,D,2
S13,Undergraduate,FLMST    46,BRUSUTTI A,F,8
S13,Undergraduate,FLMST    46H,BRUSUTTI A,A+,6
S13,Undergraduate,FLMST    46H,BRUSUTTI A,A,7
S13,Undergraduate,FLMST    46MS,BRUSUTTI A,A,1
S13,Undergraduate,FLMST    46MS,BRUSUTTI A,A-,5
S13,Undergraduate,FLMST    46MS,BRUSUTTI A,B+,5
S13,Undergraduate,FLMST    46MS,BRUSUTTI A,B,1
S13,Undergraduate,FLMST    46MS,BRUSUTTI A,B-,2
S13,Undergraduate,FLMST    46MS,BRUSUTTI A,C+,1
S13,Undergraduate,FLMST    54,STEINKELLNER,A+,143
S13,Undergraduate,FLMST    54,STEINKELLNER,A,56
S13,Undergraduate,FLMST    54,STEINKELLNER,A-,5
S13,Undergraduate,FLMST    54,STEINKELLNER,B+,9
S13,Undergraduate,FLMST    54,STEINKELLNER,B,4
S13,Undergraduate,FLMST    54,STEINKELLNER,B-,2
S13,Undergraduate,FLMST    54,STEINKELLNER,C+,1
S13,Undergraduate,FLMST    54,STEINKELLNER,F,6
S13,Undergraduate,FLMST    95,VENEGAS C,P,6
S13,Undergraduate,FLMST   101C,MELNICK R D,A,14
S13,Undergraduate,FLMST   101C,MELNICK R D,A-,15
S13,Undergraduate,FLMST   101C,MELNICK R D,B+,21
S13,Undergraduate,FLMST   101C,MELNICK R D,B,17
S13,Undergraduate,FLMST   101C,MELNICK R D,B-,12
S13,Undergraduate,FLMST   101C,MELNICK R D,C+,8
