Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S13,Undergraduate,JAPAN     3,CANTRELL A M,A+,1
S13,Undergraduate,JAPAN     3,CANTRELL A M,A,7
S13,Undergraduate,JAPAN     3,CANTRELL A M,A-,6
S13,Undergraduate,JAPAN     3,CANTRELL A M,B+,4
S13,Undergraduate,JAPAN     3,CANTRELL A M,B,4
S13,Undergraduate,JAPAN     3,CANTRELL A M,B-,2
S13,Undergraduate,JAPAN     3,CANTRELL A M,C+,1
S13,Undergraduate,JAPAN     3,CANTRELL A M,C-,3
S13,Undergraduate,JAPAN     3,SUGAWARA H,A+,3
S13,Undergraduate,JAPAN     3,SUGAWARA H,A,7
S13,Undergraduate,JAPAN     3,SUGAWARA H,A-,7
S13,Undergraduate,JAPAN     3,SUGAWARA H,B+,6
S13,Undergraduate,JAPAN     3,SUGAWARA H,B,3
S13,Undergraduate,JAPAN     3,SUGAWARA H,B-,5
S13,Undergraduate,JAPAN     3,SUGAWARA H,C+,1
S13,Undergraduate,JAPAN     3,SUGAWARA H,C,1
S13,Undergraduate,JAPAN     6,SHINAGAWA C,A+,2
S13,Undergraduate,JAPAN     6,SHINAGAWA C,A,11
S13,Undergraduate,JAPAN     6,SHINAGAWA C,A-,7
S13,Undergraduate,JAPAN     6,SHINAGAWA C,B+,2
S13,Undergraduate,JAPAN     6,SHINAGAWA C,B,4
S13,Undergraduate,JAPAN     6,SHINAGAWA C,B-,2
S13,Undergraduate,JAPAN     6,SHINAGAWA C,C,1
S13,Undergraduate,JAPAN     6,SHINAGAWA C,F,1
S13,Undergraduate,JAPAN     6,YAMAUCHI Y,A,4
S13,Undergraduate,JAPAN     6,YAMAUCHI Y,A-,2
S13,Undergraduate,JAPAN     6,YAMAUCHI Y,B,1
S13,Undergraduate,JAPAN     6,YAMAUCHI Y,B-,1
S13,Undergraduate,JAPAN   120C,YAMAUCHI Y,A+,1
S13,Undergraduate,JAPAN   120C,YAMAUCHI Y,A,4
S13,Undergraduate,JAPAN   120C,YAMAUCHI Y,A-,2
S13,Undergraduate,JAPAN   120C,YAMAUCHI Y,B+,4
S13,Undergraduate,JAPAN   120C,YAMAUCHI Y,B,4
S13,Undergraduate,JAPAN   120C,YAMAUCHI Y,B-,2
S13,Undergraduate,JAPAN   120C,YAMAUCHI Y,C+,1
S13,Undergraduate,JAPAN   120C,YAMAUCHI Y,C-,1
S13,Undergraduate,JAPAN   125,SALTZMAN-LI K,A+,1
S13,Undergraduate,JAPAN   125,SALTZMAN-LI K,A,1
S13,Undergraduate,JAPAN   125,SALTZMAN-LI K,B+,3
S13,Undergraduate,JAPAN   146,NATHAN J,A+,1
S13,Undergraduate,JAPAN   146,NATHAN J,A,3
S13,Undergraduate,JAPAN   146,NATHAN J,A-,1
S13,Undergraduate,JAPAN   146,NATHAN J,B,1
S13,Undergraduate,JAPAN   146,NATHAN J,B-,1
S13,Undergraduate,JAPAN   180JE,SMITH N M,A+,4
S13,Undergraduate,JAPAN   180JE,SMITH N M,A,5
S13,Undergraduate,JAPAN   180JE,SMITH N M,A-,3
S13,Undergraduate,JAPAN   180JE,SMITH N M,B+,3
S13,Undergraduate,JAPAN   183,EMMERICH M D,A,3
S13,Undergraduate,JAPAN   183,EMMERICH M D,B+,2
