Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S13,Undergraduate,LATIN     3,PELTTARI A D,A+,1
S13,Undergraduate,LATIN     3,PELTTARI A D,A,2
S13,Undergraduate,LATIN     3,PELTTARI A D,A-,4
S13,Undergraduate,LATIN     3,PELTTARI A D,B+,1
S13,Undergraduate,LATIN     3,PELTTARI A D,B,2
S13,Undergraduate,LATIN     3,PELTTARI A D,B-,1
S13,Undergraduate,LATIN     3,PELTTARI A D,C+,1
S13,Undergraduate,LATIN     3,PELTTARI A D,C,1
S13,Undergraduate,LATIN     3,PELTTARI A D,D+,1
S13,Undergraduate,LATIN     3,PELTTARI A D,F,2
S13,Undergraduate,LATIN   102,LINDHEIM S H,A,3
S13,Undergraduate,LATIN   102,LINDHEIM S H,A-,2
S13,Undergraduate,LATIN   102,LINDHEIM S H,B+,1
S13,Undergraduate,LATIN   102,LINDHEIM S H,B-,1
S13,Undergraduate,LATIN   102,LINDHEIM S H,C,1
S13,Graduate,LATIN   214,DUTSCH D,A+,2
S13,Graduate,LATIN   214,DUTSCH D,A,2
S13,Graduate,LATIN   214,DUTSCH D,A-,1
S13,Graduate,LATIN   214,DUTSCH D,B+,1
S13,Graduate,LATIN   223,MORSTEIN-MARX,A+,1
S13,Graduate,LATIN   223,MORSTEIN-MARX,A,5
S13,Graduate,LATIN   223,MORSTEIN-MARX,A-,1
