Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S13,Undergraduate,MUS A    34,BAMBACH P A,A,25
S13,Undergraduate,MUS A    36,GERVAIS M M,A+,5
S13,Undergraduate,MUS A    36,GERVAIS M M,A,1
S13,Undergraduate,MUS A    36,GERVAIS M M,A-,3
S13,Undergraduate,MUS A    36,GERVAIS M M,B+,1
S13,Undergraduate,MUS A    37,GERVAIS M M,A+,8
S13,Undergraduate,MUS A    37,GERVAIS M M,A,3
S13,Undergraduate,MUS A    37,GERVAIS M M,A-,2
S13,Undergraduate,MUS A    42,ROUNTREE C O,A,7
S13,Undergraduate,MUS A    43,FELBER J,A,4
S13,Undergraduate,MUS A    43,FELBER J,A-,1
S13,Undergraduate,MUS A    44,ASCHE C B,A,5
S13,Undergraduate,MUS A    44,ASCHE C B,A-,1
S13,Undergraduate,MUS A    47S,NATHAN J S,A+,5
S13,Undergraduate,MUS A    47S,NATHAN J S,A,13
S13,Undergraduate,MUS A    49,NATHAN J S,A+,2
S13,Undergraduate,MUS A    49,NATHAN J S,A,3
S13,Undergraduate,MUS A    70S,WRIGHT M J,A,4
S13,Undergraduate,MUS A    70S,WRIGHT M J,A-,1
S13,Undergraduate,MUS A    70S,WRIGHT M J,B,1
S13,Undergraduate,MUS A    70V,BELL V R,A+,70
S13,Undergraduate,MUS A   134,BAMBACH P A,A,15
S13,Undergraduate,MUS A   136,GERVAIS M M,A+,13
S13,Undergraduate,MUS A   136,GERVAIS M M,A,3
S13,Undergraduate,MUS A   136,GERVAIS M M,A-,1
S13,Undergraduate,MUS A   136,GERVAIS M M,B+,2
S13,Undergraduate,MUS A   137,GERVAIS M M,A+,8
S13,Undergraduate,MUS A   137,GERVAIS M M,A,3
S13,Undergraduate,MUS A   137,GERVAIS M M,A-,2
S13,Undergraduate,MUS A   142,ROUNTREE C O,A+,2
S13,Undergraduate,MUS A   142,ROUNTREE C O,A,5
S13,Undergraduate,MUS A   142,ROUNTREE C O,A-,1
S13,Undergraduate,MUS A   144,BRAUN J S,A,5
S13,Undergraduate,MUS A   145BR,GROSS S L,A,5
S13,Undergraduate,MUS A   145BR,GROSS S L,B+,1
S13,Undergraduate,MUS A   147S,NATHAN J S,A+,13
S13,Undergraduate,MUS A   147S,NATHAN J S,A,10
S13,Undergraduate,MUS A   170A,COOLEY T,A+,8
S13,Undergraduate,MUS A   170A,COOLEY T,A,2
S13,Undergraduate,MUS A   170A,COOLEY T,A-,6
S13,Undergraduate,MUS A   170M,MARCUS S L,A+,2
S13,Undergraduate,MUS A   170M,MARCUS S L,A,4
S13,Undergraduate,MUS A   170N,MARCUS S L,A+,1
S13,Undergraduate,MUS A   170N,MARCUS S L,A,4
S13,Undergraduate,MUS A   170S,WRIGHT M J,A+,2
S13,Undergraduate,MUS A   170S,WRIGHT M J,A,1
S13,Undergraduate,MUS A   170S,WRIGHT M J,A-,1
S13,Undergraduate,MUS A   170S,WRIGHT M J,B+,1
S13,Undergraduate,MUS A   170V,BELL V R,A+,37
S13,Graduate,MUS A   238P,SAHUC P N,A,7
S13,Graduate,MUS A   244,KOENIG R J,A,6
