Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S13,Undergraduate,SHS     120,INGHAM J,A,8
S13,Undergraduate,SHS     120,INGHAM J,A-,6
S13,Undergraduate,SHS     120,INGHAM J,B+,1
S13,Undergraduate,SHS     120,INGHAM J,B,2
S13,Undergraduate,SHS     120,INGHAM J,B-,1
S13,Undergraduate,SHS     120,INGHAM J,C,1
S13,Undergraduate,SHS     167,INGHAM R J,A,10
S13,Undergraduate,SHS     167,INGHAM R J,A-,2
S13,Undergraduate,SHS     167,INGHAM R J,B+,2
S13,Undergraduate,SHS     167,INGHAM R J,B,1
