Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S14,Undergraduate,ART       1A,TASCHIAN H J,A+,1
S14,Undergraduate,ART       1A,TASCHIAN H J,A,31
S14,Undergraduate,ART       1A,TASCHIAN H J,A-,21
S14,Undergraduate,ART       1A,TASCHIAN H J,B+,20
S14,Undergraduate,ART       1A,TASCHIAN H J,B,18
S14,Undergraduate,ART       1A,TASCHIAN H J,B-,7
S14,Undergraduate,ART       1A,TASCHIAN H J,C+,1
S14,Undergraduate,ART       1A,TASCHIAN H J,F,6
S14,Undergraduate,ART       1C,ROSS R H,A,154
S14,Undergraduate,ART       1C,ROSS R H,A-,27
S14,Undergraduate,ART       1C,ROSS R H,B+,19
S14,Undergraduate,ART       1C,ROSS R H,B,10
S14,Undergraduate,ART       1C,ROSS R H,B-,6
S14,Undergraduate,ART       1C,ROSS R H,C,2
S14,Undergraduate,ART       7A,FULBECK L K,A+,3
S14,Undergraduate,ART       7A,FULBECK L K,A,33
S14,Undergraduate,ART       7A,FULBECK L K,A-,27
S14,Undergraduate,ART       7A,FULBECK L K,B+,42
S14,Undergraduate,ART       7A,FULBECK L K,B,20
S14,Undergraduate,ART       7A,FULBECK L K,B-,3
S14,Undergraduate,ART       7A,FULBECK L K,C+,3
S14,Undergraduate,ART       7A,FULBECK L K,C,5
S14,Undergraduate,ART       7A,FULBECK L K,C-,2
S14,Undergraduate,ART      10,WASHBURN S,A,3
S14,Undergraduate,ART      10,WASHBURN S,A-,3
S14,Undergraduate,ART      10,WASHBURN S,B+,2
S14,Undergraduate,ART      10,WASHBURN S,B,7
S14,Undergraduate,ART      10,WASHBURN S,B-,4
S14,Undergraduate,ART      12,BUDGETT G,A+,1
S14,Undergraduate,ART      12,BUDGETT G,A,2
S14,Undergraduate,ART      12,BUDGETT G,A-,8
S14,Undergraduate,ART      12,BUDGETT G,B+,1
S14,Undergraduate,ART      12,BUDGETT G,B,2
S14,Undergraduate,ART      12,BUDGETT G,C,1
S14,Undergraduate,ART      14,CASTANO ISAZA,A+,2
S14,Undergraduate,ART      14,CASTANO ISAZA,A,7
S14,Undergraduate,ART      14,CASTANO ISAZA,A-,4
S14,Undergraduate,ART      14,CASTANO ISAZA,B+,5
S14,Undergraduate,ART      18,HAYDEN N,A,3
S14,Undergraduate,ART      18,HAYDEN N,A-,5
S14,Undergraduate,ART      18,HAYDEN N,B+,3
S14,Undergraduate,ART      18,HAYDEN N,B,5
S14,Undergraduate,ART      18,HAYDEN N,B-,3
S14,Undergraduate,ART      18,HAYDEN N,C+,1
S14,Undergraduate,ART      18,HAYDEN N,C,1
S14,Undergraduate,ART      18,HAYDEN N,F,1
S14,Undergraduate,ART      19,ROSS R H,A,9
S14,Undergraduate,ART      19,ROSS R H,A-,7
S14,Undergraduate,ART      19,ROSS R H,B+,8
S14,Undergraduate,ART      19,ROSS R H,B,11
S14,Undergraduate,ART      19,ROSS R H,B-,5
S14,Undergraduate,ART      19,ROSS R H,C,5
S14,Undergraduate,ART      19,ROSS R H,F,2
S14,Undergraduate,ART      22,BUDGETT G,A,7
S14,Undergraduate,ART      22,BUDGETT G,A-,1
S14,Undergraduate,ART      22,BUDGETT G,B+,3
S14,Undergraduate,ART      22,BUDGETT G,B-,4
S14,Undergraduate,ART      22,BUDGETT G,C,3
S14,Undergraduate,ART     100,ARGENT P,A+,1
S14,Undergraduate,ART     100,ARGENT P,A,4
S14,Undergraduate,ART     100,ARGENT P,A-,4
S14,Undergraduate,ART     100,ARGENT P,B+,4
S14,Undergraduate,ART     100,ARGENT P,B,1
S14,Undergraduate,ART     100,ARGENT P,B-,1
S14,Undergraduate,ART     100,ARGENT P,D,1
S14,Undergraduate,ART     106,YASUDA K,A,3
S14,Undergraduate,ART     106,YASUDA K,A-,1
S14,Undergraduate,ART     106,YASUDA K,B,3
S14,Undergraduate,ART     112,REESE H,A,9
S14,Undergraduate,ART     112,REESE H,A-,1
S14,Undergraduate,ART     112,REESE H,B,3
S14,Undergraduate,ART     112,REESE H,C+,1
S14,Undergraduate,ART     112,REESE H,C,2
S14,Undergraduate,ART     117,BELTZ E A,A,13
S14,Undergraduate,ART     117,BELTZ E A,A-,2
S14,Undergraduate,ART     117,BELTZ E A,B+,4
S14,Undergraduate,ART     117,BELTZ E A,B,2
S14,Undergraduate,ART     117,BELTZ E A,B-,1
S14,Undergraduate,ART     118,BELTZ E A,A,9
S14,Undergraduate,ART     118,BELTZ E A,A-,5
S14,Undergraduate,ART     118,BELTZ E A,B,1
S14,Undergraduate,ART     118,BELTZ E A,B-,1
S14,Undergraduate,ART     118,BELTZ E A,C,1
S14,Undergraduate,ART     118,BELTZ E A,F,1
S14,Undergraduate,ART     120,WANG A N,A+,9
S14,Undergraduate,ART     120,WANG A N,A,10
S14,Undergraduate,ART     120,WANG A N,A-,2
S14,Undergraduate,ART     120,WANG A N,B,1
S14,Undergraduate,ART     120,WANG A N,B-,1
S14,Undergraduate,ART     122,ESKANDAR X,A+,6
S14,Undergraduate,ART     122,ESKANDAR X,A,1
S14,Undergraduate,ART     122,ESKANDAR X,B,1
S14,Undergraduate,ART     122,ESKANDAR X,C+,2
S14,Undergraduate,ART     123,REESE H,A,9
S14,Undergraduate,ART     123,REESE H,A-,1
S14,Undergraduate,ART     123,REESE H,B,2
S14,Undergraduate,ART     123,REESE H,B-,1
S14,Undergraduate,ART     123,REESE H,C,1
S14,Undergraduate,ART     126,GARDNER C,A+,2
S14,Undergraduate,ART     126,GARDNER C,A,4
S14,Undergraduate,ART     126,GARDNER C,F,1
S14,Undergraduate,ART     130,NOVAK M J,A,2
S14,Undergraduate,ART     130,NOVAK M J,A-,4
S14,Undergraduate,ART     130,NOVAK M J,B+,3
S14,Undergraduate,ART     130,NOVAK M J,B,4
S14,Undergraduate,ART     130,NOVAK M J,B-,6
S14,Undergraduate,ART     130,NOVAK M J,C+,1
S14,Undergraduate,ART     130,NOVAK M J,C,2
S14,Undergraduate,ART     130,NOVAK M J,F,2
S14,Undergraduate,ART     185JC,CALLISTER J,A+,1
S14,Undergraduate,ART     185JC,CALLISTER J,A,3
S14,Undergraduate,ART     185JC,CALLISTER J,A-,1
S14,Undergraduate,ART     185JC,CALLISTER J,C+,1
S14,Undergraduate,ART     185KY,YASUDA K,A,4
S14,Undergraduate,ART     185KY,YASUDA K,A-,1
S14,Undergraduate,ART     185KY,YASUDA K,D,2
S14,Undergraduate,ART     185LJ,JEVBRATT L V,A+,3
S14,Undergraduate,ART     185LJ,JEVBRATT L V,A,4
S14,Undergraduate,ART     185LJ,JEVBRATT L V,A-,1
S14,Undergraduate,ART     185LJ,JEVBRATT L V,B,1
S14,Undergraduate,ART     185LJ,JEVBRATT L V,B-,1
S14,Undergraduate,ART     196,JEVBRATT L V,A,8
S14,Undergraduate,ART     199,CALLISTER J,A,3
S14,Undergraduate,ART     199,CALLISTER J,A-,1
S14,Undergraduate,ART     199,CALLISTER J,B+,1
S14,Graduate,ART     260,CALLISTER J,A,5
S14,Graduate,ART     261,ROSS R H,A+,1
S14,Graduate,ART     261,ROSS R H,A,7
S14,Graduate,ART     501,FULBECK L K,S,5
S14,Graduate,ART     591A,GARDNER C,A,5
S14,Undergraduate,ART  CS  15,EKSTROM L,P,20
S14,Undergraduate,ART  CS 101,PITCHER H,P,9
S14,Undergraduate,ART  CS 102,PITCHER H,P,14
S14,Undergraduate,ART  CS 112,BULIS R A,P,9
S14,Undergraduate,ART  CS 112,CONNALLY D E,P,6
S14,Undergraduate,ART  CS 112,EKSTROM L,P,12
S14,Undergraduate,ART  CS 120,MULFINGER J,P,11
S14,Undergraduate,ART  CS 125,FOLK E,P,8
S14,Undergraduate,ART  CS 199,CONNALLY D E,P,5
S14,Undergraduate,ARTHI     6C,MONAHAN L,A,44
S14,Undergraduate,ARTHI     6C,MONAHAN L,A-,103
S14,Undergraduate,ARTHI     6C,MONAHAN L,B+,51
S14,Undergraduate,ARTHI     6C,MONAHAN L,B,95
S14,Undergraduate,ARTHI     6C,MONAHAN L,B-,58
S14,Undergraduate,ARTHI     6C,MONAHAN L,C+,16
S14,Undergraduate,ARTHI     6C,MONAHAN L,C,14
S14,Undergraduate,ARTHI     6C,MONAHAN L,C-,3
S14,Undergraduate,ARTHI     6C,MONAHAN L,D-,1
S14,Undergraduate,ARTHI     6C,MONAHAN L,F,6
