Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S14,Undergraduate,ESS       2,POWELL R C,A,26
S14,Undergraduate,ESS       2,POWELL R C,A-,1
S14,Undergraduate,ESS       2,POWELL R C,B+,7
S14,Undergraduate,ESS       2,POWELL R C,B,71
S14,Undergraduate,ESS       2,POWELL R C,B-,6
S14,Undergraduate,ESS       2,POWELL R C,C+,6
S14,Undergraduate,ESS       2,POWELL R C,C,19
S14,Undergraduate,ESS       2,POWELL R C,C-,1
S14,Undergraduate,ESS       2,POWELL R C,D,3
S14,Undergraduate,ESS       2,POWELL R C,F,5
S14,Undergraduate,ESS       3,JAMIESON A E,A+,4
S14,Undergraduate,ESS       3,JAMIESON A E,A,97
S14,Undergraduate,ESS       3,JAMIESON A E,A-,68
S14,Undergraduate,ESS       3,JAMIESON A E,B+,52
S14,Undergraduate,ESS       3,JAMIESON A E,B,85
S14,Undergraduate,ESS       3,JAMIESON A E,B-,39
S14,Undergraduate,ESS       3,JAMIESON A E,C+,23
S14,Undergraduate,ESS       3,JAMIESON A E,C,19
S14,Undergraduate,ESS       3,JAMIESON A E,C-,6
S14,Undergraduate,ESS       3,JAMIESON A E,D+,7
S14,Undergraduate,ESS       3,JAMIESON A E,D,7
S14,Undergraduate,ESS       3,JAMIESON A E,F,7
S14,Undergraduate,ESS       4A,POWELL R C,A+,3
S14,Undergraduate,ESS       4A,POWELL R C,A,9
S14,Undergraduate,ESS       4A,POWELL R C,A-,12
S14,Undergraduate,ESS       4A,POWELL R C,B+,3
S14,Undergraduate,ESS       4A,POWELL R C,B,5
S14,Undergraduate,ESS       4A,POWELL R C,B-,1
S14,Undergraduate,ESS       4A,POWELL R C,F,1
S14,Undergraduate,ESS       7,TUCKNOTT R A,A,18
S14,Undergraduate,ESS       7,TUCKNOTT R A,A-,3
S14,Undergraduate,ESS       7,TUCKNOTT R A,B+,2
S14,Undergraduate,ESS       7,TUCKNOTT R A,B-,2
S14,Undergraduate,ESS       7,TUCKNOTT R A,F,1
S14,Undergraduate,ESS       9,JAMIESON A E,A+,3
S14,Undergraduate,ESS       9,JAMIESON A E,A,31
S14,Undergraduate,ESS       9,JAMIESON A E,A-,9
S14,Undergraduate,ESS       9,JAMIESON A E,B+,4
S14,Undergraduate,ESS       9,JAMIESON A E,B,5
S14,Undergraduate,ESS       9,JAMIESON A E,B-,3
S14,Undergraduate,ESS       9,JAMIESON A E,D+,1
S14,Undergraduate,ESS       9,JAMIESON A E,F,2
S14,Undergraduate,ESS      96,JAMIESON A E,P,24
S14,Undergraduate,ESS      96,JAMIESON A E,NP,1
S14,Undergraduate,ESS     130,HAMILTON J M,A+,3
S14,Undergraduate,ESS     130,HAMILTON J M,A,8
S14,Undergraduate,ESS     130,HAMILTON J M,A-,6
S14,Undergraduate,ESS     130,HAMILTON J M,B+,9
S14,Undergraduate,ESS     130,HAMILTON J M,B,10
S14,Undergraduate,ESS     130,HAMILTON J M,B-,3
S14,Undergraduate,ESS     130,HAMILTON J M,C+,4
S14,Undergraduate,ESS     130,HAMILTON J M,C,6
S14,Undergraduate,ESS     130,HAMILTON J M,C-,3
S14,Undergraduate,ESS     130,HAMILTON J M,D+,1
S14,Undergraduate,ESS     130,HAMILTON J M,D-,1
S14,Undergraduate,ESS     130,HAMILTON J M,F,4
S14,Undergraduate,ESS     131,SPAVENTA J A,A,7
S14,Undergraduate,ESS     131,SPAVENTA J A,A-,4
S14,Undergraduate,ESS     131,SPAVENTA J A,B+,11
S14,Undergraduate,ESS     131,SPAVENTA J A,B,18
S14,Undergraduate,ESS     131,SPAVENTA J A,B-,8
S14,Undergraduate,ESS     131,SPAVENTA J A,C+,8
S14,Undergraduate,ESS     131,SPAVENTA J A,C,11
S14,Undergraduate,ESS     131,SPAVENTA J A,C-,4
S14,Undergraduate,ESS     131,SPAVENTA J A,D+,1
S14,Undergraduate,ESS     140,HAMILTON J M,A,3
S14,Undergraduate,ESS     140,HAMILTON J M,A-,8
S14,Undergraduate,ESS     140,HAMILTON J M,B+,4
S14,Undergraduate,ESS     140,HAMILTON J M,B,8
S14,Undergraduate,ESS     140,HAMILTON J M,B-,9
S14,Undergraduate,ESS     140,HAMILTON J M,C+,3
S14,Undergraduate,ESS     140,HAMILTON J M,C,4
S14,Undergraduate,ESS     140,HAMILTON J M,C-,1
S14,Undergraduate,ESS     140,HAMILTON J M,F,3
S14,Undergraduate,ESS     160,HAMILTON J M,A+,2
S14,Undergraduate,ESS     160,HAMILTON J M,A,3
S14,Undergraduate,ESS     160,HAMILTON J M,A-,7
S14,Undergraduate,ESS     160,HAMILTON J M,B+,6
S14,Undergraduate,ESS     160,HAMILTON J M,B,8
S14,Undergraduate,ESS     160,HAMILTON J M,B-,12
S14,Undergraduate,ESS     160,HAMILTON J M,C+,6
S14,Undergraduate,ESS     160,HAMILTON J M,C,3
S14,Undergraduate,ESS     160,HAMILTON J M,C-,1
S14,Undergraduate,ESS     185,JAMIESON A E,A+,1
S14,Undergraduate,ESS     185,JAMIESON A E,A,7
S14,Undergraduate,ESS     193,JAMIESON A E,P,34
S14,Undergraduate,ESS     199,JAMIESON A E,A,7
S14,Undergraduate,ESS     199,JAMIESON A E,A-,1
