Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S14,Undergraduate,LATIN     3,DUTSCH D,A+,4
S14,Undergraduate,LATIN     3,DUTSCH D,A,8
S14,Undergraduate,LATIN     3,DUTSCH D,A-,2
S14,Undergraduate,LATIN     3,DUTSCH D,B+,3
S14,Undergraduate,LATIN     3,DUTSCH D,B,1
S14,Undergraduate,LATIN     3,DUTSCH D,B-,3
S14,Undergraduate,LATIN     3,DUTSCH D,C+,3
S14,Undergraduate,LATIN     3,DUTSCH D,C-,2
S14,Undergraduate,LATIN   102,MORSTEIN-MARX,A+,1
S14,Undergraduate,LATIN   102,MORSTEIN-MARX,A,2
S14,Undergraduate,LATIN   102,MORSTEIN-MARX,B+,2
S14,Undergraduate,LATIN   102,MORSTEIN-MARX,B,1
S14,Graduate,LATIN   215,MACLEAN R B,A,7
S14,Graduate,LATIN   238,DUNN F M,A+,2
S14,Graduate,LATIN   238,DUNN F M,A,6
