Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S15,Undergraduate,AS AM     5,PANDYA S P,A,10
S15,Undergraduate,AS AM     5,PANDYA S P,A-,26
S15,Undergraduate,AS AM     5,PANDYA S P,B+,27
S15,Undergraduate,AS AM     5,PANDYA S P,B,52
S15,Undergraduate,AS AM     5,PANDYA S P,B-,28
S15,Undergraduate,AS AM     5,PANDYA S P,C+,18
S15,Undergraduate,AS AM     5,PANDYA S P,C,16
S15,Undergraduate,AS AM     5,PANDYA S P,C-,4
S15,Undergraduate,AS AM     5,PANDYA S P,D+,1
S15,Undergraduate,AS AM     5,PANDYA S P,D,4
S15,Undergraduate,AS AM     5,PANDYA S P,F,15
S15,Undergraduate,AS AM    71,BUSTO R V,A+,3
S15,Undergraduate,AS AM    71,BUSTO R V,A,5
S15,Undergraduate,AS AM    71,BUSTO R V,A-,11
S15,Undergraduate,AS AM    71,BUSTO R V,B+,13
S15,Undergraduate,AS AM    71,BUSTO R V,B,18
S15,Undergraduate,AS AM    71,BUSTO R V,B-,22
S15,Undergraduate,AS AM    71,BUSTO R V,C+,11
S15,Undergraduate,AS AM    71,BUSTO R V,C,15
S15,Undergraduate,AS AM    71,BUSTO R V,C-,2
S15,Undergraduate,AS AM    71,BUSTO R V,D+,1
S15,Undergraduate,AS AM    71,BUSTO R V,D,1
S15,Undergraduate,AS AM    71,BUSTO R V,F,1
S15,Undergraduate,AS AM   100AA,STOHLER J E,A+,2
S15,Undergraduate,AS AM   100AA,STOHLER J E,A,6
S15,Undergraduate,AS AM   100AA,STOHLER J E,A-,10
S15,Undergraduate,AS AM   100AA,STOHLER J E,B+,8
S15,Undergraduate,AS AM   100AA,STOHLER J E,B,16
S15,Undergraduate,AS AM   100AA,STOHLER J E,B-,5
S15,Undergraduate,AS AM   100AA,STOHLER J E,C+,1
S15,Undergraduate,AS AM   100AA,STOHLER J E,C,1
S15,Undergraduate,AS AM   100AA,STOHLER J E,F,1
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,A+,3
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,A,10
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,A-,11
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,B+,2
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,B,8
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,B-,3
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,C+,1
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,C,3
S15,Undergraduate,AS AM   100BB,DEGUZMAN J,F,2
S15,Undergraduate,AS AM   100CC,ZULUETA B C,A,2
S15,Undergraduate,AS AM   100CC,ZULUETA B C,A-,6
S15,Undergraduate,AS AM   100CC,ZULUETA B C,B+,9
S15,Undergraduate,AS AM   100CC,ZULUETA B C,B,13
S15,Undergraduate,AS AM   100CC,ZULUETA B C,B-,4
S15,Undergraduate,AS AM   100CC,ZULUETA B C,C+,4
S15,Undergraduate,AS AM   100CC,ZULUETA B C,C,4
S15,Undergraduate,AS AM   100EE,NINH E K,A+,1
S15,Undergraduate,AS AM   100EE,NINH E K,A,4
S15,Undergraduate,AS AM   100EE,NINH E K,A-,12
S15,Undergraduate,AS AM   100EE,NINH E K,B+,3
S15,Undergraduate,AS AM   100EE,NINH E K,B,5
S15,Undergraduate,AS AM   100EE,NINH E K,B-,3
S15,Undergraduate,AS AM   100EE,NINH E K,F,1
S15,Undergraduate,AS AM   100FF,PANDYA S P,A,5
S15,Undergraduate,AS AM   100FF,PANDYA S P,A-,9
S15,Undergraduate,AS AM   100FF,PANDYA S P,B+,13
S15,Undergraduate,AS AM   100FF,PANDYA S P,B,10
S15,Undergraduate,AS AM   100FF,PANDYA S P,B-,3
S15,Undergraduate,AS AM   100FF,PANDYA S P,C+,1
S15,Undergraduate,AS AM   100FF,PANDYA S P,C,2
S15,Undergraduate,AS AM   100FF,PANDYA S P,C-,1
S15,Undergraduate,AS AM   128,NINH E K,A+,3
S15,Undergraduate,AS AM   128,NINH E K,A,6
S15,Undergraduate,AS AM   128,NINH E K,A-,8
S15,Undergraduate,AS AM   128,NINH E K,B+,8
S15,Undergraduate,AS AM   128,NINH E K,B,4
S15,Undergraduate,AS AM   128,NINH E K,B-,3
S15,Undergraduate,AS AM   128,NINH E K,C+,5
S15,Undergraduate,AS AM   128,NINH E K,C,1
S15,Undergraduate,AS AM   128,NINH E K,C-,2
S15,Undergraduate,AS AM   128,NINH E K,F,2
S15,Undergraduate,AS AM   136,NINH T,A,4
S15,Undergraduate,AS AM   136,NINH T,A-,3
S15,Undergraduate,AS AM   136,NINH T,B+,3
S15,Undergraduate,AS AM   136,NINH T,B,7
S15,Undergraduate,AS AM   136,NINH T,B-,3
S15,Undergraduate,AS AM   136,NINH T,C+,2
S15,Undergraduate,AS AM   136,NINH T,C,9
S15,Undergraduate,AS AM   136,NINH T,F,2
S15,Undergraduate,AS AM   137,ZULUETA B C,A+,1
S15,Undergraduate,AS AM   137,ZULUETA B C,A-,5
S15,Undergraduate,AS AM   137,ZULUETA B C,B+,2
S15,Undergraduate,AS AM   137,ZULUETA B C,B,9
S15,Undergraduate,AS AM   137,ZULUETA B C,B-,7
S15,Undergraduate,AS AM   137,ZULUETA B C,C+,5
S15,Undergraduate,AS AM   137,ZULUETA B C,C,5
S15,Undergraduate,AS AM   137,ZULUETA B C,C-,1
S15,Undergraduate,AS AM   137,ZULUETA B C,D-,1
S15,Undergraduate,AS AM   142,HARSHA A,A+,2
S15,Undergraduate,AS AM   142,HARSHA A,A,20
S15,Undergraduate,AS AM   156,SWAIN K E,A,2
S15,Undergraduate,AS AM   156,SWAIN K E,A-,2
S15,Undergraduate,AS AM   156,SWAIN K E,B+,6
S15,Undergraduate,AS AM   156,SWAIN K E,B,7
S15,Undergraduate,AS AM   156,SWAIN K E,B-,6
S15,Undergraduate,AS AM   156,SWAIN K E,C+,3
S15,Undergraduate,AS AM   156,SWAIN K E,C,6
S15,Undergraduate,AS AM   156,SWAIN K E,C-,1
S15,Undergraduate,AS AM   156,SWAIN K E,D+,1
S15,Undergraduate,AS AM   156,SWAIN K E,D,1
S15,Undergraduate,AS AM   156,SWAIN K E,F,2
S15,Undergraduate,AS AM   165,NINH T,A+,1
S15,Undergraduate,AS AM   165,NINH T,A,9
S15,Undergraduate,AS AM   165,NINH T,A-,4
S15,Undergraduate,AS AM   165,NINH T,B+,2
S15,Undergraduate,AS AM   165,NINH T,B,5
S15,Undergraduate,AS AM   165,NINH T,B-,4
S15,Undergraduate,AS AM   165,NINH T,C+,1
S15,Undergraduate,AS AM   165,NINH T,C,3
S15,Undergraduate,AS AM   165,NINH T,F,2
