Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S15,Undergraduate,CH ST     1C,CASILLAS D I,A+,3
S15,Undergraduate,CH ST     1C,CASILLAS D I,A,54
S15,Undergraduate,CH ST     1C,CASILLAS D I,A-,108
S15,Undergraduate,CH ST     1C,CASILLAS D I,B+,91
S15,Undergraduate,CH ST     1C,CASILLAS D I,B,127
S15,Undergraduate,CH ST     1C,CASILLAS D I,B-,76
S15,Undergraduate,CH ST     1C,CASILLAS D I,C+,37
S15,Undergraduate,CH ST     1C,CASILLAS D I,C,24
S15,Undergraduate,CH ST     1C,CASILLAS D I,C-,7
S15,Undergraduate,CH ST     1C,CASILLAS D I,D+,2
S15,Undergraduate,CH ST     1C,CASILLAS D I,D,7
S15,Undergraduate,CH ST     1C,CASILLAS D I,D-,1
S15,Undergraduate,CH ST     1C,CASILLAS D I,F,2
S15,Undergraduate,CH ST   109,SALDIVAR TANA,A+,2
S15,Undergraduate,CH ST   109,SALDIVAR TANA,A,4
S15,Undergraduate,CH ST   109,SALDIVAR TANA,A-,3
S15,Undergraduate,CH ST   109,SALDIVAR TANA,F,1
S15,Undergraduate,CH ST   134,YOSSO T J,A,2
S15,Undergraduate,CH ST   134,YOSSO T J,A-,4
S15,Undergraduate,CH ST   134,YOSSO T J,B,2
S15,Undergraduate,CH ST   134,YOSSO T J,B-,4
S15,Undergraduate,CH ST   134,YOSSO T J,C,1
S15,Undergraduate,CH ST   134,YOSSO T J,D+,1
S15,Undergraduate,CH ST   134,YOSSO T J,F,1
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,A+,2
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,A,6
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,A-,2
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,B+,2
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,B,8
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,B-,1
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,C+,1
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,C,1
S15,Undergraduate,CH ST   141,SAAVEDRA Y J,F,3
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,A,3
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,A-,10
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,B+,1
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,B,4
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,B-,1
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,C+,1
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,C,4
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,C-,3
S15,Undergraduate,CH ST   144,SAAVEDRA Y J,F,1
S15,Undergraduate,CH ST   152,SIMONE A M,A+,2
S15,Undergraduate,CH ST   152,SIMONE A M,A,4
S15,Undergraduate,CH ST   152,SIMONE A M,A-,7
S15,Undergraduate,CH ST   152,SIMONE A M,B+,5
S15,Undergraduate,CH ST   152,SIMONE A M,B,4
S15,Undergraduate,CH ST   152,SIMONE A M,B-,5
S15,Undergraduate,CH ST   152,SIMONE A M,C+,1
S15,Undergraduate,CH ST   152,SIMONE A M,C,2
S15,Undergraduate,CH ST   152,SIMONE A M,C-,2
S15,Undergraduate,CH ST   153,HERNANDEZ E D,A+,7
S15,Undergraduate,CH ST   153,HERNANDEZ E D,A,10
S15,Undergraduate,CH ST   153,HERNANDEZ E D,A-,5
S15,Undergraduate,CH ST   153,HERNANDEZ E D,B+,6
S15,Undergraduate,CH ST   153,HERNANDEZ E D,B,10
S15,Undergraduate,CH ST   153,HERNANDEZ E D,B-,3
S15,Undergraduate,CH ST   153,HERNANDEZ E D,C+,3
S15,Undergraduate,CH ST   153,HERNANDEZ E D,C,1
S15,Undergraduate,CH ST   153,HERNANDEZ E D,F,1
S15,Undergraduate,CH ST   184A,HERNANDEZ E D,A,5
S15,Undergraduate,CH ST   184A,HERNANDEZ E D,A-,11
S15,Undergraduate,CH ST   184A,HERNANDEZ E D,B+,5
S15,Undergraduate,CH ST   184A,HERNANDEZ E D,B,9
S15,Undergraduate,CH ST   184A,HERNANDEZ E D,B-,1
S15,Undergraduate,CH ST   184A,HERNANDEZ E D,F,1
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,A+,8
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,A,16
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,A-,4
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,B+,6
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,B,4
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,B-,2
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,C+,5
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,C,3
S15,Undergraduate,CH ST   187,BUCHOLTZ M H,C-,1
S15,Undergraduate,CH ST   193,LOMELI F A,A,1
S15,Undergraduate,CH ST   193,LOMELI F A,A-,3
S15,Undergraduate,CH ST   193,LOMELI F A,B,1
S15,Undergraduate,CH ST   193,LOMELI F A,C-,1
S15,Undergraduate,CH ST   193,LOMELI F A,D,1
S15,Graduate,CH ST   261A,YOSSO T J,A,3
S15,Graduate,CH ST   261A,YOSSO T J,A-,3
