Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S15,Graduate,ESM     207,SALZMAN J E,A+,4
S15,Graduate,ESM     207,SALZMAN J E,A,23
S15,Graduate,ESM     207,SALZMAN J E,A-,28
S15,Graduate,ESM     207,SALZMAN J E,B+,23
S15,Graduate,ESM     207,SALZMAN J E,B,6
S15,Graduate,ESM     213,MEANS J C,A+,1
S15,Graduate,ESM     213,MEANS J C,A,4
S15,Graduate,ESM     213,MEANS J C,A-,1
S15,Graduate,ESM     213,MEANS J C,B+,3
S15,Graduate,ESM     213,MEANS J C,B,2
S15,Graduate,ESM     222,KELLER A A,A+,3
S15,Graduate,ESM     222,KELLER A A,A,8
S15,Graduate,ESM     222,KELLER A A,A-,5
S15,Graduate,ESM     222,KELLER A A,B+,1
S15,Graduate,ESM     225,WILKINSON R C,A+,4
S15,Graduate,ESM     225,WILKINSON R C,A,14
S15,Graduate,ESM     225,WILKINSON R C,A-,8
S15,Graduate,ESM     225,WILKINSON R C,B+,1
S15,Graduate,ESM     230,COTTER E E,A,6
S15,Graduate,ESM     230,COTTER E E,A-,3
S15,Graduate,ESM     233,DUNNE T,A+,3
S15,Graduate,ESM     233,DUNNE T,A,6
S15,Graduate,ESM     233,DUNNE T,A-,1
S15,Graduate,ESM     233,DUNNE T,B+,3
S15,Graduate,ESM     233,DUNNE T,S,3
S15,Graduate,ESM     239,LEA D W,A+,2
S15,Graduate,ESM     239,LEA D W,A,10
S15,Graduate,ESM     239,LEA D W,A-,4
S15,Graduate,ESM     239,LEA D W,B,1
S15,Graduate,ESM     242,PLANTINGA A,A,10
S15,Graduate,ESM     242,PLANTINGA A,A-,2
S15,Graduate,ESM     243,ANDERSON S,A+,1
S15,Graduate,ESM     243,ANDERSON S,A,9
S15,Graduate,ESM     243,ANDERSON S,A-,1
S15,Graduate,ESM     244,HORST A M,A+,2
S15,Graduate,ESM     244,HORST A M,A,14
S15,Graduate,ESM     244,HORST A M,A-,10
S15,Graduate,ESM     254,LENIHAN H S,A+,7
S15,Graduate,ESM     254,LENIHAN H S,A,11
S15,Graduate,ESM     263,FREW J E,A,28
S15,Graduate,ESM     263,FREW J E,A-,17
S15,Graduate,ESM     263,FREW J E,B+,10
S15,Graduate,ESM     263,FREW J E,B,2
S15,Graduate,ESM     266,DOZIER J C,A,10
S15,Graduate,ESM     269,ANDERSON S,A+,1
S15,Graduate,ESM     269,ANDERSON S,A,8
S15,Graduate,ESM     269,ANDERSON S,A-,10
S15,Graduate,ESM     270,HALPERN B S,A+,3
S15,Graduate,ESM     270,HALPERN B S,A,20
S15,Graduate,ESM     270,HALPERN B S,A-,3
S15,Graduate,ESM     270,HALPERN B S,B+,1
S15,Graduate,ESM     270,HALPERN B S,B,3
S15,Graduate,ESM     270,HALPERN B S,B-,1
S15,Graduate,ESM     270,HALPERN B S,C,1
S15,Graduate,ESM     273,GEYER R,A+,4
S15,Graduate,ESM     273,GEYER R,A,3
S15,Graduate,ESM     273,GEYER R,A-,12
S15,Graduate,ESM     273,GEYER R,B+,6
S15,Graduate,ESM     273,GEYER R,B,3
S15,Graduate,ESM     279,EDWARDS E C,A+,1
S15,Graduate,ESM     279,EDWARDS E C,A,3
S15,Graduate,ESM     279,EDWARDS E C,A-,1
S15,Graduate,ESM     279,SUTHERLAND S,A+,1
S15,Graduate,ESM     279,SUTHERLAND S,A,3
S15,Graduate,ESM     279,SUTHERLAND S,A-,1
S15,Graduate,ESM     293,GAINES S,S,45
S15,Graduate,ESM     293,GAINES S,U,1
S15,Graduate,ESM     294,SALZMAN J E,A,6
S15,Graduate,ESM     294,SALZMAN J E,A-,3
S15,Graduate,ESM     294,SALZMAN J E,B+,4
S15,Graduate,ESM     296,DESCHENES O,A+,3
S15,Graduate,ESM     296,DESCHENES O,A,4
S15,Graduate,ESM     296,DESCHENES O,A-,4
S15,Graduate,ESM     296,DOZIER J C,A,2
S15,Graduate,ESM     296,DOZIER J C,A-,2
S15,Graduate,ESM     296,DOZIER J C,B,1
S15,Graduate,ESM     296,FREW J E,A,2
S15,Graduate,ESM     296,FREW J E,A-,2
S15,Graduate,ESM     296,FREW J E,B,1
S15,Graduate,ESM     296,HALPERN B S,A,4
S15,Graduate,ESM     296,HALPERN B S,B,2
S15,Graduate,ESM     296,LENIHAN H S,A,17
S15,Graduate,ESM     296,TAGUE C L,A,2
S15,Graduate,ESM     296,TAGUE C L,A-,2
S15,Graduate,ESM     296,TAGUE C L,B,1
S15,Graduate,ESM     297,BUNTAINE M T,S,5
S15,Graduate,ESM     297,POTOSKI M,S,14
S15,Graduate,ESM     299,DAVIS F W,A+,2
S15,Graduate,ESM     299,DAVIS F W,A,11
S15,Graduate,ESM     299,DAVIS F W,A-,3
S15,Graduate,ESM     401A,BOOTH D B,A,5
S15,Graduate,ESM     401A,COSTELLO C J,A,5
S15,Graduate,ESM     401A,DUNNE T,A,6
S15,Graduate,ESM     401A,GAINES S,A,5
S15,Graduate,ESM     401A,GEYER R,A,5
S15,Graduate,ESM     401A,HALPERN B S,A,5
S15,Graduate,ESM     401A,HOLDEN P A,A,5
S15,Graduate,ESM     401A,LIBECAP G D,A,5
S15,Graduate,ESM     401A,SUH S,A+,5
S15,Graduate,ESM     401A,WILKINSON R C,A,5
S15,Graduate,ESM     401D,COSTELLO C J,A,5
S15,Graduate,ESM     401D,GEYER R,A+,5
S15,Graduate,ESM     401D,HALPERN B S,A,5
S15,Graduate,ESM     401D,LENIHAN H S,A+,4
S15,Graduate,ESM     401D,LENIHAN H S,A,1
S15,Graduate,ESM     402A,COTTER E E,A,13
S15,Graduate,ESM     402A,COTTER E E,A-,4
S15,Graduate,ESM     440,LEOMBRUNI L V,A,7
S15,Graduate,ESM     440,LEOMBRUNI L V,A-,13
S15,Graduate,ESM     440,LEOMBRUNI L V,B+,2
S15,Graduate,ESM     440,LEOMBRUNI L V,B,1
S15,Graduate,ESM     449,LEOMBRUNI L V,A,17
S15,Graduate,ESM     595GP,HORST A M,A,8
S15,Graduate,ESM     595HH,BUNTAINE M T,A,11
S15,Graduate,ESM     595PB,ANDERSON S,A,15
S15,Graduate,ESM     595PB,TAGUE C L,A,15
S15,Graduate,ESM     595SS,BUNTAINE M T,S,18
S15,Graduate,ESM     596,DUNNE T,A+,3
S15,Graduate,ESM     596,DUNNE T,A,6
S15,Graduate,ESM     596,DUNNE T,B+,2
S15,Graduate,ESM     596,DUNNE T,S,1
S15,Graduate,ESM     599,KELLER A A,S,8
