Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S15,Undergraduate,LAIS     10,FIGUEROA T,A+,3
S15,Undergraduate,LAIS     10,FIGUEROA T,A,9
S15,Undergraduate,LAIS     10,FIGUEROA T,A-,17
S15,Undergraduate,LAIS     10,FIGUEROA T,B+,12
S15,Undergraduate,LAIS     10,FIGUEROA T,B,9
S15,Undergraduate,LAIS     10,FIGUEROA T,B-,7
S15,Undergraduate,LAIS     10,FIGUEROA T,C+,5
S15,Undergraduate,LAIS     10,FIGUEROA T,C,7
S15,Undergraduate,LAIS     10,FIGUEROA T,C-,2
S15,Undergraduate,LAIS     10,FIGUEROA T,D,3
S15,Undergraduate,LAIS     10,FIGUEROA T,D-,1
S15,Undergraduate,LAIS     10,FIGUEROA T,F,5
