Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S15,Undergraduate,LING      3B,RIGHTMIRE S R,A,6
S15,Undergraduate,LING      3B,RIGHTMIRE S R,A-,7
S15,Undergraduate,LING      3B,RIGHTMIRE S R,B+,1
S15,Undergraduate,LING      3B,RIGHTMIRE S R,B,2
S15,Undergraduate,LING      3B,RIGHTMIRE S R,F,2
S15,Undergraduate,LING      3C,BOWMAN I K,A+,1
S15,Undergraduate,LING      3C,BOWMAN I K,A,10
S15,Undergraduate,LING      3C,BOWMAN I K,A-,6
S15,Undergraduate,LING      3C,BOWMAN I K,B+,12
S15,Undergraduate,LING      3C,BOWMAN I K,B,2
S15,Undergraduate,LING      3C,BOWMAN I K,C-,1
S15,Undergraduate,LING      3C,BOWMAN I K,D+,1
S15,Undergraduate,LING      3C,MCGOWAN E J,A,5
S15,Undergraduate,LING      3C,MCGOWAN E J,A-,2
S15,Undergraduate,LING      3C,MCGOWAN E J,B+,3
S15,Undergraduate,LING      3C,MCGOWAN E J,B,5
S15,Undergraduate,LING      3C,MCGOWAN E J,C+,1
S15,Undergraduate,LING      3C,MCGOWAN E J,C,2
S15,Undergraduate,LING      3C,NAUGHTON S J,A,4
S15,Undergraduate,LING      3C,NAUGHTON S J,A-,6
S15,Undergraduate,LING      3C,NAUGHTON S J,B+,2
S15,Undergraduate,LING      3C,NAUGHTON S J,B,3
S15,Undergraduate,LING      3C,NAUGHTON S J,C+,1
S15,Undergraduate,LING      3C,NAUGHTON S J,C-,1
S15,Undergraduate,LING      3C,RIGHTMIRE S R,A-,8
S15,Undergraduate,LING      3C,RIGHTMIRE S R,B+,2
S15,Undergraduate,LING      3C,RIGHTMIRE S R,B,3
S15,Undergraduate,LING      3C,RIGHTMIRE S R,B-,2
S15,Undergraduate,LING      3C,WESTMACOTT B,A,11
S15,Undergraduate,LING      3C,WESTMACOTT B,A-,3
S15,Undergraduate,LING      3C,WESTMACOTT B,B+,2
S15,Undergraduate,LING      3C,WESTMACOTT B,B,2
S15,Undergraduate,LING      3G,GOUGH J D,P,17
S15,Undergraduate,LING      4,GOUGH J D,P,17
S15,Undergraduate,LING     12,NAUGHTON S J,A,8
S15,Undergraduate,LING     12,NAUGHTON S J,A-,4
S15,Undergraduate,LING     12,NAUGHTON S J,B+,2
S15,Undergraduate,LING     12,NAUGHTON S J,B,1
S15,Undergraduate,LING     12,NAUGHTON S J,B-,2
S15,Undergraduate,LING     12,NAUGHTON S J,C,1
S15,Undergraduate,LING     12,THIBAULT J A,A,16
S15,Undergraduate,LING     12,THIBAULT J A,A-,8
S15,Undergraduate,LING     12,THIBAULT J A,B+,2
S15,Undergraduate,LING     12,THIBAULT J A,B,2
S15,Undergraduate,LING     12,WESTMACOTT B,A,26
S15,Undergraduate,LING     12,WESTMACOTT B,A-,6
S15,Undergraduate,LING     12,WESTMACOTT B,B+,2
S15,Undergraduate,LING     12,WESTMACOTT B,B,1
S15,Undergraduate,LING     80,CAMPBELL E W,A,17
S15,Undergraduate,LING     80,CAMPBELL E W,A-,1
S15,Undergraduate,LING     80,CAMPBELL E W,B+,4
S15,Undergraduate,LING     80,CAMPBELL E W,B,5
S15,Undergraduate,LING     80,CAMPBELL E W,B-,3
S15,Undergraduate,LING     80,CAMPBELL E W,C,1
S15,Undergraduate,LING     80,CAMPBELL E W,C-,1
S15,Undergraduate,LING    108,MITHUN M,A+,2
S15,Undergraduate,LING    108,MITHUN M,A,18
S15,Undergraduate,LING    108,MITHUN M,A-,20
S15,Undergraduate,LING    108,MITHUN M,B+,8
S15,Undergraduate,LING    108,MITHUN M,B,4
S15,Undergraduate,LING    108,MITHUN M,B-,5
S15,Undergraduate,LING    108,MITHUN M,C+,3
S15,Undergraduate,LING    108,MITHUN M,C,3
S15,Undergraduate,LING    108,MITHUN M,C-,2
S15,Undergraduate,LING    108,MITHUN M,D+,4
