Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S16,Undergraduate,BL ST     3,AKUDINOBI J,A,2
S16,Undergraduate,BL ST     3,AKUDINOBI J,A-,6
S16,Undergraduate,BL ST     3,AKUDINOBI J,B+,4
S16,Undergraduate,BL ST     3,AKUDINOBI J,B,15
S16,Undergraduate,BL ST     3,AKUDINOBI J,B-,4
S16,Undergraduate,BL ST     3,AKUDINOBI J,C+,7
S16,Undergraduate,BL ST     3,AKUDINOBI J,C,6
S16,Undergraduate,BL ST     3,AKUDINOBI J,C-,3
S16,Undergraduate,BL ST     3,AKUDINOBI J,D+,1
S16,Undergraduate,BL ST     3,AKUDINOBI J,D,2
S16,Undergraduate,BL ST     3,AKUDINOBI J,F,4
S16,Undergraduate,BL ST     4,BATTLE J G,A+,1
S16,Undergraduate,BL ST     4,BATTLE J G,A,12
S16,Undergraduate,BL ST     4,BATTLE J G,A-,24
S16,Undergraduate,BL ST     4,BATTLE J G,B+,15
S16,Undergraduate,BL ST     4,BATTLE J G,B,9
S16,Undergraduate,BL ST     4,BATTLE J G,C+,1
S16,Undergraduate,BL ST     4,BATTLE J G,F,1
S16,Undergraduate,BL ST     5,MCAULEY C,A+,9
S16,Undergraduate,BL ST     5,MCAULEY C,A,25
S16,Undergraduate,BL ST     5,MCAULEY C,A-,24
S16,Undergraduate,BL ST     5,MCAULEY C,B+,17
S16,Undergraduate,BL ST     5,MCAULEY C,B,20
S16,Undergraduate,BL ST     5,MCAULEY C,B-,7
S16,Undergraduate,BL ST     5,MCAULEY C,C+,3
S16,Undergraduate,BL ST     5,MCAULEY C,C,4
S16,Undergraduate,BL ST     5,MCAULEY C,C-,1
S16,Undergraduate,BL ST     5,MCAULEY C,F,3
S16,Undergraduate,BL ST     7,STRONGMAN R D,A+,4
S16,Undergraduate,BL ST     7,STRONGMAN R D,A,10
S16,Undergraduate,BL ST     7,STRONGMAN R D,A-,9
S16,Undergraduate,BL ST     7,STRONGMAN R D,B+,4
S16,Undergraduate,BL ST     7,STRONGMAN R D,B,9
S16,Undergraduate,BL ST     7,STRONGMAN R D,B-,5
S16,Undergraduate,BL ST     7,STRONGMAN R D,C+,3
S16,Undergraduate,BL ST     7,STRONGMAN R D,C,1
S16,Undergraduate,BL ST     7,STRONGMAN R D,C-,2
S16,Undergraduate,BL ST     7,STRONGMAN R D,D+,1
S16,Undergraduate,BL ST   104,MCAULEY C,A+,3
S16,Undergraduate,BL ST   104,MCAULEY C,A,6
S16,Undergraduate,BL ST   104,MCAULEY C,A-,6
S16,Undergraduate,BL ST   104,MCAULEY C,B+,6
S16,Undergraduate,BL ST   104,MCAULEY C,B,10
S16,Undergraduate,BL ST   104,MCAULEY C,B-,15
