Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S16,Undergraduate,COMM     87,WEBER R,A+,1
S16,Undergraduate,COMM     87,WEBER R,A,9
S16,Undergraduate,COMM     87,WEBER R,A-,5
S16,Undergraduate,COMM     87,WEBER R,B+,19
S16,Undergraduate,COMM     87,WEBER R,B,23
S16,Undergraduate,COMM     87,WEBER R,B-,17
S16,Undergraduate,COMM     87,WEBER R,C+,12
S16,Undergraduate,COMM     87,WEBER R,C,23
S16,Undergraduate,COMM     87,WEBER R,C-,5
S16,Undergraduate,COMM     87,WEBER R,D+,3
S16,Undergraduate,COMM     87,WEBER R,D,8
S16,Undergraduate,COMM     87,WEBER R,D-,3
S16,Undergraduate,COMM     87,WEBER R,F,15
S16,Undergraduate,COMM     88,MULLIN D I,A+,2
S16,Undergraduate,COMM     88,MULLIN D I,A,14
S16,Undergraduate,COMM     88,MULLIN D I,A-,23
S16,Undergraduate,COMM     88,MULLIN D I,B+,26
S16,Undergraduate,COMM     88,MULLIN D I,B,41
S16,Undergraduate,COMM     88,MULLIN D I,B-,36
S16,Undergraduate,COMM     88,MULLIN D I,C+,29
S16,Undergraduate,COMM     88,MULLIN D I,C,13
S16,Undergraduate,COMM     88,MULLIN D I,C-,14
S16,Undergraduate,COMM     88,MULLIN D I,D+,10
S16,Undergraduate,COMM     88,MULLIN D I,D,3
S16,Undergraduate,COMM     88,MULLIN D I,D-,6
S16,Undergraduate,COMM     88,MULLIN D I,F,5
S16,Undergraduate,COMM     89,MULLIN D I,A+,5
S16,Undergraduate,COMM     89,MULLIN D I,A,19
S16,Undergraduate,COMM     89,MULLIN D I,A-,29
S16,Undergraduate,COMM     89,MULLIN D I,B+,36
S16,Undergraduate,COMM     89,MULLIN D I,B,60
S16,Undergraduate,COMM     89,MULLIN D I,B-,22
S16,Undergraduate,COMM     89,MULLIN D I,C+,36
S16,Undergraduate,COMM     89,MULLIN D I,C,23
S16,Undergraduate,COMM     89,MULLIN D I,C-,12
S16,Undergraduate,COMM     89,MULLIN D I,D+,2
S16,Undergraduate,COMM     89,MULLIN D I,D,5
S16,Undergraduate,COMM     89,MULLIN D I,D-,1
S16,Undergraduate,COMM     89,MULLIN D I,F,9
S16,Undergraduate,COMM    107,KAM J A,A-,10
S16,Undergraduate,COMM    107,KAM J A,B+,24
S16,Undergraduate,COMM    107,KAM J A,B,23
S16,Undergraduate,COMM    107,KAM J A,B-,16
S16,Undergraduate,COMM    107,KAM J A,C+,7
S16,Undergraduate,COMM    107,KAM J A,C,5
S16,Undergraduate,COMM    107,KAM J A,C-,1
S16,Undergraduate,COMM    107,KAM J A,F,2
S16,Undergraduate,COMM    109,REID S A,A+,2
S16,Undergraduate,COMM    109,REID S A,A,4
S16,Undergraduate,COMM    109,REID S A,A-,5
S16,Undergraduate,COMM    109,REID S A,B+,11
S16,Undergraduate,COMM    109,REID S A,B,7
S16,Undergraduate,COMM    109,REID S A,B-,9
S16,Undergraduate,COMM    109,REID S A,C+,6
S16,Undergraduate,COMM    111,JANSMA L L,A,9
S16,Undergraduate,COMM    111,JANSMA L L,A-,19
S16,Undergraduate,COMM    111,JANSMA L L,B+,20
S16,Undergraduate,COMM    111,JANSMA L L,B,14
S16,Undergraduate,COMM    111,JANSMA L L,B-,7
S16,Undergraduate,COMM    111,JANSMA L L,C+,1
S16,Undergraduate,COMM    111,JANSMA L L,C,6
S16,Undergraduate,COMM    111,JANSMA L L,D,1
S16,Undergraduate,COMM    113,MASTRO D E,A+,2
S16,Undergraduate,COMM    113,MASTRO D E,A,38
S16,Undergraduate,COMM    113,MASTRO D E,A-,22
S16,Undergraduate,COMM    113,MASTRO D E,B+,3
S16,Undergraduate,COMM    113,MASTRO D E,B,19
S16,Undergraduate,COMM    113,MASTRO D E,B-,5
S16,Undergraduate,COMM    113,MASTRO D E,C+,2
S16,Undergraduate,COMM    113,MASTRO D E,C,2
S16,Undergraduate,COMM    113,MASTRO D E,C-,1
S16,Undergraduate,COMM    124,ALDEIS M D,A+,2
S16,Undergraduate,COMM    124,ALDEIS M D,A,18
S16,Undergraduate,COMM    124,ALDEIS M D,A-,20
S16,Undergraduate,COMM    124,ALDEIS M D,B+,15
S16,Undergraduate,COMM    124,ALDEIS M D,B,9
S16,Undergraduate,COMM    124,ALDEIS M D,B-,7
S16,Undergraduate,COMM    124,ALDEIS M D,C+,5
S16,Undergraduate,COMM    124,ALDEIS M D,C,3
S16,Undergraduate,COMM    124,ALDEIS M D,C-,2
S16,Undergraduate,COMM    124,ALDEIS M D,F,1
S16,Undergraduate,COMM    128,GILES H,A,10
S16,Undergraduate,COMM    128,GILES H,A-,17
S16,Undergraduate,COMM    128,GILES H,B+,12
S16,Undergraduate,COMM    128,GILES H,B,14
S16,Undergraduate,COMM    128,GILES H,B-,6
S16,Undergraduate,COMM    128,GILES H,C+,7
S16,Undergraduate,COMM    128,GILES H,C,6
S16,Undergraduate,COMM    128,GILES H,C-,4
S16,Undergraduate,COMM    128,GILES H,F,2
S16,Undergraduate,COMM    132,MULLIN C R,A+,1
S16,Undergraduate,COMM    132,MULLIN C R,A,13
S16,Undergraduate,COMM    132,MULLIN C R,A-,3
S16,Undergraduate,COMM    132,MULLIN C R,B+,4
