Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S16,Undergraduate,EARTH     2,GARBER J M,A+,12
S16,Undergraduate,EARTH     2,GARBER J M,A,7
S16,Undergraduate,EARTH     2,GARBER J M,A-,11
S16,Undergraduate,EARTH     2,GARBER J M,B+,16
S16,Undergraduate,EARTH     2,GARBER J M,B,25
S16,Undergraduate,EARTH     2,GARBER J M,B-,23
S16,Undergraduate,EARTH     2,GARBER J M,C+,26
S16,Undergraduate,EARTH     2,GARBER J M,C,25
S16,Undergraduate,EARTH     2,GARBER J M,C-,3
S16,Undergraduate,EARTH     2,GARBER J M,D+,12
S16,Undergraduate,EARTH     2,GARBER J M,D,1
S16,Undergraduate,EARTH     2,GARBER J M,D-,1
S16,Undergraduate,EARTH     2,GARBER J M,F,4
S16,Undergraduate,EARTH     3,AWRAMIK S M,A+,1
S16,Undergraduate,EARTH     3,AWRAMIK S M,A,5
S16,Undergraduate,EARTH     3,AWRAMIK S M,A-,4
S16,Undergraduate,EARTH     3,AWRAMIK S M,B+,6
S16,Undergraduate,EARTH     3,AWRAMIK S M,B,3
S16,Undergraduate,EARTH     3,AWRAMIK S M,B-,6
S16,Undergraduate,EARTH     3,AWRAMIK S M,C+,3
S16,Undergraduate,EARTH     3,AWRAMIK S M,C,7
S16,Undergraduate,EARTH     3,AWRAMIK S M,C-,4
S16,Undergraduate,EARTH     3,AWRAMIK S M,F,4
S16,Undergraduate,EARTH     4,VALENTINE D L,A+,6
S16,Undergraduate,EARTH     4,VALENTINE D L,A,38
S16,Undergraduate,EARTH     4,VALENTINE D L,A-,36
S16,Undergraduate,EARTH     4,VALENTINE D L,B+,28
S16,Undergraduate,EARTH     4,VALENTINE D L,B,49
S16,Undergraduate,EARTH     4,VALENTINE D L,B-,15
S16,Undergraduate,EARTH     4,VALENTINE D L,C+,40
S16,Undergraduate,EARTH     4,VALENTINE D L,C,27
S16,Undergraduate,EARTH     4,VALENTINE D L,C-,5
S16,Undergraduate,EARTH     4,VALENTINE D L,D,6
S16,Undergraduate,EARTH     4,VALENTINE D L,F,14
S16,Undergraduate,EARTH     7,LUNA D A,A+,13
S16,Undergraduate,EARTH     7,LUNA D A,A,34
S16,Undergraduate,EARTH     7,LUNA D A,A-,35
S16,Undergraduate,EARTH     7,LUNA D A,B+,53
S16,Undergraduate,EARTH     7,LUNA D A,B,57
S16,Undergraduate,EARTH     7,LUNA D A,B-,54
S16,Undergraduate,EARTH     7,LUNA D A,C+,34
S16,Undergraduate,EARTH     7,LUNA D A,C,29
S16,Undergraduate,EARTH     7,LUNA D A,C-,13
S16,Undergraduate,EARTH     7,LUNA D A,D+,6
S16,Undergraduate,EARTH     7,LUNA D A,D,6
S16,Undergraduate,EARTH     7,LUNA D A,D-,2
S16,Undergraduate,EARTH     7,LUNA D A,F,7
S16,Undergraduate,EARTH     8,WELDEAB S,A,1
S16,Undergraduate,EARTH     8,WELDEAB S,A-,5
S16,Undergraduate,EARTH     8,WELDEAB S,B+,11
S16,Undergraduate,EARTH     8,WELDEAB S,B,11
S16,Undergraduate,EARTH     8,WELDEAB S,B-,9
