Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S16,Undergraduate,ECE       1B,PARHAMI B,P,78
S16,Undergraduate,ECE       1B,PARHAMI B,NP,1
S16,Undergraduate,ECE       2C,XIE Y,A+,1
S16,Undergraduate,ECE       2C,XIE Y,A,23
S16,Undergraduate,ECE       2C,XIE Y,A-,8
S16,Undergraduate,ECE       2C,XIE Y,B+,7
S16,Undergraduate,ECE       2C,XIE Y,B,13
S16,Undergraduate,ECE       2C,XIE Y,B-,14
S16,Undergraduate,ECE       2C,XIE Y,C+,8
S16,Undergraduate,ECE       2C,XIE Y,C,24
S16,Undergraduate,ECE       2C,XIE Y,C-,10
S16,Undergraduate,ECE       2C,XIE Y,D+,6
S16,Undergraduate,ECE       2C,XIE Y,D,2
S16,Undergraduate,ECE       2C,XIE Y,D-,5
S16,Undergraduate,ECE       2C,XIE Y,F,4
S16,Undergraduate,ECE     120B,BEN-YAACOV I,A+,2
S16,Undergraduate,ECE     120B,BEN-YAACOV I,A,6
S16,Undergraduate,ECE     120B,BEN-YAACOV I,A-,8
S16,Undergraduate,ECE     120B,BEN-YAACOV I,B+,2
S16,Undergraduate,ECE     120B,BEN-YAACOV I,B,3
S16,Undergraduate,ECE     120B,BEN-YAACOV I,B-,3
S16,Undergraduate,ECE     120B,BEN-YAACOV I,C+,1
S16,Undergraduate,ECE     130C,CHANDRASEKARA,A+,3
S16,Undergraduate,ECE     130C,CHANDRASEKARA,A,11
S16,Undergraduate,ECE     130C,CHANDRASEKARA,A-,1
S16,Undergraduate,ECE     130C,CHANDRASEKARA,B+,5
S16,Undergraduate,ECE     130C,CHANDRASEKARA,B,19
S16,Undergraduate,ECE     130C,CHANDRASEKARA,B-,2
S16,Undergraduate,ECE     130C,CHANDRASEKARA,C,1
S16,Undergraduate,ECE     130C,CHANDRASEKARA,C-,1
S16,Undergraduate,ECE     130C,CHANDRASEKARA,F,1
S16,Undergraduate,ECE     135,DAGLI N,A,3
S16,Undergraduate,ECE     135,DAGLI N,B+,3
S16,Undergraduate,ECE     135,DAGLI N,C+,1
S16,Undergraduate,ECE     135,DAGLI N,C,1
S16,Undergraduate,ECE     137B,RODWELL M J,A+,4
S16,Undergraduate,ECE     137B,RODWELL M J,A,6
S16,Undergraduate,ECE     137B,RODWELL M J,A-,5
S16,Undergraduate,ECE     137B,RODWELL M J,B+,5
S16,Undergraduate,ECE     137B,RODWELL M J,B,6
S16,Undergraduate,ECE     137B,RODWELL M J,B-,7
S16,Undergraduate,ECE     137B,RODWELL M J,C+,7
S16,Undergraduate,ECE     137B,RODWELL M J,C,3
S16,Undergraduate,ECE     137B,RODWELL M J,C-,2
S16,Undergraduate,ECE     137B,RODWELL M J,D+,4
S16,Undergraduate,ECE     137B,RODWELL M J,D,1
S16,Undergraduate,ECE     137B,RODWELL M J,D-,3
S16,Undergraduate,ECE     139,SEN P,A+,2
S16,Undergraduate,ECE     139,SEN P,A,6
S16,Undergraduate,ECE     139,SEN P,A-,3
S16,Undergraduate,ECE     139,SEN P,B+,5
S16,Undergraduate,ECE     139,SEN P,B,6
S16,Undergraduate,ECE     139,SEN P,B-,4
S16,Undergraduate,ECE     139,SEN P,C+,4
S16,Undergraduate,ECE     139,SEN P,C,7
S16,Undergraduate,ECE     139,SEN P,C-,3
S16,Undergraduate,ECE     139,SEN P,D,2
S16,Undergraduate,ECE     139,SEN P,F,1
S16,Undergraduate,ECE     145C,RODWELL M J,A+,1
S16,Undergraduate,ECE     145C,RODWELL M J,A,2
