Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S16,Undergraduate,MATH      3A,CHAPMAN K L,A,26
S16,Undergraduate,MATH      3A,CHAPMAN K L,A-,16
S16,Undergraduate,MATH      3A,CHAPMAN K L,B+,16
S16,Undergraduate,MATH      3A,CHAPMAN K L,B,21
S16,Undergraduate,MATH      3A,CHAPMAN K L,B-,12
S16,Undergraduate,MATH      3A,CHAPMAN K L,C+,11
S16,Undergraduate,MATH      3A,CHAPMAN K L,C,14
S16,Undergraduate,MATH      3A,CHAPMAN K L,C-,3
S16,Undergraduate,MATH      3A,CHAPMAN K L,D+,1
S16,Undergraduate,MATH      3A,CHAPMAN K L,D,1
S16,Undergraduate,MATH      3A,CHAPMAN K L,F,7
S16,Undergraduate,MATH      3B,CHAPMAN K L,A+,1
S16,Undergraduate,MATH      3B,CHAPMAN K L,A,41
S16,Undergraduate,MATH      3B,CHAPMAN K L,A-,16
S16,Undergraduate,MATH      3B,CHAPMAN K L,B+,12
S16,Undergraduate,MATH      3B,CHAPMAN K L,B,27
S16,Undergraduate,MATH      3B,CHAPMAN K L,B-,11
S16,Undergraduate,MATH      3B,CHAPMAN K L,C+,9
S16,Undergraduate,MATH      3B,CHAPMAN K L,C,20
S16,Undergraduate,MATH      3B,CHAPMAN K L,C-,5
S16,Undergraduate,MATH      3B,CHAPMAN K L,D+,2
S16,Undergraduate,MATH      3B,CHAPMAN K L,D,4
S16,Undergraduate,MATH      3B,CHAPMAN K L,F,12
S16,Undergraduate,MATH      3B,SETO S,A+,3
S16,Undergraduate,MATH      3B,SETO S,A,20
S16,Undergraduate,MATH      3B,SETO S,A-,5
S16,Undergraduate,MATH      3B,SETO S,B+,10
S16,Undergraduate,MATH      3B,SETO S,B,14
S16,Undergraduate,MATH      3B,SETO S,B-,3
S16,Undergraduate,MATH      3B,SETO S,C+,10
S16,Undergraduate,MATH      3B,SETO S,C,17
S16,Undergraduate,MATH      3B,SETO S,C-,5
