Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S16,Undergraduate,PORT      3,CANTO CARRILL,A,1
S16,Undergraduate,PORT      3,CANTO CARRILL,A-,3
S16,Undergraduate,PORT      3,CANTO CARRILL,B,1
S16,Undergraduate,PORT      3,CANTO CARRILL,B-,2
S16,Undergraduate,PORT      3,CANTO CARRILL,C+,2
S16,Undergraduate,PORT      3,CANTO CARRILL,C,1
S16,Undergraduate,PORT      3,CANTO CARRILL,C-,1
S16,Undergraduate,PORT      3,CANTO CARRILL,F,1
S16,Undergraduate,PORT      3,VILLA FERNAND,A,1
S16,Undergraduate,PORT      3,VILLA FERNAND,A-,5
S16,Undergraduate,PORT      3,VILLA FERNAND,B+,1
S16,Undergraduate,PORT      3,VILLA FERNAND,B,3
S16,Undergraduate,PORT      3,VILLA FERNAND,B-,2
S16,Undergraduate,PORT      6,VILLA FERNAND,A,5
S16,Undergraduate,PORT      6,VILLA FERNAND,A-,1
S16,Undergraduate,PORT      6,VILLA FERNAND,B+,2
S16,Undergraduate,PORT      6,VILLA FERNAND,B,1
S16,Undergraduate,PORT      6,VILLA FERNAND,B-,1
S16,Undergraduate,PORT     16B,VILLA FERNAND,A+,3
S16,Undergraduate,PORT     16B,VILLA FERNAND,A-,2
S16,Undergraduate,PORT     16B,VILLA FERNAND,B+,2
S16,Undergraduate,PORT     16B,VILLA FERNAND,B,5
S16,Undergraduate,PORT     16B,VILLA FERNAND,B-,3
S16,Undergraduate,PORT     16B,VILLA FERNAND,C,2
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,A+,1
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,A,6
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,A-,3
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,B+,1
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,B,4
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,B-,5
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,C+,1
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,C,5
S16,Undergraduate,PORT    128AA,MONTEIRO DE S,D,1
