Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S17,Undergraduate,CLASS    40,DUNN F M,A+,12
S17,Undergraduate,CLASS    40,DUNN F M,A,103
S17,Undergraduate,CLASS    40,DUNN F M,A-,78
S17,Undergraduate,CLASS    40,DUNN F M,B+,82
S17,Undergraduate,CLASS    40,DUNN F M,B,127
S17,Undergraduate,CLASS    40,DUNN F M,B-,56
S17,Undergraduate,CLASS    40,DUNN F M,C+,42
S17,Undergraduate,CLASS    40,DUNN F M,C,59
S17,Undergraduate,CLASS    40,DUNN F M,C-,23
S17,Undergraduate,CLASS    40,DUNN F M,D+,7
S17,Undergraduate,CLASS    40,DUNN F M,D,12
S17,Undergraduate,CLASS    40,DUNN F M,D-,3
S17,Undergraduate,CLASS    40,DUNN F M,F,37
S17,Undergraduate,CLASS    55,GALLUCCI R,A+,5
S17,Undergraduate,CLASS    55,GALLUCCI R,A,49
S17,Undergraduate,CLASS    55,GALLUCCI R,A-,39
S17,Undergraduate,CLASS    55,GALLUCCI R,B+,27
S17,Undergraduate,CLASS    55,GALLUCCI R,B,20
S17,Undergraduate,CLASS    55,GALLUCCI R,B-,12
S17,Undergraduate,CLASS    55,GALLUCCI R,C+,8
S17,Undergraduate,CLASS    55,GALLUCCI R,C,10
S17,Undergraduate,CLASS    55,GALLUCCI R,F,2
S17,Undergraduate,CLASS    99,GALLUCCI R,A+,2
S17,Undergraduate,CLASS    99,GALLUCCI R,A,3
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,A+,1
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,A,12
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,A-,10
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,B+,8
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,B,9
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,B-,10
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,C+,8
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,C,6
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,C-,1
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,D+,1
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,D,1
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,D-,2
S17,Undergraduate,CLASS   150,MORSTEIN-MARX,F,8
S17,Undergraduate,CLASS   155,ERICKSON B L,A+,1
S17,Undergraduate,CLASS   155,ERICKSON B L,A,8
S17,Undergraduate,CLASS   155,ERICKSON B L,A-,7
S17,Undergraduate,CLASS   155,ERICKSON B L,B+,2
S17,Undergraduate,CLASS   155,ERICKSON B L,C,3
S17,Undergraduate,CLASS   180A,MORSTEIN-MARX,A,4
S17,Undergraduate,CLASS   180A,MORSTEIN-MARX,A-,3
S17,Undergraduate,CLASS   180A,MORSTEIN-MARX,B+,4
S17,Undergraduate,CLASS   180A,MORSTEIN-MARX,B,3
S17,Undergraduate,CLASS   180A,MORSTEIN-MARX,B-,1
S17,Graduate,CLASS   213,MORALES H L,A,2
S17,Graduate,CLASS   213,MORALES H L,A-,4
