Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S17,Undergraduate,ED       20,LUBACH D W,A,79
S17,Undergraduate,ED       20,LUBACH D W,A-,52
S17,Undergraduate,ED       20,LUBACH D W,B+,26
S17,Undergraduate,ED       20,LUBACH D W,B,17
S17,Undergraduate,ED       20,LUBACH D W,B-,9
S17,Undergraduate,ED       20,LUBACH D W,C+,5
S17,Undergraduate,ED       20,LUBACH D W,C,2
S17,Undergraduate,ED       20,LUBACH D W,C-,1
S17,Undergraduate,ED       20,LUBACH D W,D+,1
S17,Undergraduate,ED       20,LUBACH D W,D,1
S17,Undergraduate,ED       20,LUBACH D W,F,4
S17,Undergraduate,ED       99,ROMO L F,A,13
S17,Undergraduate,ED       99,SHISHIM M D,A,12
S17,Undergraduate,ED      111,RIOS R M,A,100
S17,Undergraduate,ED      111,RIOS R M,A-,22
S17,Undergraduate,ED      111,RIOS R M,B+,6
S17,Undergraduate,ED      111,RIOS R M,B,14
S17,Undergraduate,ED      111,RIOS R M,B-,4
S17,Undergraduate,ED      111,RIOS R M,C+,2
S17,Undergraduate,ED      111,RIOS R M,C,2
S17,Undergraduate,ED      111,RIOS R M,D+,1
S17,Undergraduate,ED      111,RIOS R M,D,2
S17,Undergraduate,ED      120,LUBACH D W,A,6
S17,Undergraduate,ED      120,LUBACH D W,A-,2
S17,Undergraduate,ED      120,LUBACH D W,B,1
S17,Undergraduate,ED      120,LUBACH D W,F,1
S17,Undergraduate,ED      121,BLACKWELL K S,A,17
S17,Undergraduate,ED      121,BLACKWELL K S,A-,1
S17,Undergraduate,ED      121,BLACKWELL K S,B,1
S17,Undergraduate,ED      121,BLACKWELL K S,C,1
S17,Undergraduate,ED      122,BLACKWELL K S,P,54
S17,Undergraduate,ED      122,BLACKWELL K S,NP,1
S17,Undergraduate,ED      123,LEE J S,A+,3
S17,Undergraduate,ED      123,LEE J S,A,12
S17,Undergraduate,ED      123,LEE J S,A-,16
S17,Undergraduate,ED      123,LEE J S,B+,18
S17,Undergraduate,ED      123,LEE J S,B,2
S17,Undergraduate,ED      123,LEE J S,B-,2
S17,Undergraduate,ED      123,LEE J S,C+,3
S17,Undergraduate,ED      123,LEE J S,C,3
S17,Undergraduate,ED      123,LEE J S,D,1
S17,Undergraduate,ED      123,LEE J S,F,1
S17,Undergraduate,ED      124,BRENNER M E,A,24
S17,Undergraduate,ED      124,BRENNER M E,B+,1
S17,Undergraduate,ED      124,BRENNER M E,B,6
S17,Undergraduate,ED      124,BRENNER M E,F,1
S17,Undergraduate,ED      125,CLAIRMONT III,A+,3
S17,Undergraduate,ED      125,CLAIRMONT III,A,17
S17,Undergraduate,ED      125,CLAIRMONT III,A-,4
S17,Undergraduate,ED      125,CLAIRMONT III,B+,7
S17,Undergraduate,ED      125,CLAIRMONT III,B-,1
S17,Undergraduate,ED      128,CARLYLE A M,A+,14
S17,Undergraduate,ED      128,CARLYLE A M,A,8
S17,Undergraduate,ED      128,CARLYLE A M,A-,1
S17,Undergraduate,ED      128,CARLYLE A M,B+,1
S17,Undergraduate,ED      128,CARLYLE A M,C+,1
S17,Undergraduate,ED      128,ROSS E G,A+,14
S17,Undergraduate,ED      128,ROSS E G,A,8
S17,Undergraduate,ED      128,ROSS E G,A-,1
S17,Undergraduate,ED      128,ROSS E G,B+,1
S17,Undergraduate,ED      128,ROSS E G,C+,1
S17,Undergraduate,ED      131,JOHNSON S K,A+,12
S17,Undergraduate,ED      131,JOHNSON S K,A,7
S17,Undergraduate,ED      131,JOHNSON S K,A-,1
S17,Undergraduate,ED      131,JOHNSON S K,C+,1
S17,Undergraduate,ED      131,JOHNSON S K,C,1
