Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S17,Undergraduate,SLAV      3,MCCLAIN K L,A+,3
S17,Undergraduate,SLAV      3,MCCLAIN K L,A,5
S17,Undergraduate,SLAV      3,MCCLAIN K L,A-,5
S17,Undergraduate,SLAV      3,MCCLAIN K L,B+,3
S17,Undergraduate,SLAV      3,MCCLAIN K L,B-,1
S17,Undergraduate,SLAV      3,MCCLAIN K L,D+,1
S17,Undergraduate,SLAV      3,MCCLAIN K L,F,1
S17,Undergraduate,SLAV      3,MCLELLAN L,A+,3
S17,Undergraduate,SLAV      3,MCLELLAN L,A,9
S17,Undergraduate,SLAV      3,MCLELLAN L,A-,5
S17,Undergraduate,SLAV      3,MCLELLAN L,B,1
S17,Undergraduate,SLAV      3,MCLELLAN L,B-,1
S17,Undergraduate,SLAV      6,MCLELLAN L,A+,5
S17,Undergraduate,SLAV      6,MCLELLAN L,A,8
S17,Undergraduate,SLAV      6,MCLELLAN L,A-,3
S17,Undergraduate,SLAV      6,MCLELLAN L,B+,3
S17,Undergraduate,SLAV      6,MCLELLAN L,B,1
S17,Undergraduate,SLAV     33,MCCLAIN K L,A+,9
S17,Undergraduate,SLAV     33,MCCLAIN K L,A,6
S17,Undergraduate,SLAV     33,MCCLAIN K L,A-,9
S17,Undergraduate,SLAV     33,MCCLAIN K L,B+,5
S17,Undergraduate,SLAV     33,MCCLAIN K L,B,5
S17,Undergraduate,SLAV    101F,MCLELLAN L,A,6
S17,Undergraduate,SLAV    101F,MCLELLAN L,A-,2
S17,Undergraduate,SLAV    101F,MCLELLAN L,B+,2
S17,Undergraduate,SLAV    101F,MCLELLAN L,B,1
S17,Undergraduate,SLAV    101F,MCLELLAN L,B-,1
S17,Undergraduate,SLAV    117J,WELD S P,A+,1
S17,Undergraduate,SLAV    117J,WELD S P,A,12
S17,Undergraduate,SLAV    117J,WELD S P,A-,12
S17,Undergraduate,SLAV    117J,WELD S P,B+,4
S17,Undergraduate,SLAV    117J,WELD S P,B,2
S17,Undergraduate,SLAV    121,SPIEKER S,A,10
S17,Undergraduate,SLAV    121,SPIEKER S,B+,1
