Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S17,Undergraduate,SOC       1,HAJJAR L,A+,93
S17,Undergraduate,SOC       1,HAJJAR L,A,143
S17,Undergraduate,SOC       1,HAJJAR L,A-,113
S17,Undergraduate,SOC       1,HAJJAR L,B+,62
S17,Undergraduate,SOC       1,HAJJAR L,B,57
S17,Undergraduate,SOC       1,HAJJAR L,B-,14
S17,Undergraduate,SOC       1,HAJJAR L,C+,8
S17,Undergraduate,SOC       1,HAJJAR L,C,2
S17,Undergraduate,SOC       1,HAJJAR L,C-,2
S17,Undergraduate,SOC       1,HAJJAR L,F,4
S17,Undergraduate,SOC       1H,HAJJAR L,A,9
S17,Undergraduate,SOC       1H,HAJJAR L,A-,1
S17,Undergraduate,SOC     108,CAST A D,A+,4
S17,Undergraduate,SOC     108,CAST A D,A,12
S17,Undergraduate,SOC     108,CAST A D,A-,11
S17,Undergraduate,SOC     108,CAST A D,B+,11
S17,Undergraduate,SOC     108,CAST A D,B,7
S17,Undergraduate,SOC     108,CAST A D,B-,8
S17,Undergraduate,SOC     108,CAST A D,C+,4
S17,Undergraduate,SOC     108,CAST A D,C-,1
S17,Undergraduate,SOC     108,CAST A D,D+,1
S17,Undergraduate,SOC     108,CAST A D,F,1
S17,Undergraduate,SOC     108A,ARENAS VELAZQ,A,12
S17,Undergraduate,SOC     108A,ARENAS VELAZQ,A-,11
S17,Undergraduate,SOC     108A,ARENAS VELAZQ,B+,19
S17,Undergraduate,SOC     108A,ARENAS VELAZQ,B,15
S17,Undergraduate,SOC     108A,ARENAS VELAZQ,B-,3
S17,Undergraduate,SOC     108G,FORAN J F,A+,18
S17,Undergraduate,SOC     108G,FORAN J F,A,38
S17,Undergraduate,SOC     108G,FORAN J F,A-,9
S17,Undergraduate,SOC     108G,FORAN J F,B+,11
S17,Undergraduate,SOC     108G,FORAN J F,B,4
S17,Undergraduate,SOC     108G,FORAN J F,C-,1
S17,Undergraduate,SOC     118B,TWINE F W,A,42
S17,Undergraduate,SOC     118B,TWINE F W,A-,13
S17,Undergraduate,SOC     118B,TWINE F W,B+,5
S17,Undergraduate,SOC     118B,TWINE F W,B,2
S17,Undergraduate,SOC     118B,TWINE F W,B-,3
S17,Undergraduate,SOC     118B,TWINE F W,C+,2
S17,Undergraduate,SOC     122,SPRAGUE J H,A+,2
S17,Undergraduate,SOC     122,SPRAGUE J H,A,17
S17,Undergraduate,SOC     122,SPRAGUE J H,A-,12
S17,Undergraduate,SOC     122,SPRAGUE J H,B+,9
S17,Undergraduate,SOC     122,SPRAGUE J H,B,15
S17,Undergraduate,SOC     122,SPRAGUE J H,B-,5
S17,Undergraduate,SOC     122,SPRAGUE J H,C+,2
S17,Undergraduate,SOC     122,SPRAGUE J H,C,3
S17,Undergraduate,SOC     122,SPRAGUE J H,C-,1
S17,Undergraduate,SOC     122,SPRAGUE J H,D,1
S17,Undergraduate,SOC     122,SPRAGUE J H,F,2
S17,Undergraduate,SOC     130GR,ROBINSON W I,A+,13
S17,Undergraduate,SOC     130GR,ROBINSON W I,A,17
S17,Undergraduate,SOC     130GR,ROBINSON W I,A-,14
S17,Undergraduate,SOC     130GR,ROBINSON W I,B+,13
S17,Undergraduate,SOC     130GR,ROBINSON W I,B,24
S17,Undergraduate,SOC     130GR,ROBINSON W I,B-,12
S17,Undergraduate,SOC     130GR,ROBINSON W I,C+,9
S17,Undergraduate,SOC     130GR,ROBINSON W I,C,15
S17,Undergraduate,SOC     130GR,ROBINSON W I,C-,5
S17,Undergraduate,SOC     130GR,ROBINSON W I,D+,2
S17,Undergraduate,SOC     130GR,ROBINSON W I,F,5
S17,Undergraduate,SOC     130LA,ROBINSON W I,A+,14
S17,Undergraduate,SOC     130LA,ROBINSON W I,A,10
S17,Undergraduate,SOC     130LA,ROBINSON W I,A-,23
S17,Undergraduate,SOC     130LA,ROBINSON W I,B+,17
S17,Undergraduate,SOC     130LA,ROBINSON W I,B,20
S17,Undergraduate,SOC     130LA,ROBINSON W I,B-,11
S17,Undergraduate,SOC     130LA,ROBINSON W I,C+,15
S17,Undergraduate,SOC     130LA,ROBINSON W I,C,12
S17,Undergraduate,SOC     130LA,ROBINSON W I,C-,8
S17,Undergraduate,SOC     130LA,ROBINSON W I,D+,5
S17,Undergraduate,SOC     130LA,ROBINSON W I,D,2
S17,Undergraduate,SOC     130LA,ROBINSON W I,F,8
S17,Undergraduate,SOC     130SD,FORAN J F,A+,13
