Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S18,Undergraduate,CNCSP   101,CHOI A Y,A+,41
S18,Undergraduate,CNCSP   101,CHOI A Y,A,27
S18,Undergraduate,CNCSP   101,CHOI A Y,A-,8
S18,Undergraduate,CNCSP   101,CHOI A Y,B+,7
S18,Undergraduate,CNCSP   101,CHOI A Y,B,9
S18,Undergraduate,CNCSP   101,CHOI A Y,B-,4
S18,Undergraduate,CNCSP   101,CHOI A Y,C+,1
S18,Undergraduate,CNCSP   101,CHOI A Y,D+,1
S18,Undergraduate,CNCSP   102,QUIRK M P,A+,19
S18,Undergraduate,CNCSP   102,QUIRK M P,A,45
S18,Undergraduate,CNCSP   102,QUIRK M P,A-,21
S18,Undergraduate,CNCSP   102,QUIRK M P,B+,15
S18,Undergraduate,CNCSP   102,QUIRK M P,B,12
S18,Undergraduate,CNCSP   102,QUIRK M P,B-,8
S18,Undergraduate,CNCSP   102,QUIRK M P,C+,3
S18,Undergraduate,CNCSP   102,QUIRK M P,C,3
S18,Undergraduate,CNCSP   102,QUIRK M P,F,3
S18,Undergraduate,CNCSP   112,MEZA D C,A+,20
S18,Undergraduate,CNCSP   112,MEZA D C,A,14
S18,Undergraduate,CNCSP   112,MEZA D C,A-,10
S18,Undergraduate,CNCSP   112,MEZA D C,B+,7
S18,Undergraduate,CNCSP   112,MEZA D C,B,5
S18,Undergraduate,CNCSP   112,MEZA D C,B-,5
S18,Undergraduate,CNCSP   197,DOWDY E T,A+,13
S18,Undergraduate,CNCSP   197,JIMERSON S R,A+,30
S18,Undergraduate,CNCSP   197,JIMERSON S R,A,12
S18,Undergraduate,CNCSP   197,JIMERSON S R,A-,3
S18,Undergraduate,CNCSP   197,JIMERSON S R,B,3
S18,Undergraduate,CNCSP   197,JIMERSON S R,B-,5
S18,Undergraduate,CNCSP   197,JIMERSON S R,C+,1
S18,Undergraduate,CNCSP   197,JIMERSON S R,C,3
S18,Undergraduate,CNCSP   199RA,CONOLEY C W,A+,3
S18,Undergraduate,CNCSP   199RA,CONOLEY C W,A,3
S18,Undergraduate,CNCSP   199RA,FELIX E D,A,5
S18,Undergraduate,CNCSP   199RA,JIMERSON S R,A+,11
S18,Undergraduate,CNCSP   199RA,JIMERSON S R,A,8
S18,Undergraduate,CNCSP   199RA,JIMERSON S R,B+,1
S18,Undergraduate,CNCSP   199RA,JIMERSON S R,B,2
S18,Undergraduate,CNCSP   199RA,JIMERSON S R,C,6
S18,Undergraduate,CNCSP   199RA,KIA-KEATING M,A,7
S18,Undergraduate,CNCSP   199RA,QUIRK M P,A,17
S18,Undergraduate,CNCSP   199RA,QUIRK M P,B,2
S18,Undergraduate,CNCSP   199RA,VERNON T W,A,34
S18,Graduate,CNCSP   200,QUIRK M P,A,10
S18,Graduate,CNCSP   202,MORGAN M L,A,10
S18,Graduate,CNCSP   202,MORGAN M L,A-,1
S18,Graduate,CNCSP   209A,SHARKEY J D,S,5
S18,Graduate,CNCSP   209A,VERNON T W,S,7
S18,Graduate,CNCSP   214,FURLONG M J,A,6
S18,Graduate,CNCSP   251,SMITH S R,A,5
S18,Graduate,CNCSP   256,FEDDERS A,A+,1
S18,Graduate,CNCSP   256,FEDDERS A,A,4
S18,Graduate,CNCSP   256,JIMERSON S R,A,5
S18,Graduate,CNCSP   260C,CONSOLI A J,S,6
S18,Graduate,CNCSP   262C,FELIX E D,A,5
S18,Graduate,CNCSP   272,ZETZER H A,S,14
S18,Graduate,CNCSP   275,SHARKEY J D,S,5
S18,Graduate,CNCSP   279C,DOWDY E T,S,11
S18,Graduate,CNCSP   292,YANG C,A+,5
S18,Graduate,CNCSP   292,YANG C,A,1
S18,Graduate,CNCSP   294,ISRAEL T,A+,2
S18,Graduate,CNCSP   294,ISRAEL T,A,5
S18,Graduate,CNCSP   294,ISRAEL T,A-,2
S18,Graduate,CNCSP   294,ISRAEL T,B+,1
S18,Graduate,CNCSP   294,ISRAEL T,B,1
S18,Graduate,CNCSP   596,BARNETT M L,A,5
