Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S18,Undergraduate,ES   1-   2,CHECKETTS A W,P,29
S18,Undergraduate,ES   1-   4A,HOUGHTON B L,P,17
S18,Undergraduate,ES   1-   4A,HOUGHTON B L,NP,5
S18,Undergraduate,ES   1-   4B,HOUGHTON B L,P,28
S18,Undergraduate,ES   1-   4B,HOUGHTON B L,NP,6
S18,Undergraduate,ES   1-   6A,COLSON G W,P,12
S18,Undergraduate,ES   1-   6A,HATCHER K L,P,31
S18,Undergraduate,ES   1-   6A,HATCHER K L,NP,4
S18,Undergraduate,ES   1-   6B,COLSON G W,P,22
S18,Undergraduate,ES   1-   6B,COLSON G W,NP,1
S18,Undergraduate,ES   1-   6B,HATCHER K L,P,11
S18,Undergraduate,ES   1-   6B,HATCHER K L,NP,2
S18,Undergraduate,ES   1-   6C,COLSON G W,P,6
S18,Undergraduate,ES   1-   7A,GRANT R L,P,30
S18,Undergraduate,ES   1-   7A,SCHAUPETER B,P,49
S18,Undergraduate,ES   1-   7B,GRANT R L,P,22
S18,Undergraduate,ES   1-   9A,SHEPARD T J,P,127
S18,Undergraduate,ES   1-  10A,GAGE R J,P,65
S18,Undergraduate,ES   1-  10A,GAGE R J,NP,4
S18,Undergraduate,ES   1-  10A,WILLIAMS A,P,23
S18,Undergraduate,ES   1-  10A,WILLIAMS A,NP,4
S18,Undergraduate,ES   1-  10B,GAGE R J,P,29
S18,Undergraduate,ES   1-  10B,GAGE R J,NP,4
S18,Undergraduate,ES   1-  10B,WILLIAMS A,P,21
S18,Undergraduate,ES   1-  10B,WILLIAMS A,NP,3
S18,Undergraduate,ES   1-  10C,GAGE R J,P,27
S18,Undergraduate,ES   1-  10C,GAGE R J,NP,5
S18,Undergraduate,ES   1-  12,ERICSON M J,P,26
S18,Undergraduate,ES   1-  12,ERICSON M J,NP,1
S18,Undergraduate,ES   1-  12,RINKLER KLOBU,P,26
S18,Undergraduate,ES   1-  12,RINKLER KLOBU,NP,1
S18,Undergraduate,ES   1-  15A,EVANS M M,P,25
S18,Undergraduate,ES   1-  15A,EVANS M M,NP,5
S18,Undergraduate,ES   1-  15B,EVANS M M,P,19
S18,Undergraduate,ES   1-  15B,EVANS M M,NP,3
S18,Undergraduate,ES   1-  16A,OTA S K,P,49
S18,Undergraduate,ES   1-  16A,OTA S K,NP,10
S18,Undergraduate,ES   1-  16A,SILVA M M,P,93
S18,Undergraduate,ES   1-  16A,SILVA M M,NP,3
S18,Undergraduate,ES   1-  16B,OTA S K,P,36
S18,Undergraduate,ES   1-  16B,OTA S K,NP,6
S18,Undergraduate,ES   1-  22,LASS S,P,6
S18,Undergraduate,ES   1-  24A,DEHERAS D J,P,14
S18,Undergraduate,ES   1-  24A,DEHERAS D J,NP,2
S18,Undergraduate,ES   1-  24A,GREEN D L,P,32
S18,Undergraduate,ES   1-  24B,DEHERAS D J,P,24
S18,Undergraduate,ES   1-  24B,DEHERAS D J,NP,4
S18,Undergraduate,ES   1-  25A,MAY D S,P,25
S18,Undergraduate,ES   1-  25A,MAY D S,NP,2
S18,Undergraduate,ES   1-  25B,MAY D S,P,9
S18,Undergraduate,ES   1-  25C,MAY D S,P,10
S18,Undergraduate,ES   1-  26A,MAY D S,P,13
S18,Undergraduate,ES   1-  30A,WILSON R J,P,33
S18,Undergraduate,ES   1-  30A,WILSON R J,NP,4
S18,Undergraduate,ES   1-  30B,WILSON R J,F,1
S18,Undergraduate,ES   1-  30B,WILSON R J,P,45
S18,Undergraduate,ES   1-  30B,WILSON R J,NP,5
S18,Undergraduate,ES   1-  31B,CANNON K D,P,9
S18,Undergraduate,ES   1-  31C,CANNON K D,P,8
S18,Undergraduate,ES   1-  32,GALICINAO B M,P,8
S18,Undergraduate,ES   1-  33,MACEDO M E,P,15
S18,Undergraduate,ES   1-  33,MACEDO M E,NP,1
S18,Undergraduate,ES   1-  34A,ALLAIN T S,P,15
S18,Undergraduate,ES   1-  34A,HOUGHTON B L,P,27
S18,Undergraduate,ES   1-  34A,HOUGHTON B L,NP,7
S18,Undergraduate,ES   1-  34B,ALLAIN T S,P,33
S18,Undergraduate,ES   1-  34B,ALLAIN T S,NP,1
S18,Undergraduate,ES   1-  34B,HOUGHTON B L,P,24
S18,Undergraduate,ES   1-  34B,HOUGHTON B L,NP,7
S18,Undergraduate,ES   1-  35A,HOUGHTON B L,P,12
S18,Undergraduate,ES   1-  35A,HOUGHTON B L,NP,2
S18,Undergraduate,ES   1-  36,WILSON R J,P,41
S18,Undergraduate,ES   1-  36,WILSON R J,NP,5
S18,Undergraduate,ES   1-  37,DAVIS M J,P,10
S18,Undergraduate,ES   1-  38A,GERSTENFELD P,P,49
S18,Undergraduate,ES   1-  38A,GERSTENFELD P,NP,8
S18,Undergraduate,ES   1-  38B,GERSTENFELD P,P,27
S18,Undergraduate,ES   1-  38B,GERSTENFELD P,NP,1
S18,Undergraduate,ES   1-  38C,GERSTENFELD P,P,23
S18,Undergraduate,ES   1-  38C,GERSTENFELD P,NP,2
S18,Undergraduate,ES   1-  40A,MCGOLPIN R E,P,49
S18,Undergraduate,ES   1-  40A,MCGOLPIN R E,NP,6
S18,Undergraduate,ES   1-  40B,MCGOLPIN R E,P,53
S18,Undergraduate,ES   1-  40B,MCGOLPIN R E,NP,5
S18,Undergraduate,ES   1-  40C,MCGOLPIN R E,P,43
S18,Undergraduate,ES   1-  40C,MCGOLPIN R E,NP,1
S18,Undergraduate,ES   1-  41B,ALLAIN T S,P,17
S18,Undergraduate,ES   1-  42,DOLAN P H,P,28
S18,Undergraduate,ES   1-  43A,ERICSON M J,P,29
S18,Undergraduate,ES   1-  43A,ERICSON M J,NP,1
S18,Undergraduate,ES   1-  43A,GAGE R J,P,33
S18,Undergraduate,ES   1-  43A,GAGE R J,NP,2
S18,Undergraduate,ES   1-  43A,ORTIZ F J,P,28
S18,Undergraduate,ES   1-  43A,ORTIZ F J,NP,2
S18,Undergraduate,ES   1-  43A,WILLIAMS A,P,32
S18,Undergraduate,ES   1-  43A,WILLIAMS A,NP,3
S18,Undergraduate,ES   1-  43B,ORTIZ F J,P,81
S18,Undergraduate,ES   1-  43B,ORTIZ F J,NP,20
S18,Undergraduate,ES   1-  43D,JAMIESON A E,P,391
S18,Undergraduate,ES   1-  43D,JAMIESON A E,NP,1
S18,Undergraduate,ES   1-  43E,ERICSON M J,P,55
S18,Undergraduate,ES   1-  43E,ERICSON M J,NP,5
S18,Undergraduate,ES   1-  43E,GAGE R J,P,29
S18,Undergraduate,ES   1-  43E,GAGE R J,NP,4
S18,Undergraduate,ES   1-  45,KAY S,P,5
S18,Undergraduate,ES   1-  45,WIGO W N,P,15
S18,Undergraduate,ES   1-  47,WELCH N L,P,7
S18,Undergraduate,ES   1-  48,STUMPF P A,P,11
S18,Undergraduate,ES   1-  48,VOM STEEG T H,P,10
S18,Undergraduate,ES   1-  99,ALLAIN T S,P,7
S18,Undergraduate,ES   1-  99,COLSON G W,P,8
S18,Undergraduate,ES   1-  99,GAGE R J,P,19
S18,Undergraduate,ES   1-  99,GAGE R J,NP,3
S18,Undergraduate,ES   1-  99,GERSTENFELD P,P,18
S18,Undergraduate,ES   1-  99,GERSTENFELD P,NP,1
S18,Undergraduate,ES   1-  99,HATCHER K L,P,7
S18,Undergraduate,ES   1-  99,HOUGHTON B L,P,6
S18,Undergraduate,ES   1-  99,HOUGHTON B L,NP,3
S18,Undergraduate,ES   1-  99,MAY D S,P,20
S18,Undergraduate,ES   1-  99,MCGOLPIN R E,P,33
S18,Undergraduate,ES   1-  99,ORTIZ F J,P,10
S18,Undergraduate,ES   1-  99,ORTIZ F J,NP,2
S18,Undergraduate,ES   1-  99,OTA S K,P,5
S18,Undergraduate,ES   1-  99,SILVA M M,P,6
S18,Undergraduate,ES   1-  99,WILSON R J,P,4
S18,Undergraduate,ES   1-  99,WILSON R J,NP,1
