Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S18,Undergraduate,JAPAN     3,CANTRELL A M,A+,2
S18,Undergraduate,JAPAN     3,CANTRELL A M,A,9
S18,Undergraduate,JAPAN     3,CANTRELL A M,A-,8
S18,Undergraduate,JAPAN     3,CANTRELL A M,B+,8
S18,Undergraduate,JAPAN     3,CANTRELL A M,B,7
S18,Undergraduate,JAPAN     3,CANTRELL A M,B-,2
S18,Undergraduate,JAPAN     3,CANTRELL A M,C+,2
S18,Undergraduate,JAPAN     3,CANTRELL A M,C-,1
S18,Undergraduate,JAPAN     3,CANTRELL A M,D-,1
S18,Undergraduate,JAPAN     3,SUGAWARA H,A+,3
S18,Undergraduate,JAPAN     3,SUGAWARA H,A,10
S18,Undergraduate,JAPAN     3,SUGAWARA H,A-,4
S18,Undergraduate,JAPAN     3,SUGAWARA H,B+,8
S18,Undergraduate,JAPAN     3,SUGAWARA H,B,7
S18,Undergraduate,JAPAN     3,SUGAWARA H,B-,3
S18,Undergraduate,JAPAN     3,SUGAWARA H,C+,2
S18,Undergraduate,JAPAN     3,SUGAWARA H,C-,2
S18,Undergraduate,JAPAN     3,SUGAWARA H,D+,1
S18,Undergraduate,JAPAN     6,SHINAGAWA C,A+,2
S18,Undergraduate,JAPAN     6,SHINAGAWA C,A,10
S18,Undergraduate,JAPAN     6,SHINAGAWA C,A-,12
S18,Undergraduate,JAPAN     6,SHINAGAWA C,B+,4
S18,Undergraduate,JAPAN     6,SHINAGAWA C,B,5
S18,Undergraduate,JAPAN     6,SHINAGAWA C,B-,3
S18,Undergraduate,JAPAN     6,SHINAGAWA C,C,2
S18,Undergraduate,JAPAN     6,YAMAUCHI Y,A+,1
S18,Undergraduate,JAPAN     6,YAMAUCHI Y,A,3
S18,Undergraduate,JAPAN     6,YAMAUCHI Y,A-,5
S18,Undergraduate,JAPAN     6,YAMAUCHI Y,B+,4
S18,Undergraduate,JAPAN     6,YAMAUCHI Y,B,1
S18,Undergraduate,JAPAN     6,YAMAUCHI Y,B-,1
S18,Undergraduate,JAPAN   120C,YAMAUCHI Y,A+,2
S18,Undergraduate,JAPAN   120C,YAMAUCHI Y,A,9
S18,Undergraduate,JAPAN   120C,YAMAUCHI Y,A-,9
S18,Undergraduate,JAPAN   120C,YAMAUCHI Y,B+,4
S18,Undergraduate,JAPAN   120C,YAMAUCHI Y,B,1
S18,Undergraduate,JAPAN   120C,YAMAUCHI Y,C+,2
S18,Undergraduate,JAPAN   120C,YAMAUCHI Y,C,1
S18,Undergraduate,JAPAN   146,FLEMING W,A,3
S18,Undergraduate,JAPAN   146,FLEMING W,A-,4
S18,Undergraduate,JAPAN   146,FLEMING W,B+,2
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,A+,4
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,A,10
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,A-,19
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,B+,11
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,B,17
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,B-,10
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,C+,5
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,C,6
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,D,1
S18,Undergraduate,JAPAN   149,SALTZMAN-LI K,F,3
S18,Undergraduate,JAPAN   165,ROTH AL EID C,A+,7
S18,Undergraduate,JAPAN   165,ROTH AL EID C,A,6
S18,Undergraduate,JAPAN   165,ROTH AL EID C,A-,6
S18,Undergraduate,JAPAN   165,ROTH AL EID C,B+,9
S18,Undergraduate,JAPAN   165,ROTH AL EID C,B,9
S18,Undergraduate,JAPAN   165,ROTH AL EID C,B-,6
S18,Undergraduate,JAPAN   165,ROTH AL EID C,C+,6
S18,Undergraduate,JAPAN   165,ROTH AL EID C,C,4
S18,Undergraduate,JAPAN   165,ROTH AL EID C,C-,2
S18,Undergraduate,JAPAN   165,ROTH AL EID C,D,1
S18,Undergraduate,JAPAN   165,ROTH AL EID C,F,1
S18,Graduate,JAPAN   226,FRUHSTUCK S,A+,1
S18,Graduate,JAPAN   226,FRUHSTUCK S,A,5
S18,Graduate,JAPAN   287J,SALTZMAN-LI K,A,8
