Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S18,Undergraduate,MCDB     13,GONZALEZ NINO,P,91
S18,Undergraduate,MCDB     13,GONZALEZ NINO,NP,1
S18,Undergraduate,MCDB     13,WILTON M B,P,91
S18,Undergraduate,MCDB     13,WILTON M B,NP,1
S18,Undergraduate,MCDB     26,LOW S H,A+,4
S18,Undergraduate,MCDB     26,LOW S H,A,5
S18,Undergraduate,MCDB     26,LOW S H,A-,5
S18,Undergraduate,MCDB     26,LOW S H,B+,12
S18,Undergraduate,MCDB     26,LOW S H,B,10
S18,Undergraduate,MCDB     26,LOW S H,B-,16
S18,Undergraduate,MCDB     26,LOW S H,C+,15
S18,Undergraduate,MCDB     26,LOW S H,C,16
S18,Undergraduate,MCDB     26,LOW S H,C-,4
S18,Undergraduate,MCDB     26,LOW S H,D,5
S18,Undergraduate,MCDB     26,LOW S H,F,17
S18,Undergraduate,MCDB     92,GONZALEZ NINO,A,7
S18,Undergraduate,MCDB     92,GONZALEZ NINO,B,1
S18,Undergraduate,MCDB     92,GONZALEZ NINO,C,2
S18,Undergraduate,MCDB     92,WILTON M B,A,10
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,A+,3
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,A,41
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,A-,13
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,B+,20
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,B,23
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,B-,11
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,C+,20
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,C,38
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,C-,5
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,D,13
S18,Undergraduate,MCDB    101B,CHRISTOFFERSE,F,8
S18,Undergraduate,MCDB    101BH,CHRISTOFFERSE,A,14
S18,Undergraduate,MCDB    108C,LOUIS M R,A+,4
S18,Undergraduate,MCDB    108C,LOUIS M R,A,36
S18,Undergraduate,MCDB    108C,LOUIS M R,A-,19
S18,Undergraduate,MCDB    108C,LOUIS M R,B+,25
S18,Undergraduate,MCDB    108C,LOUIS M R,B,21
S18,Undergraduate,MCDB    108C,LOUIS M R,B-,5
S18,Undergraduate,MCDB    108C,LOUIS M R,C+,4
S18,Undergraduate,MCDB    108C,LOUIS M R,C,5
S18,Undergraduate,MCDB    108C,LOUIS M R,C-,1
S18,Undergraduate,MCDB    109L,LEW G J,A,31
S18,Undergraduate,MCDB    109L,LEW G J,A-,5
S18,Undergraduate,MCDB    109L,LEW G J,B+,1
S18,Undergraduate,MCDB    109L,LEW G J,B-,2
S18,Undergraduate,MCDB    109L,LEW G J,C-,1
S18,Undergraduate,MCDB    110,ROTHMAN J H,A+,5
S18,Undergraduate,MCDB    110,ROTHMAN J H,A,29
