Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
S18,Undergraduate,POL S     6,FREEMAN L A,A+,1
S18,Undergraduate,POL S     6,FREEMAN L A,A,22
S18,Undergraduate,POL S     6,FREEMAN L A,A-,36
S18,Undergraduate,POL S     6,FREEMAN L A,B+,32
S18,Undergraduate,POL S     6,FREEMAN L A,B,35
S18,Undergraduate,POL S     6,FREEMAN L A,B-,23
S18,Undergraduate,POL S     6,FREEMAN L A,C+,15
S18,Undergraduate,POL S     6,FREEMAN L A,C,6
S18,Undergraduate,POL S     6,FREEMAN L A,C-,1
S18,Undergraduate,POL S     6,FREEMAN L A,D+,4
S18,Undergraduate,POL S     6,FREEMAN L A,D,2
S18,Undergraduate,POL S     6,FREEMAN L A,D-,1
S18,Undergraduate,POL S     6,FREEMAN L A,F,3
S18,Undergraduate,POL S     7,COGGINS B L,A,8
S18,Undergraduate,POL S     7,COGGINS B L,A-,34
S18,Undergraduate,POL S     7,COGGINS B L,B+,22
S18,Undergraduate,POL S     7,COGGINS B L,B,43
S18,Undergraduate,POL S     7,COGGINS B L,B-,23
S18,Undergraduate,POL S     7,COGGINS B L,C+,19
S18,Undergraduate,POL S     7,COGGINS B L,C,14
S18,Undergraduate,POL S     7,COGGINS B L,C-,8
S18,Undergraduate,POL S     7,COGGINS B L,D+,2
S18,Undergraduate,POL S     7,COGGINS B L,D,1
S18,Undergraduate,POL S     7,COGGINS B L,D-,1
S18,Undergraduate,POL S     7,COGGINS B L,F,5
S18,Undergraduate,POL S    12,WOOLLEY J T,A,15
S18,Undergraduate,POL S    12,WOOLLEY J T,A-,27
S18,Undergraduate,POL S    12,WOOLLEY J T,B+,25
S18,Undergraduate,POL S    12,WOOLLEY J T,B,43
S18,Undergraduate,POL S    12,WOOLLEY J T,B-,12
S18,Undergraduate,POL S    12,WOOLLEY J T,C+,13
S18,Undergraduate,POL S    12,WOOLLEY J T,C,7
S18,Undergraduate,POL S    12,WOOLLEY J T,C-,6
S18,Undergraduate,POL S    12,WOOLLEY J T,D+,2
S18,Undergraduate,POL S    12,WOOLLEY J T,D,3
S18,Undergraduate,POL S    12,WOOLLEY J T,F,16
S18,Undergraduate,POL S    15,MILDENBERGER,A+,4
S18,Undergraduate,POL S    15,MILDENBERGER,A,17
S18,Undergraduate,POL S    15,MILDENBERGER,A-,22
S18,Undergraduate,POL S    15,MILDENBERGER,B+,22
S18,Undergraduate,POL S    15,MILDENBERGER,B,29
S18,Undergraduate,POL S    15,MILDENBERGER,B-,15
S18,Undergraduate,POL S    15,MILDENBERGER,C+,12
S18,Undergraduate,POL S    15,MILDENBERGER,C,5
S18,Undergraduate,POL S    15,MILDENBERGER,C-,3
S18,Undergraduate,POL S    15,MILDENBERGER,D+,2
S18,Undergraduate,POL S    15,MILDENBERGER,D,1
S18,Undergraduate,POL S    15,MILDENBERGER,D-,1
S18,Undergraduate,POL S    15,MILDENBERGER,F,5
S18,Undergraduate,POL S   106AT,WOOLLEY J T,A+,1
S18,Undergraduate,POL S   106AT,WOOLLEY J T,A,4
S18,Undergraduate,POL S   106AT,WOOLLEY J T,A-,2
S18,Undergraduate,POL S   106AT,WOOLLEY J T,B+,6
S18,Undergraduate,POL S   106AT,WOOLLEY J T,B,1
S18,Undergraduate,POL S   106AT,WOOLLEY J T,B-,10
S18,Undergraduate,POL S   106AT,WOOLLEY J T,C+,3
S18,Undergraduate,POL S   106AT,WOOLLEY J T,C,1
S18,Undergraduate,POL S   106DP,ALLEN G,A,3
S18,Undergraduate,POL S   106DP,ALLEN G,A-,2
S18,Undergraduate,POL S   106DP,ALLEN G,B+,8
S18,Undergraduate,POL S   106DP,ALLEN G,B,10
S18,Undergraduate,POL S   106DP,ALLEN G,B-,3
S18,Undergraduate,POL S   106DP,ALLEN G,C+,1
S18,Undergraduate,POL S   106EC,NOMIKOS G G,A,8
S18,Undergraduate,POL S   106EC,NOMIKOS G G,A-,6
S18,Undergraduate,POL S   106EC,NOMIKOS G G,B+,5
S18,Undergraduate,POL S   106EC,NOMIKOS G G,B,4
S18,Undergraduate,POL S   106EC,NOMIKOS G G,B-,1
S18,Undergraduate,POL S   106EC,NOMIKOS G G,C+,3
S18,Undergraduate,POL S   106EC,NOMIKOS G G,C,1
S18,Undergraduate,POL S   106EC,NOMIKOS G G,C-,1
S18,Undergraduate,POL S   106EC,NOMIKOS G G,D+,1
S18,Undergraduate,POL S   106HR,BENNETT N,A,4
S18,Undergraduate,POL S   106HR,BENNETT N,A-,5
S18,Undergraduate,POL S   106HR,BENNETT N,B+,13
S18,Undergraduate,POL S   106HR,BENNETT N,B,5
S18,Undergraduate,POL S   106HR,BENNETT N,C,1
S18,Undergraduate,POL S   106HR,BENNETT N,D+,1
S18,Undergraduate,POL S   106HR,BENNETT N,D-,2
S18,Undergraduate,POL S   106LP,RIVAS PINEDA,A,2
S18,Undergraduate,POL S   106LP,RIVAS PINEDA,A-,6
S18,Undergraduate,POL S   106LP,RIVAS PINEDA,B+,10
S18,Undergraduate,POL S   106LP,RIVAS PINEDA,B,9
S18,Undergraduate,POL S   106LP,RIVAS PINEDA,B-,5
S18,Undergraduate,POL S   106LP,RIVAS PINEDA,C+,1
S18,Undergraduate,POL S   106LP,RIVAS PINEDA,C,1
S18,Undergraduate,POL S   106MO,COHEN B J,A,7
S18,Undergraduate,POL S   106MO,COHEN B J,A-,10
S18,Undergraduate,POL S   106MO,COHEN B J,B+,6
S18,Undergraduate,POL S   106MO,COHEN B J,B,13
S18,Undergraduate,POL S   106MO,COHEN B J,B-,6
S18,Undergraduate,POL S   106MO,COHEN B J,C+,2
S18,Undergraduate,POL S   106MO,COHEN B J,C,2
S18,Undergraduate,POL S   106MO,COHEN B J,C-,1
S18,Undergraduate,POL S   106NG,STOKES L C,A+,5
S18,Undergraduate,POL S   106NG,STOKES L C,A,5
S18,Undergraduate,POL S   106NG,STOKES L C,A-,6
S18,Undergraduate,POL S   106NG,STOKES L C,B+,5
S18,Undergraduate,POL S   106NG,STOKES L C,B,10
S18,Undergraduate,POL S   106NG,STOKES L C,B-,12
S18,Undergraduate,POL S   106NG,STOKES L C,C+,8
S18,Undergraduate,POL S   106NG,STOKES L C,C,1
S18,Undergraduate,POL S   106NG,STOKES L C,D+,1
S18,Undergraduate,POL S   106NG,STOKES L C,D,1
S18,Undergraduate,POL S   106PK,NOMIKOS G G,A+,1
S18,Undergraduate,POL S   106PK,NOMIKOS G G,A,11
S18,Undergraduate,POL S   106PK,NOMIKOS G G,A-,2
S18,Undergraduate,POL S   106PK,NOMIKOS G G,B+,4
S18,Undergraduate,POL S   106PK,NOMIKOS G G,B,3
S18,Undergraduate,POL S   106PK,NOMIKOS G G,C+,2
S18,Undergraduate,POL S   106PK,NOMIKOS G G,C,1
S18,Undergraduate,POL S   106PK,NOMIKOS G G,C-,2
S18,Undergraduate,POL S   106PK,NOMIKOS G G,D+,1
S18,Undergraduate,POL S   106PK,NOMIKOS G G,F,2
S18,Undergraduate,POL S   110DT,MILLER C R,A+,3
S18,Undergraduate,POL S   110DT,MILLER C R,A,4
S18,Undergraduate,POL S   110DT,MILLER C R,A-,4
S18,Undergraduate,POL S   110DT,MILLER C R,B+,3
S18,Undergraduate,POL S   110DT,MILLER C R,B,4
S18,Undergraduate,POL S   110DT,MILLER C R,B-,5
S18,Undergraduate,POL S   110DT,MILLER C R,C+,3
S18,Undergraduate,POL S   110DT,MILLER C R,C,1
S18,Undergraduate,POL S   110DT,MILLER C R,C-,1
S18,Undergraduate,POL S   110DT,MILLER C R,F,1
S18,Undergraduate,POL S   110S,DUTKIEWICZ J,A,5
S18,Undergraduate,POL S   110S,DUTKIEWICZ J,A-,3
S18,Undergraduate,POL S   110S,DUTKIEWICZ J,B+,3
S18,Undergraduate,POL S   110S,DUTKIEWICZ J,B,5
S18,Undergraduate,POL S   110S,DUTKIEWICZ J,B-,2
S18,Undergraduate,POL S   110S,DUTKIEWICZ J,F,1
S18,Undergraduate,POL S   126,NARANG N,A+,2
S18,Undergraduate,POL S   126,NARANG N,A,7
S18,Undergraduate,POL S   126,NARANG N,A-,12
S18,Undergraduate,POL S   126,NARANG N,B+,3
S18,Undergraduate,POL S   126,NARANG N,B,17
S18,Undergraduate,POL S   126,NARANG N,B-,13
S18,Undergraduate,POL S   126,NARANG N,C+,2
S18,Undergraduate,POL S   126,NARANG N,C,3
S18,Undergraduate,POL S   126,NARANG N,C-,1
S18,Undergraduate,POL S   126,NARANG N,F,1
S18,Undergraduate,POL S   127,STRATHMAN B A,A+,2
S18,Undergraduate,POL S   127,STRATHMAN B A,A,33
S18,Undergraduate,POL S   127,STRATHMAN B A,A-,16
S18,Undergraduate,POL S   127,STRATHMAN B A,B+,16
S18,Undergraduate,POL S   127,STRATHMAN B A,B,35
S18,Undergraduate,POL S   127,STRATHMAN B A,B-,23
S18,Undergraduate,POL S   127,STRATHMAN B A,C+,13
S18,Undergraduate,POL S   127,STRATHMAN B A,C,18
S18,Undergraduate,POL S   127,STRATHMAN B A,C-,12
S18,Undergraduate,POL S   127,STRATHMAN B A,D+,3
S18,Undergraduate,POL S   127,STRATHMAN B A,D,3
S18,Undergraduate,POL S   127,STRATHMAN B A,F,2
S18,Undergraduate,POL S   142,STRATHMAN B A,A+,1
S18,Undergraduate,POL S   142,STRATHMAN B A,A,7
S18,Undergraduate,POL S   142,STRATHMAN B A,A-,3
S18,Undergraduate,POL S   142,STRATHMAN B A,B+,5
S18,Undergraduate,POL S   142,STRATHMAN B A,B,13
S18,Undergraduate,POL S   142,STRATHMAN B A,B-,4
S18,Undergraduate,POL S   142,STRATHMAN B A,C,1
S18,Undergraduate,POL S   143,KAPLAN C S,A,3
S18,Undergraduate,POL S   143,KAPLAN C S,A-,12
S18,Undergraduate,POL S   143,KAPLAN C S,B+,14
S18,Undergraduate,POL S   143,KAPLAN C S,B,19
S18,Undergraduate,POL S   143,KAPLAN C S,B-,5
S18,Undergraduate,POL S   143,KAPLAN C S,C+,6
S18,Undergraduate,POL S   143,KAPLAN C S,C,7
S18,Undergraduate,POL S   143,KAPLAN C S,D+,1
S18,Undergraduate,POL S   143,KAPLAN C S,D-,1
S18,Undergraduate,POL S   147,BRUHN K,A,12
S18,Undergraduate,POL S   147,BRUHN K,A-,24
S18,Undergraduate,POL S   147,BRUHN K,B+,21
S18,Undergraduate,POL S   147,BRUHN K,B,34
S18,Undergraduate,POL S   147,BRUHN K,B-,28
S18,Undergraduate,POL S   147,BRUHN K,C+,12
S18,Undergraduate,POL S   147,BRUHN K,C,15
S18,Undergraduate,POL S   147,BRUHN K,C-,3
S18,Undergraduate,POL S   147,BRUHN K,D+,2
S18,Undergraduate,POL S   147,BRUHN K,D,1
S18,Undergraduate,POL S   147,BRUHN K,F,4
S18,Undergraduate,POL S   155,SMITH E R,A+,4
S18,Undergraduate,POL S   155,SMITH E R,A,6
S18,Undergraduate,POL S   155,SMITH E R,A-,14
S18,Undergraduate,POL S   155,SMITH E R,B+,11
S18,Undergraduate,POL S   155,SMITH E R,B,20
S18,Undergraduate,POL S   155,SMITH E R,B-,14
S18,Undergraduate,POL S   155,SMITH E R,C+,8
S18,Undergraduate,POL S   155,SMITH E R,C,4
S18,Undergraduate,POL S   155,SMITH E R,F,1
S18,Undergraduate,POL S   155L,SMITH E R,A+,12
S18,Undergraduate,POL S   155L,SMITH E R,A,25
S18,Undergraduate,POL S   155L,SMITH E R,A-,13
S18,Undergraduate,POL S   155L,SMITH E R,B+,14
S18,Undergraduate,POL S   155L,SMITH E R,B,10
S18,Undergraduate,POL S   155L,SMITH E R,B-,1
S18,Undergraduate,POL S   155L,SMITH E R,C+,3
S18,Undergraduate,POL S   155L,SMITH E R,C,2
S18,Undergraduate,POL S   155L,SMITH E R,C-,1
S18,Undergraduate,POL S   155L,SMITH E R,F,1
S18,Undergraduate,POL S   194,MARQUEZ M,A,3
S18,Undergraduate,POL S   194,MARQUEZ M,B+,2
S18,Undergraduate,POL S   194,MARQUEZ M,B,3
S18,Undergraduate,POL S   194,MARQUEZ M,B-,1
S18,Undergraduate,POL S   194,MARQUEZ M,C+,1
S18,Undergraduate,POL S   196,FREEMAN L A,A+,1
S18,Undergraduate,POL S   196,FREEMAN L A,A,5
S18,Undergraduate,POL S   197C,MCDONNELL L M,A,8
S18,Undergraduate,POL S   197C,MCDONNELL L M,F,1
S18,Undergraduate,POL S   199,SMITH E R,A,7
S18,Graduate,POL S   204,JENNINGS M K,A+,1
S18,Graduate,POL S   204,JENNINGS M K,A,4
S18,Graduate,POL S   204,JENNINGS M K,A-,6
S18,Graduate,POL S   204,JENNINGS M K,B+,1
S18,Graduate,POL S   207,MILDENBERGER,A+,1
S18,Graduate,POL S   207,MILDENBERGER,A,12
S18,Graduate,POL S   207,MILDENBERGER,A-,3
S18,Graduate,POL S   237,BRUHN K,A,2
S18,Graduate,POL S   237,BRUHN K,A-,3
S18,Graduate,POL S   237,BRUHN K,B+,2
S18,Graduate,POL S   243,DIGESER P,A,3
S18,Graduate,POL S   243,DIGESER P,A-,1
S18,Graduate,POL S   243,DIGESER P,B+,1
S18,Graduate,POL S   295,SMITH E R,A,6
S18,Graduate,POL S   503,BIMBER B,A,6
S18,Graduate,POL S   595C,DIGESER P,S,25
