Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S18,Undergraduate,PSY       1,GERMAN T C M,A+,7
S18,Undergraduate,PSY       1,GERMAN T C M,A,22
S18,Undergraduate,PSY       1,GERMAN T C M,A-,21
S18,Undergraduate,PSY       1,GERMAN T C M,B+,22
S18,Undergraduate,PSY       1,GERMAN T C M,B,43
S18,Undergraduate,PSY       1,GERMAN T C M,B-,35
S18,Undergraduate,PSY       1,GERMAN T C M,C+,48
S18,Undergraduate,PSY       1,GERMAN T C M,C,89
S18,Undergraduate,PSY       1,GERMAN T C M,C-,27
S18,Undergraduate,PSY       1,GERMAN T C M,D,33
S18,Undergraduate,PSY       1,GERMAN T C M,F,37
S18,Undergraduate,PSY       7,HOROWITZ E J,A,3
S18,Undergraduate,PSY       7,HOROWITZ E J,A-,9
S18,Undergraduate,PSY       7,HOROWITZ E J,B+,4
S18,Undergraduate,PSY       7,HOROWITZ E J,B,21
S18,Undergraduate,PSY       7,HOROWITZ E J,B-,10
S18,Undergraduate,PSY       7,HOROWITZ E J,C+,1
S18,Undergraduate,PSY       7,HOROWITZ E J,C,7
S18,Undergraduate,PSY       7,HOROWITZ E J,C-,10
S18,Undergraduate,PSY       7,HOROWITZ E J,D+,3
S18,Undergraduate,PSY       7,HOROWITZ E J,D,4
S18,Undergraduate,PSY       7,HOROWITZ E J,D-,1
S18,Undergraduate,PSY       7,HOROWITZ E J,F,1
S18,Undergraduate,PSY      10A,WOODS V E,A,13
S18,Undergraduate,PSY      10A,WOODS V E,A-,25
S18,Undergraduate,PSY      10A,WOODS V E,B+,12
S18,Undergraduate,PSY      10A,WOODS V E,B,16
S18,Undergraduate,PSY      10A,WOODS V E,B-,13
S18,Undergraduate,PSY      10A,WOODS V E,C+,6
S18,Undergraduate,PSY      10A,WOODS V E,C,8
S18,Undergraduate,PSY      10A,WOODS V E,C-,4
S18,Undergraduate,PSY      10A,WOODS V E,D-,1
S18,Undergraduate,PSY      10A,WOODS V E,F,3
S18,Undergraduate,PSY      10B,RATNER K G,A,24
S18,Undergraduate,PSY      10B,RATNER K G,A-,19
S18,Undergraduate,PSY      10B,RATNER K G,B+,11
S18,Undergraduate,PSY      10B,RATNER K G,B,5
S18,Undergraduate,PSY      10B,RATNER K G,B-,4
S18,Undergraduate,PSY      10B,RATNER K G,C+,1
S18,Undergraduate,PSY      10B,RATNER K G,C-,1
S18,Undergraduate,PSY      10B,RATNER K G,F,2
S18,Undergraduate,PSY      90C,KIM H S,A,16
S18,Undergraduate,PSY      99P,GIESBRECHT B,P,5
S18,Undergraduate,PSY      99P,HEGARTY M,P,5
S18,Undergraduate,PSY      99P,HEGARTY M,NP,1
S18,Undergraduate,PSY     103,FRIDLUND A J,A+,2
S18,Undergraduate,PSY     103,FRIDLUND A J,A,86
S18,Undergraduate,PSY     103,FRIDLUND A J,A-,14
S18,Undergraduate,PSY     103,FRIDLUND A J,B+,16
S18,Undergraduate,PSY     103,FRIDLUND A J,B,266
S18,Undergraduate,PSY     103,FRIDLUND A J,B-,20
S18,Undergraduate,PSY     103,FRIDLUND A J,C+,25
S18,Undergraduate,PSY     103,FRIDLUND A J,C,185
S18,Undergraduate,PSY     103,FRIDLUND A J,C-,14
S18,Undergraduate,PSY     103,FRIDLUND A J,D+,11
S18,Undergraduate,PSY     103,FRIDLUND A J,D,74
S18,Undergraduate,PSY     103,FRIDLUND A J,D-,3
S18,Undergraduate,PSY     103,FRIDLUND A J,F,51
S18,Undergraduate,PSY     105,LIBERMAN Z E,A+,9
S18,Undergraduate,PSY     105,LIBERMAN Z E,A,49
S18,Undergraduate,PSY     105,LIBERMAN Z E,A-,29
S18,Undergraduate,PSY     105,LIBERMAN Z E,B+,47
S18,Undergraduate,PSY     105,LIBERMAN Z E,B,48
S18,Undergraduate,PSY     105,LIBERMAN Z E,B-,38
S18,Undergraduate,PSY     105,LIBERMAN Z E,C+,30
S18,Undergraduate,PSY     105,LIBERMAN Z E,C,24
S18,Undergraduate,PSY     105,LIBERMAN Z E,C-,20
S18,Undergraduate,PSY     105,LIBERMAN Z E,D+,21
S18,Undergraduate,PSY     105,LIBERMAN Z E,D,13
S18,Undergraduate,PSY     105,LIBERMAN Z E,D-,6
S18,Undergraduate,PSY     105,LIBERMAN Z E,F,18
S18,Undergraduate,PSY     106,THAYER B S,A+,3
S18,Undergraduate,PSY     106,THAYER B S,A,21
S18,Undergraduate,PSY     106,THAYER B S,A-,23
S18,Undergraduate,PSY     106,THAYER B S,B+,34
S18,Undergraduate,PSY     106,THAYER B S,B,42
S18,Undergraduate,PSY     106,THAYER B S,B-,28
S18,Undergraduate,PSY     106,THAYER B S,C+,23
