Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S18,Undergraduate,THTR      2D,CABRANES-GRAN,A+,10
S18,Undergraduate,THTR      2D,CABRANES-GRAN,A,30
S18,Undergraduate,THTR      2D,CABRANES-GRAN,A-,5
S18,Undergraduate,THTR      2D,CABRANES-GRAN,B+,6
S18,Undergraduate,THTR      2D,CABRANES-GRAN,B,4
S18,Undergraduate,THTR      2D,CABRANES-GRAN,B-,3
S18,Undergraduate,THTR      2D,CABRANES-GRAN,C+,1
S18,Undergraduate,THTR      2D,CABRANES-GRAN,C-,1
S18,Undergraduate,THTR      2D,CABRANES-GRAN,F,2
S18,Undergraduate,THTR      5,BRAININ R,A+,52
S18,Undergraduate,THTR      5,BRAININ R,A,64
S18,Undergraduate,THTR      5,BRAININ R,A-,7
S18,Undergraduate,THTR      5,BRAININ R,B+,3
S18,Undergraduate,THTR      5,BRAININ R,B,2
S18,Undergraduate,THTR      5,BRAININ R,B-,2
S18,Undergraduate,THTR      5,BRAININ R,C+,1
S18,Undergraduate,THTR      5,BRAININ R,C-,1
S18,Undergraduate,THTR      5,BRAININ R,D+,1
S18,Undergraduate,THTR      5,BRAININ R,F,1
S18,Undergraduate,THTR     10C,STEIN D A,A,11
S18,Undergraduate,THTR     10C,STEIN D A,A-,2
S18,Undergraduate,THTR     11C,MORGAN M,A,7
S18,Undergraduate,THTR     11C,MORGAN M,A-,2
S18,Undergraduate,THTR     11C,MORGAN M,B+,1
S18,Undergraduate,THTR     11C,MORGAN M,B,3
S18,Undergraduate,THTR     15C,BRAININ R,A,7
S18,Undergraduate,THTR     15C,BRAININ R,A-,4
S18,Undergraduate,THTR     15C,BRAININ R,B+,1
S18,Undergraduate,THTR     15C,BRAININ R,B,1
S18,Undergraduate,THTR     23D,SCHMEDAKE A J,A+,2
S18,Undergraduate,THTR     23D,SCHMEDAKE A J,A,7
S18,Undergraduate,THTR     23D,SCHMEDAKE A J,A-,2
S18,Undergraduate,THTR     27A,BRUICE A M,A,8
S18,Undergraduate,THTR     27A,BRUICE A M,A-,4
S18,Undergraduate,THTR     27A,BRUICE A M,B,1
S18,Undergraduate,THTR     29A,SCOTT V,A+,1
S18,Undergraduate,THTR     29A,SCOTT V,A,8
S18,Undergraduate,THTR     29A,SCOTT V,A-,1
S18,Undergraduate,THTR     29A,SCOTT V,B+,1
S18,Undergraduate,THTR     29B,SCOTT V,A+,2
S18,Undergraduate,THTR     29B,SCOTT V,A,2
S18,Undergraduate,THTR     29B,SCOTT V,B+,1
S18,Undergraduate,THTR     29C,SCOTT V,A,4
S18,Undergraduate,THTR     29C,SCOTT V,B,1
S18,Undergraduate,THTR     29C,SCOTT V,F,1
S18,Undergraduate,THTR     29D,SCOTT V,A,12
S18,Undergraduate,THTR     42,BRAININ R,A+,6
S18,Undergraduate,THTR     42,BRAININ R,A,1
S18,Undergraduate,THTR     95,HERRERA D J,A,7
S18,Undergraduate,THTR    104A,COWHIG F Y,A,8
S18,Undergraduate,THTR    104A,COWHIG F Y,A-,4
S18,Undergraduate,THTR    104D,COWHIG F Y,A,45
S18,Undergraduate,THTR    104D,COWHIG F Y,A-,2
S18,Undergraduate,THTR    104D,COWHIG F Y,B,8
S18,Undergraduate,THTR    104D,SCOTT V,A+,3
S18,Undergraduate,THTR    104D,SCOTT V,A,13
S18,Undergraduate,THTR    104D,SCOTT V,A-,1
S18,Undergraduate,THTR    110C,STEIN D A,A,14
S18,Undergraduate,THTR    110C,STEIN D A,B,2
S18,Undergraduate,THTR    110D,STEIN D A,A,12
S18,Undergraduate,THTR    111C,MORGAN M,A,14
S18,Undergraduate,THTR    111C,MORGAN M,B,1
S18,Undergraduate,THTR    111C,MORGAN M,C+,1
S18,Undergraduate,THTR    125,BRUICE A M,A,13
S18,Undergraduate,THTR    125,BRUICE A M,A-,1
S18,Undergraduate,THTR    142,BRAININ R,A+,2
S18,Undergraduate,THTR    142,BRAININ R,A,3
S18,Undergraduate,THTR    142,BRAININ R,A-,1
S18,Undergraduate,THTR    142,BRAININ R,C+,1
S18,Undergraduate,THTR    149,BRUICE A M,A,6
S18,Undergraduate,THTR    149,FISHELL J K,A,22
S18,Undergraduate,THTR    149,MITCHELL G M,A+,2
