Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
S19,Undergraduate,CH ST     1C,CASILLAS D I,A+,5
S19,Undergraduate,CH ST     1C,CASILLAS D I,A,42
S19,Undergraduate,CH ST     1C,CASILLAS D I,A-,60
S19,Undergraduate,CH ST     1C,CASILLAS D I,B+,53
S19,Undergraduate,CH ST     1C,CASILLAS D I,B,59
S19,Undergraduate,CH ST     1C,CASILLAS D I,B-,21
S19,Undergraduate,CH ST     1C,CASILLAS D I,C+,13
S19,Undergraduate,CH ST     1C,CASILLAS D I,C,7
S19,Undergraduate,CH ST     1C,CASILLAS D I,C-,7
S19,Undergraduate,CH ST     1C,CASILLAS D I,D+,2
S19,Undergraduate,CH ST     1C,CASILLAS D I,D,2
S19,Undergraduate,CH ST     1C,CASILLAS D I,F,5
S19,Undergraduate,CH ST     1C,ZARATE A D,A+,5
S19,Undergraduate,CH ST     1C,ZARATE A D,A,42
S19,Undergraduate,CH ST     1C,ZARATE A D,A-,60
S19,Undergraduate,CH ST     1C,ZARATE A D,B+,53
S19,Undergraduate,CH ST     1C,ZARATE A D,B,59
S19,Undergraduate,CH ST     1C,ZARATE A D,B-,21
S19,Undergraduate,CH ST     1C,ZARATE A D,C+,13
S19,Undergraduate,CH ST     1C,ZARATE A D,C,7
S19,Undergraduate,CH ST     1C,ZARATE A D,C-,7
S19,Undergraduate,CH ST     1C,ZARATE A D,D+,2
S19,Undergraduate,CH ST     1C,ZARATE A D,D,2
S19,Undergraduate,CH ST     1C,ZARATE A D,F,5
S19,Undergraduate,CH ST   131,FEMATT V L,A,1
S19,Undergraduate,CH ST   131,FEMATT V L,A-,3
S19,Undergraduate,CH ST   131,FEMATT V L,B+,1
S19,Undergraduate,CH ST   131,FEMATT V L,B,1
S19,Undergraduate,CH ST   131,FEMATT V L,B-,1
S19,Undergraduate,CH ST   131,FEMATT V L,C+,4
S19,Undergraduate,CH ST   131,FEMATT V L,C,3
S19,Undergraduate,CH ST   133,FEMATT V L,A,3
S19,Undergraduate,CH ST   133,FEMATT V L,A-,1
S19,Undergraduate,CH ST   133,FEMATT V L,B+,1
S19,Undergraduate,CH ST   133,FEMATT V L,B,6
S19,Undergraduate,CH ST   133,FEMATT V L,B-,3
S19,Undergraduate,CH ST   133,FEMATT V L,C+,3
S19,Undergraduate,CH ST   133,FEMATT V L,C,6
S19,Undergraduate,CH ST   133,FEMATT V L,D,1
S19,Undergraduate,CH ST   133,FEMATT V L,D-,2
S19,Undergraduate,CH ST   133,FEMATT V L,F,6
S19,Undergraduate,CH ST   156,DIAZ-SANCHEZ,A,1
S19,Undergraduate,CH ST   156,DIAZ-SANCHEZ,A-,19
S19,Undergraduate,CH ST   156,DIAZ-SANCHEZ,B+,5
S19,Undergraduate,CH ST   156,DIAZ-SANCHEZ,B,1
S19,Undergraduate,CH ST   156,DIAZ-SANCHEZ,C+,1
S19,Undergraduate,CH ST   156,DIAZ-SANCHEZ,C,1
S19,Undergraduate,CH ST   156,DIAZ-SANCHEZ,C-,2
S19,Undergraduate,CH ST   156,DIAZ-SANCHEZ,F,2
S19,Undergraduate,CH ST   158,SANDOVAL C,A+,4
S19,Undergraduate,CH ST   158,SANDOVAL C,A,6
S19,Undergraduate,CH ST   158,SANDOVAL C,A-,3
S19,Undergraduate,CH ST   158,SANDOVAL C,B+,2
S19,Undergraduate,CH ST   158,SANDOVAL C,B-,1
S19,Undergraduate,CH ST   158,SANDOVAL C,C+,1
